products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
100000,1,scan,0,54.549,34803712,8,7,1,2.649,2,2,0
100000,1,scan,1,1.015,34803712,8,7,1,0.134,2,2,0
100000,1,scan,2,0.947,34807808,8,7,1,0.055,2,2,0
100000,1,scan,3,0.796,34807808,8,7,1,0.099,2,2,0
100000,1,scan,4,0.759,34807808,8,7,1,0.062,2,2,0
100000,1,scan,5,0.906,34807808,8,7,1,0.108,2,2,0
100000,1,scan,6,0.750,34807808,8,7,1,0.052,2,2,0
100000,1,scan,7,1.503,34807808,8,7,1,0.098,2,2,0
100000,1,scan,8,0.671,34807808,8,7,1,0.055,2,2,0
100000,1,scan,9,0.805,34807808,8,7,1,0.155,2,2,0
100000,1,scan,10,0.688,34807808,8,7,1,0.057,2,2,0
100000,1,scan,11,0.892,34807808,8,7,1,0.044,2,2,0
100000,1,scan,12,0.798,34807808,8,7,1,0.068,2,2,0
100000,1,scan,13,0.742,34807808,8,7,1,0.059,2,2,0
100000,1,scan,14,0.878,34807808,8,7,1,0.094,2,2,0
100000,1,scan,15,0.703,34807808,8,7,1,0.053,2,2,0
100000,1,scan,16,0.772,34807808,8,7,1,0.075,2,2,0
100000,1,scan,17,0.860,34807808,8,7,1,0.063,2,2,0
100000,1,scan,18,0.869,34807808,8,7,1,0.068,2,2,0
100000,1,scan,19,0.647,34807808,8,7,1,0.070,2,2,0
100000,1,scan,20,0.661,34807808,8,7,1,0.044,2,2,0
100000,1,scan,21,0.829,34807808,8,7,1,0.088,2,2,0
100000,1,scan,22,0.752,34807808,8,7,1,0.051,2,2,0
100000,1,scan,23,0.777,34807808,8,7,1,0.078,2,2,0
100000,1,scan,24,0.796,34807808,8,7,1,0.064,2,2,0
100000,1,scan,25,0.850,34807808,8,7,1,0.057,2,2,0
100000,1,scan,26,0.804,34807808,8,7,1,0.078,2,2,0
100000,1,scan,27,0.799,34807808,8,7,1,0.061,2,2,0
100000,1,scan,28,0.800,34807808,9,8,1,0.114,2,2,0
100000,1,scan,29,0.738,34807808,9,8,1,0.062,2,2,0
