products,operation,sample,ms,private_bytes,gc0,gc1,gc2
20000,pos_view_entry_first_in_process,0,367.802,114028544,17,16,2
20000,scan_500_view_bitmap,0,1882.963,180531200,46,42,6
20000,scan_500_view_bitmap,1,5274.952,195506176,64,58,8
20000,scan_500_view_bitmap,2,133.351,195796992,65,59,8
20000,scan_500_view_bitmap,3,290.301,208162816,69,60,9
20000,scan_500_view_bitmap,4,182.499,208887808,71,61,9
20000,scan_500_view_bitmap,5,176.389,209203200,73,62,9
20000,scan_500_view_bitmap,6,173.002,210415616,75,63,9
20000,scan_500_view_bitmap,7,170.211,210526208,77,64,9
20000,scan_500_view_bitmap,8,175.318,210911232,79,65,9
20000,scan_500_view_bitmap,9,176.063,212172800,81,66,9
20000,scan_500_view_bitmap,10,171.098,212008960,83,68,9
20000,scan_500_view_bitmap,11,167.078,213061632,85,69,9
20000,scan_500_view_bitmap,12,176.910,213176320,87,71,9
20000,scan_500_view_bitmap,13,171.809,214405120,89,73,9
20000,scan_500_view_bitmap,14,175.594,218832896,91,75,9
20000,scan_500_view_bitmap,15,171.912,219435008,93,77,9
20000,scan_500_view_bitmap,16,182.634,219590656,95,79,9
20000,scan_500_view_bitmap,17,229.617,217251840,98,81,10
20000,scan_500_view_bitmap,18,197.566,221691904,100,83,10
20000,scan_500_view_bitmap,19,162.877,218234880,101,84,10
20000,scan_500_view_bitmap,20,170.251,221507584,103,85,10
20000,scan_500_view_bitmap,21,180.515,221356032,105,87,10
20000,scan_500_view_bitmap,22,221.518,222900224,108,89,11
20000,scan_500_view_bitmap,23,175.456,221020160,110,90,11
20000,scan_500_view_bitmap,24,165.907,219820032,112,91,11
20000,scan_500_view_bitmap,25,168.635,221122560,114,92,11
20000,scan_500_view_bitmap,26,162.966,220839936,116,93,11
20000,scan_500_view_bitmap,27,165.754,220643328,118,94,11
20000,scan_500_view_bitmap,28,175.151,221093888,120,95,11
20000,scan_500_view_bitmap,29,170.084,222531584,122,96,11
20000,scan_500_view_bitmap,30,223.081,217575424,125,98,12
20000,search_details_100,0,11.921,217931776,125,98,12
20000,local_sale_transaction_no_network,0,80.243,218591232,125,98,12
20000,daily_csv_1_to_31_sales,0,10.867,218603520,125,98,12
20000,search_details_100,1,7.404,218603520,125,98,12
20000,local_sale_transaction_no_network,1,5.727,218734592,125,98,12
20000,daily_csv_1_to_31_sales,1,0.809,217169920,125,98,12
20000,search_details_100,2,6.597,202375168,125,98,12
20000,local_sale_transaction_no_network,2,5.053,202653696,125,98,12
20000,daily_csv_1_to_31_sales,2,0.646,202719232,125,98,12
20000,search_details_100,3,6.180,202850304,125,98,12
20000,local_sale_transaction_no_network,3,5.465,202981376,125,98,12
20000,daily_csv_1_to_31_sales,3,23.260,200593408,126,99,12
20000,search_details_100,4,6.059,200593408,126,99,12
20000,local_sale_transaction_no_network,4,5.584,200593408,126,99,12
20000,daily_csv_1_to_31_sales,4,2.666,200593408,126,99,12
20000,search_details_100,5,5.820,200593408,126,99,12
20000,local_sale_transaction_no_network,5,5.462,200593408,126,99,12
20000,daily_csv_1_to_31_sales,5,2.912,200593408,126,99,12
20000,search_details_100,6,6.001,200593408,126,99,12
20000,local_sale_transaction_no_network,6,4.912,200593408,126,99,12
20000,daily_csv_1_to_31_sales,6,2.837,200593408,126,99,12
20000,search_details_100,7,9.652,200593408,126,99,12
20000,local_sale_transaction_no_network,7,6.512,200593408,126,99,12
20000,daily_csv_1_to_31_sales,7,0.613,200593408,126,99,12
20000,search_details_100,8,5.966,200593408,126,99,12
20000,local_sale_transaction_no_network,8,4.617,200593408,126,99,12
20000,daily_csv_1_to_31_sales,8,2.956,200593408,126,99,12
20000,search_details_100,9,6.145,200593408,126,99,12
20000,local_sale_transaction_no_network,9,4.914,200593408,126,99,12
20000,daily_csv_1_to_31_sales,9,3.707,200593408,126,99,12
20000,search_details_100,10,5.994,200593408,126,99,12
20000,local_sale_transaction_no_network,10,5.050,200593408,126,99,12
20000,daily_csv_1_to_31_sales,10,2.774,200593408,126,99,12
20000,search_details_100,11,6.030,200593408,126,99,12
20000,local_sale_transaction_no_network,11,6.228,200593408,126,99,12
20000,daily_csv_1_to_31_sales,11,3.228,200593408,126,99,12
20000,search_details_100,12,6.148,200593408,126,99,12
20000,local_sale_transaction_no_network,12,6.082,200593408,126,99,12
20000,daily_csv_1_to_31_sales,12,2.863,200593408,126,99,12
20000,search_details_100,13,6.202,200593408,126,99,12
20000,local_sale_transaction_no_network,13,5.308,200593408,126,99,12
20000,daily_csv_1_to_31_sales,13,2.889,200593408,126,99,12
20000,search_details_100,14,6.600,200593408,126,99,12
20000,local_sale_transaction_no_network,14,7.066,200593408,126,99,12
20000,daily_csv_1_to_31_sales,14,2.771,200593408,126,99,12
20000,search_details_100,15,6.306,200593408,126,99,12
20000,local_sale_transaction_no_network,15,5.727,200593408,126,99,12
20000,daily_csv_1_to_31_sales,15,6.240,200593408,127,100,12
20000,search_details_100,16,6.122,200593408,127,100,12
20000,local_sale_transaction_no_network,16,5.583,200593408,127,100,12
20000,daily_csv_1_to_31_sales,16,3.169,200593408,127,100,12
20000,search_details_100,17,6.350,200593408,127,100,12
20000,local_sale_transaction_no_network,17,5.751,200593408,127,100,12
20000,daily_csv_1_to_31_sales,17,2.842,200593408,127,100,12
20000,search_details_100,18,6.113,200593408,127,100,12
20000,local_sale_transaction_no_network,18,5.619,200593408,127,100,12
20000,daily_csv_1_to_31_sales,18,2.674,200593408,127,100,12
20000,search_details_100,19,6.448,200593408,127,100,12
20000,local_sale_transaction_no_network,19,5.932,200593408,127,100,12
20000,daily_csv_1_to_31_sales,19,3.810,200593408,127,100,12
20000,search_details_100,20,6.167,200593408,127,100,12
20000,local_sale_transaction_no_network,20,5.023,200593408,127,100,12
20000,daily_csv_1_to_31_sales,20,2.830,200593408,127,100,12
20000,search_details_100,21,6.129,200593408,127,100,12
20000,local_sale_transaction_no_network,21,6.987,200593408,127,100,12
20000,daily_csv_1_to_31_sales,21,3.208,200593408,127,100,12
20000,search_details_100,22,6.888,200593408,127,100,12
20000,local_sale_transaction_no_network,22,5.891,200593408,127,100,12
20000,daily_csv_1_to_31_sales,22,2.883,200593408,127,100,12
20000,search_details_100,23,6.104,200593408,127,100,12
20000,local_sale_transaction_no_network,23,5.511,200593408,127,100,12
20000,daily_csv_1_to_31_sales,23,3.393,200593408,127,100,12
20000,search_details_100,24,8.508,200593408,127,100,12
20000,local_sale_transaction_no_network,24,5.084,200593408,127,100,12
20000,daily_csv_1_to_31_sales,24,3.117,200593408,127,100,12
20000,search_details_100,25,6.345,200593408,128,100,12
20000,local_sale_transaction_no_network,25,5.513,200593408,128,100,12
20000,daily_csv_1_to_31_sales,25,2.908,200593408,128,100,12
20000,search_details_100,26,6.079,200593408,128,100,12
20000,local_sale_transaction_no_network,26,5.472,200593408,128,100,12
20000,daily_csv_1_to_31_sales,26,2.765,200593408,128,100,12
20000,search_details_100,27,5.952,200593408,128,100,12
20000,local_sale_transaction_no_network,27,4.728,200593408,128,100,12
20000,daily_csv_1_to_31_sales,27,2.909,200593408,128,100,12
20000,search_details_100,28,6.250,200593408,128,100,12
20000,local_sale_transaction_no_network,28,5.283,200593408,128,100,12
20000,daily_csv_1_to_31_sales,28,0.783,200593408,128,100,12
20000,search_details_100,29,6.545,200593408,128,100,12
20000,local_sale_transaction_no_network,29,6.077,200593408,128,100,12
20000,daily_csv_1_to_31_sales,29,2.663,200593408,128,100,12
20000,search_details_100,30,7.146,200593408,128,100,12
20000,local_sale_transaction_no_network,30,4.088,200593408,128,100,12
20000,daily_csv_1_to_31_sales,30,0.739,200593408,128,100,12
