products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,pos_view_entry_first_in_process,0,392.790,115081216,231,230,2
100000,scan_500_view_bitmap,0,1896.887,173146112,273,267,7
100000,scan_500_view_bitmap,1,281.000,175149056,281,275,7
100000,scan_500_view_bitmap,2,303.939,173027328,290,284,8
100000,scan_500_view_bitmap,3,5967.307,188493824,315,307,10
100000,scan_500_view_bitmap,4,646.113,189165568,326,312,12
100000,scan_500_view_bitmap,5,625.385,190164992,335,315,12
100000,scan_500_view_bitmap,6,654.858,189714432,346,319,14
100000,scan_500_view_bitmap,7,652.333,190414848,355,322,14
100000,scan_500_view_bitmap,8,660.446,189513728,366,326,16
100000,scan_500_view_bitmap,9,662.982,189870080,376,330,17
100000,scan_500_view_bitmap,10,637.550,190087168,386,334,18
100000,scan_500_view_bitmap,11,646.064,189583360,396,336,19
100000,scan_500_view_bitmap,12,652.584,189878272,406,339,20
100000,scan_500_view_bitmap,13,657.929,189661184,416,341,21
100000,scan_500_view_bitmap,14,676.011,189620224,427,344,23
100000,scan_500_view_bitmap,15,639.336,190025728,436,346,23
100000,scan_500_view_bitmap,16,647.712,190705664,446,350,24
100000,scan_500_view_bitmap,17,635.670,190660608,455,352,25
100000,scan_500_view_bitmap,18,664.504,190922752,465,356,26
100000,scan_500_view_bitmap,19,708.229,191135744,476,359,27
100000,scan_500_view_bitmap,20,660.474,190267392,485,362,28
100000,scan_500_view_bitmap,21,714.377,191606784,495,363,29
100000,scan_500_view_bitmap,22,668.192,190095360,505,367,30
100000,scan_500_view_bitmap,23,710.628,191004672,515,368,31
100000,scan_500_view_bitmap,24,738.228,190521344,525,372,32
100000,scan_500_view_bitmap,25,757.849,191107072,535,373,33
100000,scan_500_view_bitmap,26,674.522,191008768,545,377,34
100000,scan_500_view_bitmap,27,704.161,190898176,555,379,35
100000,scan_500_view_bitmap,28,649.601,190730240,565,383,36
100000,scan_500_view_bitmap,29,716.222,191787008,575,384,37
100000,scan_500_view_bitmap,30,676.830,190197760,585,388,38
100000,search_details_100,0,36.211,190746624,585,388,38
100000,local_sale_transaction_no_network,0,89.384,188264448,586,388,38
100000,daily_csv_1_to_31_sales,0,3.330,188264448,586,388,38
