products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
20000,1,scan,0,44.566,34316288,7,6,1,45.534,2,2,2
20000,1,scan,1,0.669,34316288,7,6,1,0.747,2,2,2
20000,1,scan,2,0.609,34316288,7,6,1,0.679,2,2,2
20000,1,scan,3,0.484,34316288,7,6,1,0.530,2,2,2
20000,1,scan,4,0.494,34316288,7,6,1,0.546,2,2,2
20000,1,scan,5,0.545,34316288,7,6,1,0.603,2,2,2
20000,1,scan,6,0.485,34316288,7,6,1,0.527,2,2,2
20000,1,scan,7,0.582,34316288,7,6,1,0.654,2,2,2
20000,1,scan,8,0.479,34316288,7,6,1,0.521,2,2,2
20000,1,scan,9,0.718,34316288,7,6,1,0.984,2,2,2
20000,1,scan,10,0.540,34316288,7,6,1,0.592,2,2,2
20000,1,scan,11,0.481,34316288,7,6,1,0.526,2,2,2
20000,1,scan,12,0.571,34316288,7,6,1,0.640,2,2,2
20000,1,scan,13,0.452,34316288,7,6,1,0.494,2,2,2
20000,1,scan,14,0.425,34316288,7,6,1,0.466,2,2,2
20000,1,scan,15,0.590,34316288,7,6,1,0.652,2,2,2
20000,1,scan,16,0.464,34316288,7,6,1,0.507,2,2,2
20000,1,scan,17,0.563,34316288,7,6,1,0.629,2,2,2
20000,1,scan,18,0.499,34316288,7,6,1,0.547,2,2,2
20000,1,scan,19,0.515,34316288,7,6,1,0.560,2,2,2
20000,1,scan,20,0.535,34316288,7,6,1,0.605,2,2,2
20000,1,scan,21,0.494,34316288,7,6,1,0.541,2,2,2
20000,1,scan,22,0.485,34316288,7,6,1,0.528,2,2,2
20000,1,scan,23,0.616,34316288,7,6,1,0.697,2,2,2
20000,1,scan,24,0.468,34316288,7,6,1,0.509,2,2,2
20000,1,scan,25,0.460,34316288,7,6,1,0.510,2,2,2
20000,1,scan,26,0.606,34316288,7,6,1,0.673,2,2,2
20000,1,scan,27,0.433,34316288,7,6,1,0.474,2,2,2
20000,1,scan,28,0.550,34316288,7,6,1,0.619,2,2,2
20000,1,scan,29,0.541,34316288,7,6,1,0.600,2,2,2
20000,1,scan,30,0.629,34316288,7,6,1,0.696,2,2,2
20000,10,scan,0,1.734,34316288,7,6,1,1.794,11,11,11
20000,10,scan,1,2.159,34316288,7,6,1,2.321,11,11,11
20000,10,scan,2,3.644,34316288,8,7,1,3.708,11,11,11
20000,10,scan,3,1.770,34316288,8,7,1,1.827,11,11,11
20000,10,scan,4,2.446,34316288,8,7,1,2.532,11,11,11
20000,10,scan,5,1.661,34316288,8,7,1,1.703,11,11,11
20000,10,scan,6,1.843,34316288,8,7,1,1.920,11,11,11
20000,10,scan,7,1.613,34316288,8,7,1,1.659,11,11,11
20000,10,scan,8,1.759,34316288,8,7,1,1.823,11,11,11
20000,10,scan,9,1.661,34316288,8,7,1,1.713,11,11,11
20000,10,scan,10,2.044,34316288,8,7,1,2.104,11,11,11
20000,10,scan,11,2.200,34316288,8,7,1,2.281,11,11,11
20000,10,scan,12,1.651,34316288,8,7,1,1.695,11,11,11
20000,10,scan,13,1.754,34316288,8,7,1,1.830,11,11,11
20000,10,scan,14,1.612,34316288,8,7,1,1.654,11,11,11
20000,10,scan,15,1.753,34316288,8,7,1,1.831,11,11,11
20000,10,scan,16,1.635,34316288,8,7,1,1.679,11,11,11
20000,10,scan,17,9.805,34316288,8,7,1,9.899,11,11,11
20000,10,scan,18,1.771,34320384,8,7,1,1.817,11,11,11
20000,10,scan,19,2.236,34320384,8,7,1,2.300,11,11,11
20000,10,scan,20,2.170,34320384,8,7,1,2.251,11,11,11
20000,10,scan,21,1.668,34320384,8,7,1,1.711,11,11,11
20000,10,scan,22,1.862,34320384,8,7,1,1.938,11,11,11
20000,10,scan,23,1.957,34320384,8,7,1,2.022,11,11,11
20000,10,scan,24,1.855,34390016,8,7,1,1.919,11,11,11
20000,10,scan,25,1.899,34652160,8,7,1,1.972,11,11,11
20000,10,scan,26,1.738,34914304,8,7,1,1.784,11,11,11
20000,10,scan,27,1.941,35110912,9,8,1,2.008,11,11,11
20000,10,scan,28,1.907,35176448,9,8,1,1.991,11,11,11
20000,10,scan,29,1.673,35176448,9,8,1,1.718,11,11,11
20000,10,scan,30,1.956,35176448,9,8,1,2.035,11,11,11
20000,50,scan,0,8.083,35176448,9,8,1,8.165,51,51,51
20000,50,scan,1,7.188,35176448,9,8,1,7.275,51,51,51
20000,50,scan,2,7.561,35176448,9,8,1,7.639,51,51,51
20000,50,scan,3,7.090,35176448,9,8,1,7.169,51,51,51
20000,50,scan,4,8.333,35176448,10,9,1,8.414,51,51,51
20000,50,scan,5,7.019,35176448,10,9,1,7.111,51,51,51
20000,50,scan,6,7.832,35176448,10,9,1,7.925,51,51,51
20000,50,scan,7,7.685,35176448,10,9,1,7.766,51,51,51
20000,50,scan,8,6.962,35176448,10,9,1,7.040,51,51,51
20000,50,scan,9,9.697,35176448,11,10,1,9.784,51,51,51
20000,50,scan,10,7.188,35176448,11,10,1,7.270,51,51,51
20000,50,scan,11,8.035,35176448,11,10,1,8.164,51,51,51
20000,50,scan,12,7.838,35176448,11,10,1,7.921,51,51,51
20000,50,scan,13,9.260,35176448,11,10,1,9.348,51,51,51
20000,50,scan,14,9.119,35176448,12,11,1,9.204,51,51,51
20000,50,scan,15,7.050,35176448,12,11,1,7.130,51,51,51
20000,50,scan,16,7.279,35176448,12,11,1,7.361,51,51,51
20000,50,scan,17,7.915,35176448,12,11,1,7.991,51,51,51
20000,50,scan,18,8.930,35176448,12,11,1,9.008,51,51,51
20000,50,scan,19,8.260,35176448,13,12,1,8.351,51,51,51
20000,50,scan,20,7.549,35176448,13,12,1,7.635,51,51,51
20000,50,scan,21,7.548,35176448,13,12,1,7.622,51,51,51
20000,50,scan,22,7.498,35176448,13,12,1,7.741,51,51,51
20000,50,scan,23,8.027,35176448,13,12,1,8.135,51,51,51
20000,50,scan,24,8.514,35176448,14,13,1,8.601,51,51,51
20000,50,scan,25,7.511,35176448,14,13,1,7.596,51,51,51
20000,50,scan,26,7.750,35176448,14,13,1,7.837,51,51,51
20000,50,scan,27,9.360,35176448,14,13,1,9.470,51,51,51
20000,50,scan,28,8.496,35176448,14,13,1,8.582,51,51,51
20000,50,scan,29,8.472,35176448,15,14,1,8.552,51,51,51
20000,50,scan,30,8.123,35176448,15,14,1,8.253,51,51,51
20000,100,scan,0,15.362,35176448,15,14,1,15.455,101,101,101
20000,100,scan,1,16.136,35176448,16,15,1,16.228,101,101,101
20000,100,scan,2,14.280,35176448,16,15,1,14.373,101,101,101
20000,100,scan,3,16.914,35176448,17,16,1,17.008,101,101,101
20000,100,scan,4,16.826,35176448,17,16,1,16.925,101,101,101
20000,100,scan,5,16.000,35176448,18,17,1,16.096,101,101,101
20000,100,scan,6,15.481,35176448,18,17,1,15.578,101,101,101
20000,100,scan,7,16.496,35176448,19,18,1,16.591,101,101,101
20000,100,scan,8,16.476,35176448,19,18,1,16.571,101,101,101
20000,100,scan,9,15.566,35176448,20,19,1,15.661,101,101,101
20000,100,scan,10,17.208,35176448,20,19,1,17.309,101,101,101
20000,100,scan,11,15.951,35176448,21,20,1,16.049,101,101,101
20000,100,scan,12,15.325,35176448,21,20,1,15.415,101,101,101
20000,100,scan,13,15.806,35176448,21,20,1,15.901,101,101,101
20000,100,scan,14,16.915,35176448,22,21,1,17.016,101,101,101
20000,100,scan,15,14.242,35176448,22,21,1,14.337,101,101,101
20000,100,scan,16,16.515,35176448,23,22,1,16.612,101,101,101
20000,100,scan,17,15.862,35176448,23,22,1,15.956,101,101,101
20000,100,scan,18,16.000,35176448,24,23,1,16.199,101,101,101
20000,100,scan,19,15.159,35176448,24,23,1,15.258,101,101,101
20000,100,scan,20,15.662,35176448,25,24,1,15.760,101,101,101
20000,100,scan,21,14.719,35176448,25,24,1,14.815,101,101,101
20000,100,scan,22,15.470,35176448,26,25,1,15.568,101,101,101
20000,100,scan,23,16.494,35176448,26,25,1,16.594,101,101,101
20000,100,scan,24,15.439,35176448,27,26,1,15.537,101,101,101
20000,100,scan,25,15.311,35176448,27,26,1,15.429,101,101,101
20000,100,scan,26,16.581,35176448,28,27,1,16.682,101,101,101
20000,100,scan,27,16.283,35176448,28,27,1,16.379,101,101,101
20000,100,scan,28,15.651,35176448,29,28,1,15.750,101,101,101
20000,100,scan,29,14.923,35176448,29,28,1,15.027,101,101,101
20000,100,scan,30,15.407,35176448,30,29,1,15.507,101,101,101
20000,500,scan,0,90.722,35176448,36,35,1,90.815,501,501,501
20000,500,scan,1,93.241,35164160,43,42,2,93.333,501,501,501
20000,500,scan,2,88.145,35164160,49,48,2,88.247,501,501,501
20000,500,scan,3,91.351,35164160,55,54,2,91.451,501,501,501
20000,500,scan,4,89.517,35164160,62,61,2,89.617,501,501,501
20000,500,scan,5,84.778,35164160,68,67,2,84.882,501,501,501
20000,500,scan,6,90.454,35164160,75,74,2,90.554,501,501,501
20000,500,scan,7,89.561,35164160,81,80,2,89.660,501,501,501
20000,500,scan,8,89.708,35164160,88,87,2,89.810,501,501,501
20000,500,scan,9,89.111,35164160,94,93,2,89.227,501,501,501
20000,500,scan,10,89.533,35164160,101,100,2,89.636,501,501,501
20000,500,scan,11,88.391,35164160,107,106,2,88.494,501,501,501
20000,500,scan,12,86.341,35164160,113,112,2,86.507,501,501,501
20000,500,scan,13,91.940,35164160,120,119,2,92.041,501,501,501
20000,500,scan,14,88.551,35164160,126,125,2,88.653,501,501,501
20000,500,scan,15,87.647,35164160,133,132,2,87.756,501,501,501
20000,500,scan,16,88.944,35164160,139,138,2,89.042,501,501,501
20000,500,scan,17,90.605,35164160,146,145,2,90.706,501,501,501
20000,500,scan,18,85.878,35164160,152,151,2,85.982,501,501,501
20000,500,scan,19,89.064,35164160,158,157,2,89.163,501,501,501
20000,500,scan,20,93.597,35164160,165,164,2,93.695,501,501,501
20000,500,scan,21,92.669,35164160,171,170,2,92.762,501,501,501
20000,500,scan,22,89.387,35164160,178,177,2,89.490,501,501,501
20000,500,scan,23,91.609,35164160,184,183,2,91.712,501,501,501
20000,500,scan,24,93.288,35164160,191,190,2,93.388,501,501,501
20000,500,scan,25,89.575,35164160,197,196,2,89.676,501,501,501
20000,500,scan,26,87.936,35229696,204,203,2,88.036,501,501,501
20000,500,scan,27,90.628,35229696,210,209,2,90.732,501,501,501
20000,500,scan,28,93.762,35295232,216,215,2,93.864,501,501,501
20000,500,scan,29,91.045,35360768,223,222,2,91.152,501,501,501
20000,500,scan,30,90.367,35360768,229,228,2,90.466,501,501,501
