products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
100000,1,scan,0,57.940,34746368,8,7,1,2.979,2,2,0
100000,1,scan,1,1.044,34746368,8,7,1,0.117,2,2,0
100000,1,scan,2,1.539,34750464,8,7,1,0.102,2,2,0
100000,1,scan,3,1.097,34750464,8,7,1,0.061,2,2,0
100000,1,scan,4,0.778,34750464,8,7,1,0.077,2,2,0
100000,1,scan,5,0.718,34750464,8,7,1,0.060,2,2,0
100000,1,scan,6,0.805,34750464,8,7,1,0.123,2,2,0
100000,1,scan,7,0.751,34750464,8,7,1,0.050,2,2,0
100000,1,scan,8,0.839,34750464,8,7,1,0.103,2,2,0
100000,1,scan,9,0.690,34750464,8,7,1,0.039,2,2,0
100000,1,scan,10,0.766,34750464,8,7,1,0.043,2,2,0
100000,1,scan,11,0.774,34750464,8,7,1,0.110,2,2,0
100000,1,scan,12,0.702,34750464,8,7,1,0.058,2,2,0
100000,1,scan,13,0.880,34750464,8,7,1,0.101,2,2,0
100000,1,scan,14,0.624,34750464,8,7,1,0.056,2,2,0
100000,1,scan,15,0.899,34750464,8,7,1,0.046,2,2,0
100000,1,scan,16,0.910,34750464,8,7,1,0.085,2,2,0
100000,1,scan,17,0.541,34750464,8,7,1,0.061,2,2,0
100000,1,scan,18,0.930,34750464,8,7,1,0.118,2,2,0
100000,1,scan,19,0.692,34750464,8,7,1,0.054,2,2,0
100000,1,scan,20,0.811,34750464,8,7,1,0.085,2,2,0
100000,1,scan,21,0.765,34750464,8,7,1,0.079,2,2,0
100000,1,scan,22,0.689,34750464,8,7,1,0.045,2,2,0
100000,1,scan,23,0.883,34750464,8,7,1,0.122,2,2,0
100000,1,scan,24,0.696,34750464,8,7,1,0.061,2,2,0
100000,1,scan,25,0.880,34750464,8,7,1,0.120,2,2,0
100000,1,scan,26,0.595,34750464,8,7,1,0.054,2,2,0
100000,1,scan,27,1.031,34750464,8,7,1,0.044,2,2,0
100000,1,scan,28,0.797,34750464,9,8,1,0.081,2,2,0
100000,1,scan,29,0.925,34750464,9,8,1,0.097,2,2,0
100000,1,scan,30,0.702,34750464,9,8,1,0.065,2,2,0
100000,10,scan,0,0.842,34750464,9,8,1,0.063,2,2,0
100000,10,scan,1,0.874,34750464,9,8,1,0.064,2,2,0
100000,10,scan,2,0.807,34750464,9,8,1,0.062,2,2,0
100000,10,scan,3,0.946,34750464,9,8,1,0.228,2,2,0
100000,10,scan,4,0.743,34750464,9,8,1,0.048,2,2,0
100000,10,scan,5,0.906,34750464,9,8,1,0.083,2,2,0
100000,10,scan,6,0.883,34750464,9,8,1,0.071,2,2,0
100000,10,scan,7,0.809,34750464,9,8,1,0.060,2,2,0
100000,10,scan,8,0.929,34750464,9,8,1,0.107,2,2,0
100000,10,scan,9,0.771,34750464,9,8,1,0.043,2,2,0
100000,10,scan,10,0.963,34750464,9,8,1,0.103,2,2,0
100000,10,scan,11,0.705,34750464,9,8,1,0.049,2,2,0
100000,10,scan,12,0.878,34750464,9,8,1,0.087,2,2,0
100000,10,scan,13,0.837,34750464,9,8,1,0.063,2,2,0
100000,10,scan,14,0.940,34750464,9,8,1,0.051,2,2,0
100000,10,scan,15,0.881,34750464,9,8,1,0.082,2,2,0
100000,10,scan,16,0.722,34750464,9,8,1,0.043,2,2,0
100000,10,scan,17,0.915,34750464,9,8,1,0.114,2,2,0
100000,10,scan,18,0.756,34750464,9,8,1,0.055,2,2,0
100000,10,scan,19,0.879,34750464,9,8,1,0.095,2,2,0
100000,10,scan,20,0.822,34750464,9,8,1,0.061,2,2,0
