products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
100000,0,Rows,2.283,271679488,108890556,648,24,44,42,155,120,12,0.502,29,0,0,1982.616,116.271
100000,0,Rows,4.346,288595968,119786236,645,26,44,42,171,135,12,0.232,32,0,0,78.713,1978.275
100000,0,Rows,4.584,293314560,107474480,646,28,44,43,174,138,13,0.213,32,0,0,84.184,149.928
100000,0,Rows,4.806,293130240,108326508,646,27,44,43,176,140,13,0.213,23,0,0,73.017,145.114
100000,0,Rows,4.993,294707200,111034268,646,28,44,43,177,141,13,0.191,23,0,0,48.293,135.300
100000,0,Rows,5.250,293281792,107486604,646,30,44,43,180,144,14,0.198,23,0,0,69.008,163.296
100000,0,Rows,5.442,293105664,111347712,646,32,44,43,181,145,14,0.207,23,0,0,76.717,111.337
100000,0,Rows,5.662,292323328,107465672,646,34,44,43,184,148,15,0.205,23,0,0,70.269,145.514
100000,0,Rows,5.864,291110912,110190308,646,36,44,43,186,149,15,0.231,23,0,0,72.979,124.541
100000,0,Rows,6.088,290254848,107461824,646,38,44,43,189,151,16,0.194,23,0,0,69.896,150.951
100000,0,Grid,6.599,283631616,110939952,649,42,44,43,194,153,16,0.181,21,500,0,162.367,118.791
100000,0,Grid,6.813,297177088,107626424,649,44,44,43,197,155,17,0.198,21,500,0,64.207,145.946
100000,0,Grid,7.009,297512960,108779128,649,26,44,43,199,157,17,0.190,21,500,0,64.109,127.931
100000,0,Grid,7.197,297476096,107631436,649,28,44,43,201,159,18,0.197,21,500,0,42.900,141.416
100000,0,Grid,7.372,298037248,110995464,649,30,44,43,203,161,18,0.194,21,500,0,64.128,107.653
100000,0,Grid,7.549,297689088,111112788,649,32,44,43,205,162,18,0.186,21,500,0,62.110,111.138
100000,0,Grid,7.766,297234432,107632316,649,34,44,43,208,164,19,0.200,21,500,0,64.430,149.038
100000,0,Grid,7.954,297676800,109421520,649,36,44,43,210,166,19,0.203,21,500,0,63.779,120.644
100000,0,Grid,8.187,297955328,107614864,649,38,44,43,213,169,20,0.207,21,500,0,67.669,161.714
100000,0,Grid,8.354,297869312,110840132,649,40,44,43,214,170,20,0.253,21,500,0,40.742,122.773
100000,0,before_idle,9.989,318435328,112250564,713,30,45,43,230,182,21,0.288,45,500,0,0.000,0.000
100000,0,after_idle,30.058,297517056,113300732,701,28,43,42,458,410,21,0.115,38,500,0,0.000,0.000
100000,1,Rows,32.611,346398720,168493908,705,29,43,42,487,438,21,0.204,1087,500,0,79.251,246.258
100000,1,Rows,32.800,361869312,167811904,678,28,43,43,489,440,22,0.202,862,500,0,7.899,163.730
100000,1,Rows,34.875,365109248,162695844,672,29,43,42,504,455,22,0.181,53,500,0,1951.715,118.587
100000,1,Rows,35.008,366526464,163327456,673,30,44,43,505,456,22,0.265,51,500,0,12.901,116.527
100000,1,Rows,35.245,365264896,124970936,673,31,44,43,508,459,23,0.197,51,500,0,65.099,168.103
100000,1,Rows,35.451,367276032,111594152,673,32,44,43,510,461,23,0.185,51,500,0,72.578,126.664
100000,1,Rows,35.619,356765696,114157388,673,30,44,43,511,462,23,0.316,47,500,0,42.895,121.744
100000,1,Rows,35.835,366530560,111082864,673,31,44,43,514,464,24,0.198,47,500,0,65.166,146.105
100000,1,Rows,36.036,366870528,111620868,673,32,44,43,516,466,24,0.201,47,500,0,67.729,126.544
100000,1,Rows,36.203,367316992,114152744,673,34,44,43,517,467,24,0.226,47,500,0,42.361,120.424
100000,1,Grid,36.568,359829504,111823140,673,38,44,43,522,470,25,0.206,45,500,0,177.252,150.346
100000,1,Grid,36.781,367538176,111619460,673,40,44,43,524,472,25,0.198,45,500,0,74.618,132.028
100000,1,Grid,36.951,368726016,114362572,673,42,44,43,525,473,25,0.197,45,500,0,42.803,123.907
100000,1,Grid,37.165,367296512,110607820,673,44,44,43,528,475,26,0.202,45,500,0,63.075,146.642
100000,1,Grid,37.359,368070656,111949252,673,46,44,43,530,477,26,0.201,45,500,0,66.309,122.430
100000,1,Grid,37.547,368345088,113652552,673,28,44,43,532,479,27,0.200,45,500,0,68.848,115.250
100000,1,Grid,37.728,367980544,114055004,673,30,44,43,534,480,27,0.211,45,500,0,65.680,111.429
100000,1,Grid,37.943,367984640,113519952,673,32,44,43,537,482,28,0.206,45,500,0,66.576,144.309
100000,1,Grid,38.174,368414720,112113108,673,34,44,43,539,484,28,0.209,45,500,0,82.495,142.686
100000,1,Grid,38.418,356651008,113514944,673,36,44,43,542,487,29,0.212,45,500,0,68.623,172.229
100000,1,before_idle,39.866,379154432,111117736,708,30,44,43,557,502,31,0.088,69,500,0,0.000,0.000
100000,1,after_idle,59.877,361197568,112453856,693,28,41,38,774,719,31,0.130,61,500,0,0.000,0.000
100000,2,Rows,62.544,383631360,176297772,697,29,41,38,802,747,31,0.266,1097,500,0,92.664,247.707
100000,2,Rows,62.734,386809856,178776420,668,28,41,39,804,749,32,0.219,873,500,0,24.414,158.726
100000,2,Rows,65.010,385441792,140761804,663,29,41,38,821,760,33,0.195,76,500,0,2134.198,137.179
100000,2,Rows,65.203,373301248,116992316,664,30,42,39,823,762,34,0.266,74,500,0,12.243,176.574
100000,2,Rows,65.467,384143360,117223916,664,31,42,39,826,765,35,0.200,74,500,0,78.612,181.782
100000,2,Rows,65.654,384184320,116030200,664,32,42,39,827,766,35,0.204,74,500,0,46.224,133.895
100000,2,Rows,65.903,384192512,117787020,664,29,42,39,830,769,36,0.208,70,500,0,70.103,175.579
100000,2,Rows,66.088,375738368,116859364,664,30,42,39,831,770,36,0.203,70,500,0,50.303,127.823
100000,2,Rows,66.321,384397312,113274480,664,32,42,39,834,772,37,0.284,70,500,0,67.612,161.141
100000,2,Rows,66.526,383873024,115573648,664,34,42,39,836,773,37,0.188,70,500,0,72.394,126.568
100000,2,Grid,66.920,385576960,113271760,664,38,42,39,841,776,38,0.209,68,500,0,172.036,183.339
100000,2,Grid,67.107,385073152,116314560,664,40,42,39,842,777,38,0.204,68,500,0,47.665,134.681
100000,2,Grid,67.337,385032192,117245500,664,42,42,39,845,779,39,0.205,68,500,0,72.445,153.824
100000,2,Grid,67.554,385880064,114697976,664,44,42,39,847,781,39,0.217,68,500,0,78.075,131.230
100000,2,Grid,67.763,386154496,113277580,664,46,42,39,849,783,40,0.205,68,500,0,71.599,134.076
100000,2,Grid,67.956,386154496,116756948,664,28,42,39,851,784,40,0.200,68,500,0,71.257,115.472
100000,2,Grid,68.179,386154496,117593252,664,30,42,39,854,786,41,0.204,68,500,0,70.463,149.206
100000,2,Grid,68.403,385449984,114888380,664,32,42,39,856,788,41,0.308,68,500,0,79.869,137.642
100000,2,Grid,68.651,385941504,117623760,664,34,42,39,859,791,42,0.217,68,500,0,71.546,173.137
100000,2,Grid,68.834,386035712,116221412,664,36,42,39,860,792,42,0.202,68,500,0,45.368,130.541
100000,2,before_idle,70.382,404180992,112258948,700,30,42,39,875,805,43,0.052,92,500,0,0.000,0.000
100000,2,after_idle,90.437,381485056,115577260,698,28,41,37,1090,1020,43,0.353,84,500,0,0.000,0.000
100000,3,Rows,93.027,392040448,172175112,670,27,41,39,1119,1048,44,0.250,1120,500,0,107.286,225.153
100000,3,Rows,93.150,379772928,171459544,670,28,41,39,1120,1049,44,0.205,890,500,0,8.323,110.424
100000,3,Rows,95.324,393428992,123344824,664,30,41,38,1138,1061,47,0.227,99,500,0,1985.012,182.202
100000,3,Rows,95.471,394285056,118174148,665,30,42,39,1139,1062,47,0.290,97,500,0,12.328,131.110
100000,3,Rows,95.708,394371072,126014248,665,31,42,39,1142,1065,48,0.229,97,500,0,65.249,167.683
100000,3,Rows,95.901,394493952,119590480,665,32,42,39,1143,1066,48,0.205,97,500,0,82.674,103.136
100000,3,Rows,96.140,384118784,125948256,665,29,42,39,1146,1069,49,0.198,93,500,0,74.005,161.328
100000,3,Rows,96.347,393973760,119018816,665,30,42,39,1148,1071,49,0.201,93,500,0,75.005,124.881
100000,3,Rows,96.580,393748480,127682032,665,32,42,39,1151,1073,50,0.201,93,500,0,75.388,154.101
100000,3,Rows,96.799,394043392,117332168,665,34,42,39,1153,1075,50,0.219,93,500,0,80.366,132.131
100000,3,Grid,97.171,394952704,127841036,665,38,42,39,1157,1078,51,0.202,91,500,0,184.887,147.973
100000,3,Grid,97.317,394399744,118664136,667,40,42,39,1158,1079,51,0.324,91,500,0,11.022,128.812
100000,3,Grid,97.542,394858496,127276552,667,42,42,39,1161,1081,52,0.198,91,500,0,65.543,156.308
100000,3,Grid,97.770,395128832,117377248,667,44,42,39,1163,1083,52,0.202,91,500,0,79.216,142.294
100000,3,Grid,97.983,395665408,119002156,667,46,42,39,1166,1086,53,0.197,91,500,0,72.921,135.410
100000,3,Grid,98.180,395145216,119484392,667,28,42,39,1167,1086,53,0.198,91,500,0,45.746,120.555
100000,3,Grid,98.372,395313152,125480764,671,30,43,39,1170,1088,54,0.191,91,500,0,9.541,178.651
100000,3,Grid,98.580,396304384,119129824,671,32,43,39,1171,1089,54,0.207,91,500,0,64.921,137.046
100000,3,Grid,98.793,395907072,116677960,691,34,46,40,1173,1090,54,0.228,94,500,0,50.046,158.832
100000,3,Grid,98.977,396963840,119468880,691,36,46,40,1174,1091,54,0.201,94,500,0,46.172,133.534
100000,3,before_idle,100.488,415318016,120427744,727,32,47,40,1189,1103,56,0.319,123,500,0,0.000,0.000
