products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,pos_view_entry_first_in_process,0,332.462,112562176,17,16,2
100000,scan_500_view_bitmap,0,1989.695,180797440,45,41,6
100000,scan_500_view_bitmap,1,1790.164,203653120,64,57,9
100000,scan_500_view_bitmap,2,212.302,206045184,68,58,10
100000,scan_500_view_bitmap,3,181.216,206422016,70,59,10
100000,scan_500_view_bitmap,4,174.152,207990784,72,60,10
100000,scan_500_view_bitmap,5,180.060,208084992,74,61,10
100000,scan_500_view_bitmap,6,175.455,208441344,76,62,10
100000,scan_500_view_bitmap,7,192.437,208035840,78,63,10
100000,scan_500_view_bitmap,8,172.558,209465344,80,64,10
100000,scan_500_view_bitmap,9,181.168,209039360,82,65,10
100000,scan_500_view_bitmap,10,175.311,215179264,84,66,10
100000,scan_500_view_bitmap,11,176.431,214335488,86,68,10
100000,scan_500_view_bitmap,12,172.216,216485888,88,69,10
100000,scan_500_view_bitmap,13,178.285,217968640,90,71,10
100000,scan_500_view_bitmap,14,171.058,216694784,92,73,10
100000,scan_500_view_bitmap,15,175.980,217047040,94,75,10
100000,scan_500_view_bitmap,16,171.826,218443776,96,77,10
100000,scan_500_view_bitmap,17,178.022,217837568,98,79,10
100000,scan_500_view_bitmap,18,176.757,220209152,100,80,10
100000,scan_500_view_bitmap,19,183.570,220508160,102,81,10
100000,scan_500_view_bitmap,20,173.898,220659712,104,82,10
100000,scan_500_view_bitmap,21,183.715,219553792,106,83,10
100000,scan_500_view_bitmap,22,175.007,220258304,108,84,10
100000,scan_500_view_bitmap,23,200.600,221016064,110,85,10
100000,scan_500_view_bitmap,24,176.242,221814784,112,86,10
100000,scan_500_view_bitmap,25,179.183,222887936,114,87,10
100000,scan_500_view_bitmap,26,233.222,225579008,117,89,11
100000,scan_500_view_bitmap,27,199.621,225976320,119,91,11
100000,scan_500_view_bitmap,28,175.400,227901440,120,92,11
100000,scan_500_view_bitmap,29,174.256,225308672,122,93,11
100000,scan_500_view_bitmap,30,179.511,227434496,124,94,11
100000,search_details_100,0,43.022,227622912,124,94,11
100000,local_sale_transaction_no_network,0,89.312,229076992,124,94,11
100000,daily_csv_1_to_31_sales,0,9.283,229347328,124,94,11
100000,search_details_100,1,36.334,229478400,124,94,11
100000,local_sale_transaction_no_network,1,29.614,226459648,125,95,11
100000,daily_csv_1_to_31_sales,1,3.560,224530432,125,95,11
100000,search_details_100,2,35.833,208179200,125,95,11
100000,local_sale_transaction_no_network,2,6.065,208261120,125,95,11
100000,daily_csv_1_to_31_sales,2,2.805,208261120,125,95,11
100000,search_details_100,3,34.584,208261120,125,95,11
100000,local_sale_transaction_no_network,3,5.687,208261120,125,95,11
100000,daily_csv_1_to_31_sales,3,0.672,208261120,125,95,11
100000,search_details_100,4,34.705,208261120,125,95,11
100000,local_sale_transaction_no_network,4,5.839,208261120,125,95,11
100000,daily_csv_1_to_31_sales,4,2.754,208261120,125,95,11
100000,search_details_100,5,34.854,208261120,125,95,11
100000,local_sale_transaction_no_network,5,5.973,208261120,125,95,11
100000,daily_csv_1_to_31_sales,5,0.614,208261120,125,95,11
100000,search_details_100,6,34.739,208261120,125,95,11
100000,local_sale_transaction_no_network,6,5.872,208261120,125,95,11
100000,daily_csv_1_to_31_sales,6,3.157,208261120,125,95,11
100000,search_details_100,7,34.137,208261120,125,95,11
100000,local_sale_transaction_no_network,7,6.115,208261120,125,95,11
100000,daily_csv_1_to_31_sales,7,2.910,208261120,125,95,11
100000,search_details_100,8,35.088,208261120,125,95,11
100000,local_sale_transaction_no_network,8,5.192,208261120,125,95,11
100000,daily_csv_1_to_31_sales,8,2.733,208261120,125,95,11
100000,search_details_100,9,34.356,208261120,125,95,11
100000,local_sale_transaction_no_network,9,5.556,208261120,125,95,11
100000,daily_csv_1_to_31_sales,9,3.750,208261120,125,95,11
100000,search_details_100,10,35.160,208261120,125,95,11
100000,local_sale_transaction_no_network,10,6.365,208261120,125,95,11
100000,daily_csv_1_to_31_sales,10,2.742,208261120,125,95,11
100000,search_details_100,11,34.858,208261120,125,95,11
100000,local_sale_transaction_no_network,11,5.923,208261120,125,95,11
100000,daily_csv_1_to_31_sales,11,0.610,208261120,125,95,11
100000,search_details_100,12,35.493,208261120,125,95,11
100000,local_sale_transaction_no_network,12,8.457,208261120,126,95,11
100000,daily_csv_1_to_31_sales,12,3.131,208261120,126,95,11
100000,search_details_100,13,35.827,208261120,126,95,11
100000,local_sale_transaction_no_network,13,6.020,208261120,126,95,11
100000,daily_csv_1_to_31_sales,13,3.026,208261120,126,95,11
100000,search_details_100,14,36.379,208261120,126,95,11
100000,local_sale_transaction_no_network,14,5.618,208261120,126,95,11
100000,daily_csv_1_to_31_sales,14,0.672,208261120,126,95,11
100000,search_details_100,15,34.611,208261120,126,95,11
100000,local_sale_transaction_no_network,15,5.774,208261120,126,95,11
100000,daily_csv_1_to_31_sales,15,2.824,208261120,126,95,11
100000,search_details_100,16,36.809,208261120,126,95,11
100000,local_sale_transaction_no_network,16,5.905,208519168,126,95,11
100000,daily_csv_1_to_31_sales,16,2.864,208519168,126,95,11
100000,search_details_100,17,33.572,208519168,126,95,11
100000,local_sale_transaction_no_network,17,5.693,208519168,126,95,11
100000,daily_csv_1_to_31_sales,17,2.855,208519168,126,95,11
100000,search_details_100,18,36.456,208519168,126,95,11
100000,local_sale_transaction_no_network,18,5.877,208519168,126,95,11
100000,daily_csv_1_to_31_sales,18,3.163,208519168,126,95,11
100000,search_details_100,19,33.743,208519168,126,95,11
100000,local_sale_transaction_no_network,19,5.832,208519168,126,95,11
100000,daily_csv_1_to_31_sales,19,2.794,208519168,126,95,11
100000,search_details_100,20,34.479,208519168,126,95,11
100000,local_sale_transaction_no_network,20,6.136,208519168,126,95,11
100000,daily_csv_1_to_31_sales,20,2.639,208519168,126,95,11
100000,search_details_100,21,36.286,208519168,126,95,11
100000,local_sale_transaction_no_network,21,5.696,208519168,126,95,11
100000,daily_csv_1_to_31_sales,21,0.601,208519168,126,95,11
100000,search_details_100,22,34.458,208519168,126,95,11
100000,local_sale_transaction_no_network,22,6.619,208519168,127,95,11
100000,daily_csv_1_to_31_sales,22,2.543,208519168,127,95,11
100000,search_details_100,23,33.644,208519168,127,95,11
100000,local_sale_transaction_no_network,23,6.191,208519168,127,95,11
100000,daily_csv_1_to_31_sales,23,0.606,208519168,127,95,11
100000,search_details_100,24,35.061,208519168,127,95,11
100000,local_sale_transaction_no_network,24,5.957,208519168,127,95,11
100000,daily_csv_1_to_31_sales,24,3.388,208519168,127,95,11
100000,search_details_100,25,33.880,208519168,127,95,11
100000,local_sale_transaction_no_network,25,5.754,208519168,127,95,11
100000,daily_csv_1_to_31_sales,25,2.668,208519168,127,95,11
100000,search_details_100,26,37.897,208519168,127,95,11
100000,local_sale_transaction_no_network,26,6.030,208519168,127,95,11
100000,daily_csv_1_to_31_sales,26,0.818,208519168,127,95,11
100000,search_details_100,27,35.379,208519168,127,95,11
100000,local_sale_transaction_no_network,27,5.330,208519168,127,95,11
100000,daily_csv_1_to_31_sales,27,4.023,208519168,127,95,11
100000,search_details_100,28,36.185,208519168,127,95,11
100000,local_sale_transaction_no_network,28,6.242,208519168,127,95,11
100000,daily_csv_1_to_31_sales,28,2.968,208519168,127,95,11
100000,search_details_100,29,34.730,208519168,127,95,11
100000,local_sale_transaction_no_network,29,5.887,208519168,127,95,11
100000,daily_csv_1_to_31_sales,29,3.021,208519168,127,95,11
100000,search_details_100,30,34.004,208519168,127,95,11
100000,local_sale_transaction_no_network,30,6.207,208519168,127,95,11
100000,daily_csv_1_to_31_sales,30,2.703,208519168,127,95,11
