products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
100000,0,1861.526,0.699,16.180,10.073,101.204
100000,1,82.871,1.745,1581.144,0.772,123.615
100000,2,100.750,1.073,9.408,3.415,97.643
100000,3,60.413,1.049,5.032,0.760,113.949
100000,4,60.609,0.961,4.652,10.640,97.276
100000,5,59.062,1.655,4.672,0.872,113.786
100000,6,59.970,1.038,3.088,11.563,99.782
100000,7,65.195,1.060,3.513,0.819,121.837
100000,8,60.242,1.374,3.876,11.586,95.467
100000,9,57.982,0.975,4.574,0.711,116.913
100000,10,60.651,1.176,3.212,12.991,97.268
100000,11,58.192,1.086,2.896,0.671,113.573
100000,12,59.285,1.045,3.412,11.343,97.119
100000,13,58.336,1.161,3.379,0.740,114.652
100000,14,60.006,1.301,2.786,11.598,95.353
100000,15,56.932,1.072,4.083,0.755,113.126
100000,16,58.733,1.041,3.631,12.454,95.954
100000,17,56.758,1.185,2.939,0.726,116.401
100000,18,63.345,0.994,3.158,11.488,97.759
100000,19,62.159,2.394,4.709,0.699,113.595
100000,20,61.278,1.052,3.334,12.096,96.126
100000,21,59.522,1.099,2.661,0.696,119.723
100000,22,62.292,1.191,3.143,11.861,96.508
100000,23,62.525,1.034,3.652,0.750,132.625
100000,24,61.223,1.043,3.596,12.217,98.144
100000,25,60.610,1.022,3.010,0.844,113.680
100000,26,61.264,1.200,3.265,1.170,166.310
100000,27,63.727,1.087,3.002,0.732,131.055
100000,28,41.752,1.902,4.130,0.626,126.974
100000,29,60.507,1.014,4.333,12.079,96.309
100000,30,61.328,1.118,3.649,0.752,112.651
