products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
100000,1,scan,0,56.602,34787328,8,7,1,3.111,2,2,0
100000,1,scan,1,1.962,34787328,8,7,1,0.235,2,2,0
100000,1,scan,2,1.133,34791424,8,7,1,0.139,2,2,0
100000,1,scan,3,0.862,34791424,8,7,1,0.106,2,2,0
100000,1,scan,4,0.786,34791424,8,7,1,0.059,2,2,0
100000,1,scan,5,0.843,34791424,8,7,1,0.155,2,2,0
100000,1,scan,6,0.668,34791424,8,7,1,0.065,2,2,0
100000,1,scan,7,0.865,34791424,8,7,1,0.065,2,2,0
100000,1,scan,8,0.771,34791424,8,7,1,0.054,2,2,0
100000,1,scan,9,0.683,34791424,8,7,1,0.046,2,2,0
100000,1,scan,10,1.067,34791424,8,7,1,0.160,2,2,0
100000,1,scan,11,0.776,34791424,8,7,1,0.059,2,2,0
100000,1,scan,12,0.934,34791424,8,7,1,0.083,2,2,0
100000,1,scan,13,0.816,34791424,8,7,1,0.059,2,2,0
100000,1,scan,14,0.878,34791424,8,7,1,0.081,2,2,0
100000,1,scan,15,0.655,34791424,8,7,1,0.053,2,2,0
100000,1,scan,16,0.662,34791424,8,7,1,0.049,2,2,0
100000,1,scan,17,1.256,34791424,8,7,1,0.085,2,2,0
100000,1,scan,18,0.953,34791424,8,7,1,0.153,2,2,0
100000,1,scan,19,0.885,34791424,8,7,1,0.076,2,2,0
100000,1,scan,20,0.762,34791424,8,7,1,0.089,2,2,0
100000,1,scan,21,0.762,34791424,8,7,1,0.064,2,2,0
100000,1,scan,22,0.992,34791424,8,7,1,0.079,2,2,0
100000,1,scan,23,0.672,34791424,8,7,1,0.052,2,2,0
100000,1,scan,24,1.268,34791424,8,7,1,0.073,2,2,0
100000,1,scan,25,0.795,34791424,8,7,1,0.061,2,2,0
100000,1,scan,26,0.845,34791424,8,7,1,0.079,2,2,0
100000,1,scan,27,0.670,34791424,8,7,1,0.060,2,2,0
100000,1,scan,28,3.586,34791424,9,8,1,0.154,2,2,0
100000,1,scan,29,1.079,34791424,9,8,1,0.121,2,2,0
100000,1,scan,30,0.826,34791424,9,8,1,0.076,2,2,0
100000,10,scan,0,1.031,34791424,9,8,1,0.125,2,2,0
100000,10,scan,1,1.011,34791424,9,8,1,0.186,2,2,0
100000,10,scan,2,0.758,34791424,9,8,1,0.055,2,2,0
100000,10,scan,3,1.043,34791424,9,8,1,0.066,2,2,0
100000,10,scan,4,0.753,34791424,9,8,1,0.067,2,2,0
100000,10,scan,5,0.891,34791424,9,8,1,0.063,2,2,0
100000,10,scan,6,0.945,34791424,9,8,1,0.057,2,2,0
100000,10,scan,7,0.900,34791424,9,8,1,0.076,2,2,0
100000,10,scan,8,0.777,34791424,9,8,1,0.055,2,2,0
100000,10,scan,9,0.977,34791424,9,8,1,0.063,2,2,0
100000,10,scan,10,1.097,34791424,9,8,1,0.067,2,2,0
100000,10,scan,11,1.044,34791424,9,8,1,0.073,2,2,0
100000,10,scan,12,2.324,34791424,9,8,1,0.153,2,2,0
100000,10,scan,13,1.176,34791424,9,8,1,0.117,2,2,0
100000,10,scan,14,0.839,34791424,9,8,1,0.061,2,2,0
100000,10,scan,15,1.012,34791424,9,8,1,0.076,2,2,0
100000,10,scan,16,1.195,34791424,9,8,1,0.065,2,2,0
100000,10,scan,17,0.952,34791424,9,8,1,0.101,2,2,0
100000,10,scan,18,0.852,34791424,9,8,1,0.066,2,2,0
100000,10,scan,19,0.971,34791424,9,8,1,0.081,2,2,0
100000,10,scan,20,0.716,34791424,9,8,1,0.057,2,2,0
100000,10,scan,21,0.901,34791424,9,8,1,0.079,2,2,0
100000,10,scan,22,1.737,34791424,9,8,1,0.129,2,2,0
100000,10,scan,23,1.052,34791424,9,8,1,0.158,2,2,0
100000,10,scan,24,0.905,34791424,9,8,1,0.092,2,2,0
100000,10,scan,25,0.881,34791424,9,8,1,0.058,2,2,0
100000,10,scan,26,1.006,34791424,9,8,1,0.083,2,2,0
100000,10,scan,27,0.776,34791424,9,8,1,0.052,2,2,0
100000,10,scan,28,1.000,34791424,9,8,1,0.100,2,2,0
100000,10,scan,29,0.729,34791424,9,8,1,0.057,2,2,0
100000,10,scan,30,1.150,34791424,9,8,1,0.059,2,2,0
100000,50,scan,0,1.307,34791424,9,8,1,0.101,2,2,0
100000,50,scan,1,4.676,34791424,9,8,1,0.413,2,2,0
100000,50,scan,2,1.788,34791424,9,8,1,0.285,2,2,0
100000,50,scan,3,1.025,34791424,9,8,1,0.061,2,2,0
100000,50,scan,4,1.410,34791424,9,8,1,0.070,2,2,0
100000,50,scan,5,1.076,34988032,9,8,1,0.060,2,2,0
100000,50,scan,6,1.147,35184640,9,8,1,0.080,2,2,0
100000,50,scan,7,1.300,35315712,9,8,1,0.077,2,2,0
100000,50,scan,8,2.139,35512320,9,8,1,0.127,2,2,0
100000,50,scan,9,3.596,35708928,10,9,1,0.135,2,2,0
100000,50,scan,10,1.272,35708928,10,9,1,0.078,2,2,0
100000,50,scan,11,0.947,35708928,10,9,1,0.056,2,2,0
100000,50,scan,12,1.543,35708928,10,9,1,0.137,2,2,0
100000,50,scan,13,1.759,35708928,10,9,1,0.061,2,2,0
100000,50,scan,14,1.649,35708928,10,9,1,0.115,2,2,0
100000,50,scan,15,1.839,35708928,10,9,1,0.137,2,2,0
100000,50,scan,16,1.399,35708928,10,9,1,0.103,2,2,0
100000,50,scan,17,2.506,35708928,10,9,1,0.188,2,2,0
100000,50,scan,18,2.007,35708928,10,9,1,0.214,2,2,0
100000,50,scan,19,1.280,35708928,10,9,1,0.292,2,2,0
100000,50,scan,20,1.440,35708928,10,9,1,0.115,2,2,0
100000,50,scan,21,1.176,35708928,10,9,1,0.055,2,2,0
100000,50,scan,22,1.129,35708928,10,9,1,0.081,2,2,0
100000,50,scan,23,1.086,35708928,10,9,1,0.060,2,2,0
100000,50,scan,24,1.229,35708928,10,9,1,0.076,2,2,0
100000,50,scan,25,1.015,35708928,10,9,1,0.055,2,2,0
100000,50,scan,26,1.214,35708928,10,9,1,0.093,2,2,0
100000,50,scan,27,1.210,35708928,10,9,1,0.054,2,2,0
100000,50,scan,28,1.197,35708928,10,9,1,0.095,2,2,0
100000,50,scan,29,1.475,35708928,10,9,1,0.071,2,2,0
100000,50,scan,30,1.588,35708928,10,9,1,0.071,2,2,0
100000,100,scan,0,1.728,35708928,10,9,1,0.066,2,2,0
100000,100,scan,1,1.558,35708928,10,9,1,0.121,2,2,0
100000,100,scan,2,1.831,35708928,10,9,1,0.057,2,2,0
100000,100,scan,3,1.531,35708928,10,9,1,0.060,2,2,0
100000,100,scan,4,1.490,35708928,10,9,1,0.106,2,2,0
