products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
100000,0,Rows,2.785,245542912,53852724,650,24,44,42,156,128,14,0.554,30,0,0,2379.829,179.064
100000,0,Rows,5.448,198184960,61177136,646,25,44,42,174,142,17,0.391,32,0,0,78.204,2579.805
100000,0,Rows,5.706,202854400,61444160,647,26,44,43,177,144,17,0.415,32,0,0,94.796,159.915
100000,0,Rows,5.943,214982656,61809804,647,27,44,43,179,146,18,0.715,23,0,0,45.927,186.909
100000,0,Rows,6.144,215797760,63924732,647,28,44,43,181,147,18,0.271,23,0,0,72.970,118.503
100000,0,Rows,6.356,217210880,64168856,647,30,44,43,183,148,18,0.265,23,0,0,66.383,133.799
100000,0,Rows,6.560,205537280,65106468,647,32,44,43,185,149,18,0.686,23,0,0,65.910,133.256
100000,0,Rows,6.763,219103232,65301508,647,34,44,43,187,150,18,0.288,22,0,0,69.458,128.588
100000,0,Rows,6.968,209248256,66269720,647,36,44,43,189,151,18,0.510,23,0,0,75.128,125.768
100000,0,Rows,7.173,221114368,66490924,647,38,44,43,191,152,18,0.274,23,0,0,73.727,124.769
100000,0,Grid,7.826,210477056,61208452,650,42,44,43,198,155,19,0.277,21,500,0,232.562,168.866
100000,0,Grid,8.030,226017280,63744628,650,44,44,43,199,156,19,0.546,21,500,0,47.338,152.554
100000,0,Grid,8.227,213614592,64738988,650,26,44,43,201,157,19,0.273,20,500,0,61.725,131.698
100000,0,Grid,8.430,224559104,65210368,650,28,44,43,203,158,19,0.464,21,500,0,66.379,131.658
100000,0,Grid,8.630,224616448,66040456,650,30,44,43,205,159,19,0.299,21,500,0,71.823,124.691
100000,0,Grid,8.840,224391168,66424520,650,32,44,43,207,160,19,0.685,21,500,0,65.967,138.330
100000,0,Grid,9.105,224903168,61880796,650,34,44,43,210,162,20,2.165,21,500,0,70.297,188.784
100000,0,Grid,9.341,225230848,62095600,650,36,44,43,212,164,20,0.391,21,500,0,79.163,148.762
100000,0,Grid,9.534,225304576,64548856,650,38,44,43,214,165,20,0.289,21,500,0,65.821,118.110
100000,0,Grid,9.726,225292288,64722456,650,40,44,43,216,166,20,0.784,21,500,0,69.741,117.502
100000,0,before_idle,12.484,244695040,61815652,711,30,45,43,230,178,21,0.375,15,500,0,0.000,0.000
100000,0,after_idle,32.493,223834112,64618788,704,28,43,43,332,280,21,0.057,1,500,0,0.000,0.000
100000,1,Rows,35.420,271519744,116502232,683,27,44,44,361,308,22,0.263,1055,500,0,88.506,275.118
100000,1,Rows,38.214,290672640,60573080,678,27,44,43,378,322,24,0.222,21,500,0,2538.870,236.696
100000,1,Rows,38.458,291913728,61084088,679,28,44,44,380,324,24,0.307,15,500,0,71.548,168.204
100000,1,Rows,38.650,291295232,63277912,680,30,44,44,381,325,24,0.572,15,500,0,40.153,147.929
100000,1,Rows,38.917,291287040,60101600,679,32,44,44,384,327,25,0.249,15,500,0,55.255,202.383
100000,1,Rows,39.152,291340288,60582572,679,34,44,44,386,329,25,0.249,15,500,0,64.190,167.073
100000,1,Rows,39.340,292601856,62846740,679,36,44,44,387,330,25,0.229,15,500,0,42.583,139.874
100000,1,Rows,39.622,291840000,60486628,679,38,44,44,390,332,26,0.251,15,500,0,69.775,208.160
100000,1,Rows,39.850,292196352,60319512,679,40,44,44,392,334,26,0.237,15,500,0,72.539,151.331
100000,1,Rows,40.041,292802560,62636580,679,42,44,44,393,335,26,0.234,15,500,0,46.890,138.241
100000,1,Grid,40.587,225640448,62362848,679,46,44,44,398,338,28,0.261,13,500,0,243.458,286.689
100000,1,Grid,40.793,226271232,62404544,679,28,44,44,400,339,28,0.255,13,500,0,60.497,141.557
100000,1,Grid,41.040,226545664,60550588,679,30,44,44,403,341,29,0.244,13,500,0,56.888,185.141
100000,1,Grid,41.244,226816000,60388932,679,32,44,44,405,343,29,0.248,13,500,0,55.113,145.121
100000,1,Grid,41.425,227213312,62857364,679,34,44,44,406,344,29,0.237,13,500,0,49.101,128.533
100000,1,Grid,41.670,226455552,60476636,679,36,44,44,409,346,30,0.272,13,500,0,62.183,178.442
100000,1,Grid,41.895,226766848,60685736,679,38,44,44,411,348,30,0.258,13,500,0,70.956,149.329
100000,1,Grid,42.112,227033088,60980832,679,40,44,44,413,350,31,0.290,13,500,0,34.746,178.364
100000,1,Grid,42.301,227033088,61881064,679,42,44,44,415,351,31,0.988,13,500,0,66.362,118.222
100000,1,Grid,42.549,226402304,60544476,676,44,44,41,418,353,32,0.285,13,500,0,60.846,178.615
100000,1,before_idle,45.034,245665792,57119628,714,30,46,41,433,365,33,0.495,17,500,0,0.000,0.000
100000,1,after_idle,65.074,223817728,59185076,705,26,41,38,532,462,33,0.170,3,500,0,0.000,0.000
