products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,pos_view_entry_first_in_process,0,370.929,100257792,17,16,2
100000,scan_500_view_bitmap,0,2412.375,176738304,47,42,6
100000,scan_500_view_bitmap,1,2765.542,192622592,65,58,9
100000,scan_500_view_bitmap,2,210.649,192843776,68,60,9
100000,scan_500_view_bitmap,3,262.913,194510848,70,62,10
100000,scan_500_view_bitmap,4,203.482,193515520,72,63,10
100000,scan_500_view_bitmap,5,217.756,193134592,74,64,10
100000,scan_500_view_bitmap,6,273.411,195289088,76,65,10
100000,scan_500_view_bitmap,7,220.902,196489216,78,66,10
100000,scan_500_view_bitmap,8,204.193,201359360,80,67,10
100000,scan_500_view_bitmap,9,234.038,204169216,82,68,10
100000,scan_500_view_bitmap,10,232.702,199041024,84,69,10
100000,scan_500_view_bitmap,11,220.182,202604544,86,71,10
100000,scan_500_view_bitmap,12,216.220,204013568,88,72,10
100000,scan_500_view_bitmap,13,208.115,205049856,90,74,10
100000,scan_500_view_bitmap,14,203.390,206000128,92,75,10
100000,scan_500_view_bitmap,15,207.162,204455936,94,77,10
100000,scan_500_view_bitmap,16,198.673,207749120,96,79,10
100000,scan_500_view_bitmap,17,197.479,203923456,98,81,10
100000,scan_500_view_bitmap,18,202.894,204992512,100,83,10
100000,scan_500_view_bitmap,19,192.307,208318464,102,85,10
100000,scan_500_view_bitmap,20,194.581,210526208,104,86,10
100000,scan_500_view_bitmap,21,200.993,209383424,106,87,10
100000,scan_500_view_bitmap,22,254.429,211079168,109,89,11
100000,scan_500_view_bitmap,23,215.074,208371712,111,91,11
100000,scan_500_view_bitmap,24,178.653,212099072,112,92,11
100000,scan_500_view_bitmap,25,191.157,206913536,114,93,11
100000,scan_500_view_bitmap,26,198.756,208048128,116,94,11
100000,scan_500_view_bitmap,27,185.080,210808832,118,95,11
100000,scan_500_view_bitmap,28,196.335,213921792,120,96,11
100000,scan_500_view_bitmap,29,257.048,213483520,123,98,12
100000,scan_500_view_bitmap,30,214.578,214216704,125,100,12
100000,search_details_100,0,37.233,214650880,125,100,12
100000,local_sale_transaction_no_network,0,93.167,215318528,125,100,12
100000,daily_csv_1_to_31_sales,0,8.419,215326720,125,100,12
100000,search_details_100,1,40.357,215326720,125,100,12
100000,local_sale_transaction_no_network,1,6.895,215330816,125,100,12
100000,daily_csv_1_to_31_sales,1,3.068,210935808,125,100,12
100000,search_details_100,2,36.190,195215360,125,100,12
100000,local_sale_transaction_no_network,2,6.239,195293184,125,100,12
100000,daily_csv_1_to_31_sales,2,2.750,195293184,125,100,12
100000,search_details_100,3,53.435,195293184,125,100,12
100000,local_sale_transaction_no_network,3,6.442,195293184,125,100,12
100000,daily_csv_1_to_31_sales,3,0.573,195293184,125,100,12
100000,search_details_100,4,37.908,195293184,125,100,12
100000,local_sale_transaction_no_network,4,8.636,195293184,125,100,12
100000,daily_csv_1_to_31_sales,4,3.857,195489792,125,100,12
100000,search_details_100,5,33.546,195620864,125,100,12
100000,local_sale_transaction_no_network,5,8.791,195751936,125,100,12
100000,daily_csv_1_to_31_sales,5,3.607,196079616,125,100,12
100000,search_details_100,6,38.244,196145152,125,100,12
100000,local_sale_transaction_no_network,6,6.397,196341760,125,100,12
100000,daily_csv_1_to_31_sales,6,6.335,196608000,125,100,12
100000,search_details_100,7,33.079,196739072,125,100,12
100000,local_sale_transaction_no_network,7,10.323,196870144,125,100,12
