products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
100000,0,2253.722,0.678,17.017,16.302,124.643
100000,1,97.765,1.014,2501.937,1.170,163.641
100000,2,34.686,1.358,6.508,2.649,165.434
100000,3,55.266,1.257,5.264,1.476,199.634
100000,4,71.505,1.097,4.240,11.629,114.999
100000,5,72.859,1.660,6.070,2.218,134.929
100000,6,132.130,0.990,2.940,14.709,122.625
100000,7,67.038,1.011,13.957,0.967,137.914
100000,8,71.754,1.033,3.089,10.240,118.064
100000,9,66.190,1.961,8.883,3.030,153.961
100000,10,74.601,1.362,4.551,11.760,140.415
100000,11,70.249,1.415,3.793,1.128,143.582
100000,12,82.647,1.023,3.032,10.570,118.935
100000,13,71.954,1.011,3.419,0.849,130.860
100000,14,72.150,1.232,3.257,10.620,116.120
100000,15,63.149,0.970,4.109,1.181,137.741
100000,16,68.430,1.138,4.140,11.432,113.518
100000,17,67.185,0.969,3.678,0.860,124.774
100000,18,78.201,1.041,3.399,11.782,108.457
100000,19,60.489,1.196,4.415,2.346,123.847
100000,20,67.999,1.217,2.922,11.559,110.870
100000,21,71.359,1.029,2.880,0.787,124.923
100000,22,65.999,1.226,3.910,0.992,182.290
100000,23,67.505,1.007,3.091,0.875,142.582
100000,24,36.139,1.130,4.262,3.320,133.789
100000,25,67.692,1.004,3.265,10.993,108.189
100000,26,63.924,4.084,3.739,0.919,126.075
100000,27,60.659,1.021,3.595,10.520,109.272
100000,28,65.789,0.991,3.034,1.150,125.356
100000,29,61.626,1.055,7.752,2.239,184.362
100000,30,67.423,1.374,3.668,0.853,141.245
