products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
100000,1,scan,0,63.556,34795520,8,7,1,5.829,2,2,0
100000,1,scan,1,1.138,34795520,8,7,1,0.104,2,2,0
100000,1,scan,2,1.001,34799616,8,7,1,0.092,2,2,0
100000,1,scan,3,0.587,34799616,8,7,1,0.057,2,2,0
100000,1,scan,4,0.761,34799616,8,7,1,0.104,2,2,0
100000,1,scan,5,0.592,34799616,8,7,1,0.046,2,2,0
100000,1,scan,6,0.999,34799616,8,7,1,0.124,2,2,0
100000,1,scan,7,1.221,34799616,8,7,1,0.070,2,2,0
100000,1,scan,8,2.004,34799616,8,7,1,0.170,2,2,0
100000,1,scan,9,1.075,34799616,8,7,1,0.110,2,2,0
100000,1,scan,10,1.824,34799616,8,7,1,0.319,2,2,0
100000,1,scan,11,1.516,34799616,8,7,1,0.113,2,2,0
100000,1,scan,12,3.620,34799616,8,7,1,2.331,2,2,0
100000,1,scan,13,1.033,34799616,8,7,1,0.116,2,2,0
100000,1,scan,14,0.793,34799616,8,7,1,0.081,2,2,0
100000,1,scan,15,0.658,34799616,8,7,1,0.062,2,2,0
100000,1,scan,16,0.878,34799616,8,7,1,0.080,2,2,0
100000,1,scan,17,0.751,34799616,8,7,1,0.062,2,2,0
100000,1,scan,18,1.213,34799616,8,7,1,0.083,2,2,0
100000,1,scan,19,0.644,34799616,8,7,1,0.050,2,2,0
100000,1,scan,20,1.089,34799616,8,7,1,0.073,2,2,0
100000,1,scan,21,0.854,34799616,8,7,1,0.063,2,2,0
100000,1,scan,22,0.776,34799616,8,7,1,0.076,2,2,0
100000,1,scan,23,0.825,34799616,8,7,1,0.084,2,2,0
100000,1,scan,24,0.800,34799616,8,7,1,0.062,2,2,0
100000,1,scan,25,0.694,34799616,8,7,1,0.054,2,2,0
100000,1,scan,26,0.682,34799616,8,7,1,0.059,2,2,0
100000,1,scan,27,0.968,34799616,8,7,1,0.112,2,2,0
100000,1,scan,28,2.752,34799616,9,8,1,0.059,2,2,0
100000,1,scan,29,0.720,34799616,9,8,1,0.069,2,2,0
100000,1,scan,30,0.764,34799616,9,8,1,0.050,2,2,0
100000,10,scan,0,1.214,34799616,9,8,1,0.137,2,2,0
100000,10,scan,1,0.901,34799616,9,8,1,0.085,2,2,0
100000,10,scan,2,0.805,34799616,9,8,1,0.056,2,2,0
100000,10,scan,3,0.864,34799616,9,8,1,0.056,2,2,0
100000,10,scan,4,0.806,34799616,9,8,1,0.060,2,2,0
100000,10,scan,5,0.722,34799616,9,8,1,0.060,2,2,0
100000,10,scan,6,0.901,34799616,9,8,1,0.102,2,2,0
100000,10,scan,7,0.847,34799616,9,8,1,0.059,2,2,0
100000,10,scan,8,1.010,34799616,9,8,1,0.090,2,2,0
100000,10,scan,9,0.886,34799616,9,8,1,0.084,2,2,0
100000,10,scan,10,1.795,34799616,9,8,1,0.123,2,2,0
100000,10,scan,11,1.241,34799616,9,8,1,0.232,2,2,0
100000,10,scan,12,0.905,34799616,9,8,1,0.110,2,2,0
100000,10,scan,13,0.911,34799616,9,8,1,0.082,2,2,0
100000,10,scan,14,0.823,34799616,9,8,1,0.057,2,2,0
100000,10,scan,15,0.816,34799616,9,8,1,0.072,2,2,0
100000,10,scan,16,0.811,34799616,9,8,1,0.058,2,2,0
100000,10,scan,17,0.964,34799616,9,8,1,0.057,2,2,0
100000,10,scan,18,0.699,34799616,9,8,1,0.063,2,2,0
100000,10,scan,19,0.986,34799616,9,8,1,0.089,2,2,0
100000,10,scan,20,0.774,34799616,9,8,1,0.062,2,2,0
100000,10,scan,21,0.843,34799616,9,8,1,0.088,2,2,0
100000,10,scan,22,0.774,34799616,9,8,1,0.049,2,2,0
100000,10,scan,23,0.873,34799616,9,8,1,0.079,2,2,0
100000,10,scan,24,1.218,34799616,9,8,1,0.135,2,2,0
100000,10,scan,25,2.221,34799616,9,8,1,0.654,2,2,0
100000,10,scan,26,1.647,34799616,9,8,1,0.224,2,2,0
100000,10,scan,27,1.328,34799616,9,8,1,0.242,2,2,0
100000,10,scan,28,1.035,34799616,9,8,1,0.089,2,2,0
100000,10,scan,29,0.955,34799616,9,8,1,0.067,2,2,0
100000,10,scan,30,0.836,34799616,9,8,1,0.060,2,2,0
100000,50,scan,0,1.114,34799616,9,8,1,0.077,2,2,0
100000,50,scan,1,1.139,34799616,9,8,1,0.056,2,2,0
100000,50,scan,2,1.231,34799616,9,8,1,0.076,2,2,0
100000,50,scan,3,1.137,34799616,9,8,1,0.059,2,2,0
100000,50,scan,4,1.115,34799616,9,8,1,0.082,2,2,0
100000,50,scan,5,1.123,34996224,9,8,1,0.057,2,2,0
100000,50,scan,6,1.289,35127296,9,8,1,0.086,2,2,0
100000,50,scan,7,1.593,35323904,9,8,1,0.121,2,2,0
100000,50,scan,8,1.871,35520512,9,8,1,0.286,2,2,0
100000,50,scan,9,3.333,35651584,10,9,1,0.079,2,2,0
100000,50,scan,10,1.411,35651584,10,9,1,0.093,2,2,0
100000,50,scan,11,1.173,35651584,10,9,1,0.058,2,2,0
100000,50,scan,12,1.197,35651584,10,9,1,0.062,2,2,0
100000,50,scan,13,1.107,35651584,10,9,1,0.056,2,2,0
100000,50,scan,14,1.589,35651584,10,9,1,0.128,2,2,0
100000,50,scan,15,2.906,35651584,10,9,1,0.075,2,2,0
100000,50,scan,16,1.816,35651584,10,9,1,0.171,2,2,0
100000,50,scan,17,1.335,35651584,10,9,1,0.064,2,2,0
100000,50,scan,18,1.093,35651584,10,9,1,0.061,2,2,0
100000,50,scan,19,1.729,35651584,10,9,1,0.052,2,2,0
100000,50,scan,20,1.142,35651584,10,9,1,0.060,2,2,0
100000,50,scan,21,1.273,35651584,10,9,1,0.122,2,2,0
100000,50,scan,22,1.245,35651584,10,9,1,0.049,2,2,0
100000,50,scan,23,1.478,35651584,10,9,1,0.093,2,2,0
100000,50,scan,24,1.682,35651584,10,9,1,0.085,2,2,0
100000,50,scan,25,2.149,35651584,10,9,1,0.203,2,2,0
100000,50,scan,26,1.588,35651584,10,9,1,0.241,2,2,0
100000,50,scan,27,2.383,35651584,10,9,1,0.135,2,2,0
100000,50,scan,28,1.343,35651584,10,9,1,0.137,2,2,0
100000,50,scan,29,1.160,35651584,10,9,1,0.070,2,2,0
100000,50,scan,30,1.053,35651584,10,9,1,0.057,2,2,0
100000,100,scan,0,1.485,35651584,10,9,1,0.068,2,2,0
100000,100,scan,1,1.521,35651584,10,9,1,0.058,2,2,0
100000,100,scan,2,1.591,35651584,10,9,1,0.061,2,2,0
100000,100,scan,3,1.790,35651584,10,9,1,0.088,2,2,0
100000,100,scan,4,1.822,35655680,10,9,1,0.116,2,2,0
100000,100,scan,5,1.597,35655680,11,10,1,0.053,2,2,0
100000,100,scan,6,1.594,35655680,11,10,1,0.057,2,2,0
100000,100,scan,7,1.702,35655680,11,10,1,0.101,2,2,0
100000,100,scan,8,1.430,35655680,11,10,1,0.052,2,2,0
100000,100,scan,9,1.690,35655680,11,10,1,0.089,2,2,0
100000,100,scan,10,1.409,35655680,11,10,1,0.052,2,2,0
100000,100,scan,11,2.102,35655680,11,10,1,0.096,2,2,0
100000,100,scan,12,1.530,35655680,11,10,1,0.053,2,2,0
100000,100,scan,13,1.850,35655680,11,10,1,0.132,2,2,0
100000,100,scan,14,1.420,35655680,11,10,1,0.056,2,2,0
100000,100,scan,15,1.577,35655680,11,10,1,0.095,2,2,0
100000,100,scan,16,1.721,35655680,11,10,1,0.063,2,2,0
100000,100,scan,17,2.977,35655680,11,10,1,0.091,2,2,0
100000,100,scan,18,1.890,35655680,11,10,1,0.163,2,2,0
100000,100,scan,19,2.122,35655680,11,10,1,0.144,2,2,0
100000,100,scan,20,1.683,35655680,11,10,1,0.190,2,2,0
100000,100,scan,21,1.710,35655680,11,10,1,0.078,2,2,0
100000,100,scan,22,1.526,35655680,11,10,1,0.045,2,2,0
100000,100,scan,23,1.634,35655680,11,10,1,0.075,2,2,0
100000,100,scan,24,1.485,35655680,11,10,1,0.057,2,2,0
100000,100,scan,25,1.587,35655680,11,10,1,0.072,2,2,0
100000,100,scan,26,1.519,35655680,11,10,1,0.058,2,2,0
100000,100,scan,27,1.557,35655680,12,11,1,0.078,2,2,0
100000,100,scan,28,1.549,35655680,12,11,1,0.056,2,2,0
100000,100,scan,29,1.612,35655680,12,11,1,0.090,2,2,0
100000,100,scan,30,1.700,35655680,12,11,1,0.117,2,2,0
100000,500,scan,0,13.272,35655680,12,11,1,0.143,2,2,0
100000,500,scan,1,6.064,35655680,12,11,1,0.133,2,2,0
100000,500,scan,2,7.249,35655680,12,11,1,0.106,2,2,0
100000,500,scan,3,6.187,35655680,12,11,1,0.073,2,2,0
100000,500,scan,4,6.063,35741696,12,11,1,0.063,2,2,0
100000,500,scan,5,6.314,35741696,12,11,1,0.063,2,2,0
100000,500,scan,6,6.841,35741696,13,12,1,0.100,2,2,0
100000,500,scan,7,5.942,35741696,13,12,1,0.114,2,2,0
100000,500,scan,8,7.165,35741696,13,12,1,0.073,2,2,0
100000,500,scan,9,10.396,35741696,13,12,1,0.316,2,2,0
100000,500,scan,10,6.633,35741696,13,12,1,0.143,2,2,0
100000,500,scan,11,6.154,35741696,13,12,1,0.088,2,2,0
100000,500,scan,12,5.876,35741696,13,12,1,0.079,2,2,0
100000,500,scan,13,5.880,35741696,14,13,1,0.066,2,2,0
100000,500,scan,14,8.825,35741696,14,13,1,0.090,2,2,0
100000,500,scan,15,6.369,35741696,14,13,1,0.143,2,2,0
100000,500,scan,16,6.064,35741696,14,13,1,0.066,2,2,0
100000,500,scan,17,5.909,35741696,14,13,1,0.057,2,2,0
100000,500,scan,18,10.316,35741696,14,13,1,0.064,2,2,0
100000,500,scan,19,6.999,35741696,14,13,1,0.150,2,2,0
100000,500,scan,20,6.173,35741696,14,13,1,0.067,2,2,0
100000,500,scan,21,9.150,35741696,15,14,2,0.089,2,2,0
100000,500,scan,22,11.401,35741696,15,14,2,0.100,2,2,0
100000,500,scan,23,6.096,35741696,15,14,2,0.097,2,2,0
100000,500,scan,24,6.978,35741696,15,14,2,0.064,2,2,0
100000,500,scan,25,9.516,35741696,15,14,2,0.154,2,2,0
100000,500,scan,26,6.457,35741696,15,14,2,0.085,2,2,0
100000,500,scan,27,6.015,35741696,15,14,2,0.086,2,2,0
100000,500,scan,28,6.016,35741696,15,14,2,0.074,2,2,0
100000,500,scan,29,11.563,35741696,16,15,2,0.153,2,2,0
100000,500,scan,30,6.715,35741696,16,15,2,0.170,2,2,0
