products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
100000,0,Rows,2.660,242163712,53849024,643,24,45,42,157,127,14,0.925,30,0,0,2228.317,188.116
100000,0,Rows,5.275,192905216,61422500,640,25,45,42,176,140,18,0.357,32,0,0,75.113,2534.046
100000,0,Rows,5.484,195915776,63819400,641,26,45,43,178,141,18,0.280,32,0,0,90.971,114.574
100000,0,Rows,5.681,196288512,63860804,641,28,45,43,180,142,18,0.693,30,0,0,58.188,133.982
100000,0,Rows,5.872,198221824,64735728,641,27,45,43,182,143,18,0.276,22,0,0,64.164,123.667
100000,0,Rows,6.077,197558272,65052392,641,28,45,43,184,144,18,1.616,23,0,0,64.390,125.534
100000,0,Rows,6.261,198193152,65888748,641,30,45,43,186,145,18,0.307,23,0,0,63.204,116.114
100000,0,Rows,6.453,198103040,66090380,641,32,45,43,188,146,18,0.422,23,0,0,65.880,121.913
100000,0,Rows,6.647,201457664,67044516,641,34,45,43,190,147,18,0.279,23,0,0,67.613,120.888
100000,0,Rows,6.837,199168000,67261768,641,36,45,43,192,148,18,0.473,23,0,0,62.601,124.341
100000,0,Grid,7.422,207515648,61260524,644,40,45,43,199,151,19,0.285,21,500,0,193.405,151.579
100000,0,Grid,7.603,204386304,63817284,644,42,45,43,200,152,19,0.415,21,500,0,36.338,140.469
100000,0,Grid,7.788,205598720,64807016,644,44,45,43,202,153,19,0.279,20,500,0,61.265,119.223
100000,0,Grid,7.979,206172160,65175148,644,26,45,43,204,154,19,0.522,21,500,0,63.868,122.693
100000,0,Grid,8.166,206086144,66107600,644,28,45,43,206,155,19,0.277,21,500,0,63.198,120.168
100000,0,Grid,8.374,207884288,66312968,644,30,45,43,208,157,19,0.580,21,500,0,62.779,139.839
100000,0,Grid,8.605,207306752,64664396,644,32,45,43,211,159,19,0.382,21,500,0,66.292,160.141
100000,0,Grid,8.844,207106048,62055568,644,34,45,43,213,161,20,0.463,21,500,0,46.710,187.504
