products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,pos_view_entry_first_in_process,0,599.516,100904960,17,16,2
100000,scan_500_view_bitmap,0,2366.519,167804928,47,41,6
100000,scan_500_view_bitmap,1,2335.408,191201280,66,56,9
100000,scan_500_view_bitmap,2,212.182,192495616,69,58,10
100000,scan_500_view_bitmap,3,201.658,193146880,70,59,10
100000,scan_500_view_bitmap,4,324.387,195743744,74,62,10
100000,scan_500_view_bitmap,5,193.038,204271616,75,63,10
100000,scan_500_view_bitmap,6,194.297,200179712,77,64,10
100000,scan_500_view_bitmap,7,207.597,201535488,79,65,10
100000,scan_500_view_bitmap,8,206.384,199516160,81,66,10
100000,scan_500_view_bitmap,9,195.975,203231232,83,67,10
100000,scan_500_view_bitmap,10,197.951,203333632,85,68,10
100000,scan_500_view_bitmap,11,206.806,202039296,87,70,10
100000,scan_500_view_bitmap,12,199.044,204288000,89,71,10
100000,scan_500_view_bitmap,13,198.171,203378688,91,73,10
100000,scan_500_view_bitmap,14,206.182,207953920,93,75,10
100000,scan_500_view_bitmap,15,206.387,204595200,95,77,10
100000,scan_500_view_bitmap,16,202.335,205594624,97,79,10
100000,scan_500_view_bitmap,17,205.216,205656064,99,81,10
100000,scan_500_view_bitmap,18,203.711,207060992,101,83,10
100000,scan_500_view_bitmap,19,210.431,207421440,103,84,10
100000,scan_500_view_bitmap,20,201.630,207785984,105,85,10
100000,scan_500_view_bitmap,21,206.967,208515072,107,86,10
100000,scan_500_view_bitmap,22,199.908,208920576,109,87,10
100000,scan_500_view_bitmap,23,204.502,210018304,111,88,10
100000,scan_500_view_bitmap,24,269.255,214663168,114,90,11
100000,scan_500_view_bitmap,25,220.555,212054016,116,92,11
100000,scan_500_view_bitmap,26,186.002,214269952,117,93,11
100000,scan_500_view_bitmap,27,198.342,214982656,119,94,11
100000,scan_500_view_bitmap,28,200.569,213184512,121,95,11
100000,scan_500_view_bitmap,29,268.326,214224896,124,97,12
100000,scan_500_view_bitmap,30,219.337,213430272,126,99,12
100000,search_details_100,0,44.258,213778432,126,99,12
100000,local_sale_transaction_no_network,0,111.422,214564864,126,99,12
100000,daily_csv_1_to_31_sales,0,11.289,214573056,126,99,12
100000,search_details_100,1,33.037,214573056,126,99,12
100000,local_sale_transaction_no_network,1,12.686,214577152,126,99,12
100000,daily_csv_1_to_31_sales,1,3.519,208732160,126,99,12
100000,search_details_100,2,39.952,195407872,126,99,12
100000,local_sale_transaction_no_network,2,7.941,195489792,126,99,12
100000,daily_csv_1_to_31_sales,2,5.702,195489792,126,99,12
100000,search_details_100,3,34.224,195489792,126,99,12
100000,local_sale_transaction_no_network,3,9.509,195489792,126,99,12
100000,daily_csv_1_to_31_sales,3,3.067,195489792,126,99,12
100000,search_details_100,4,48.238,195489792,126,99,12
100000,local_sale_transaction_no_network,4,6.272,195620864,126,99,12
100000,daily_csv_1_to_31_sales,4,0.715,195686400,126,99,12
100000,search_details_100,5,40.753,195817472,126,99,12
100000,local_sale_transaction_no_network,5,5.273,195948544,126,99,12
100000,daily_csv_1_to_31_sales,5,4.018,196280320,126,99,12
100000,search_details_100,6,35.092,196345856,126,99,12
100000,local_sale_transaction_no_network,6,9.022,196476928,126,99,12
100000,daily_csv_1_to_31_sales,6,2.990,196804608,126,99,12
100000,search_details_100,7,42.151,196935680,126,99,12
100000,local_sale_transaction_no_network,7,6.590,197066752,126,99,12
100000,daily_csv_1_to_31_sales,7,3.424,197328896,126,99,12
100000,search_details_100,8,43.208,197459968,127,100,12
100000,local_sale_transaction_no_network,8,17.375,194289664,127,100,12
100000,daily_csv_1_to_31_sales,8,6.852,194289664,127,100,12
100000,search_details_100,9,39.594,194289664,127,100,12
100000,local_sale_transaction_no_network,9,9.999,194289664,127,100,12
100000,daily_csv_1_to_31_sales,9,3.078,194289664,127,100,12
100000,search_details_100,10,37.549,194289664,127,100,12
100000,local_sale_transaction_no_network,10,10.302,194289664,127,100,12
100000,daily_csv_1_to_31_sales,10,1.319,194289664,127,100,12
100000,search_details_100,11,39.382,194289664,127,100,12
100000,local_sale_transaction_no_network,11,8.755,194289664,127,100,12
100000,daily_csv_1_to_31_sales,11,2.808,194289664,127,100,12
100000,search_details_100,12,39.230,194289664,127,100,12
100000,local_sale_transaction_no_network,12,12.978,194605056,127,100,12
100000,daily_csv_1_to_31_sales,12,4.522,194605056,127,100,12
100000,search_details_100,13,38.727,194605056,127,100,12
100000,local_sale_transaction_no_network,13,26.137,194605056,127,100,12
100000,daily_csv_1_to_31_sales,13,3.067,194605056,127,100,12
100000,search_details_100,14,39.630,194605056,127,100,12
100000,local_sale_transaction_no_network,14,6.095,194605056,127,100,12
100000,daily_csv_1_to_31_sales,14,3.838,194605056,127,100,12
100000,search_details_100,15,39.207,194605056,127,100,12
100000,local_sale_transaction_no_network,15,8.130,194605056,127,100,12
100000,daily_csv_1_to_31_sales,15,4.076,194605056,127,100,12
100000,search_details_100,16,40.908,194605056,127,100,12
100000,local_sale_transaction_no_network,16,19.377,194605056,127,100,12
100000,daily_csv_1_to_31_sales,16,3.044,194605056,127,100,12
100000,search_details_100,17,44.645,194605056,127,100,12
100000,local_sale_transaction_no_network,17,6.646,194605056,127,100,12
100000,daily_csv_1_to_31_sales,17,3.548,194605056,127,100,12
100000,search_details_100,18,37.247,194605056,127,100,12
100000,local_sale_transaction_no_network,18,6.912,194605056,127,100,12
100000,daily_csv_1_to_31_sales,18,0.800,194605056,127,100,12
100000,search_details_100,19,39.005,194605056,127,100,12
100000,local_sale_transaction_no_network,19,6.005,194605056,127,100,12
100000,daily_csv_1_to_31_sales,19,2.768,194605056,127,100,12
100000,search_details_100,20,43.118,194605056,127,100,12
100000,local_sale_transaction_no_network,20,23.891,194605056,128,101,12
100000,daily_csv_1_to_31_sales,20,4.559,194605056,128,101,12
100000,search_details_100,21,42.453,194605056,128,101,12
100000,local_sale_transaction_no_network,21,13.579,194605056,128,101,12
100000,daily_csv_1_to_31_sales,21,0.701,194605056,128,101,12
100000,search_details_100,22,41.929,194605056,128,101,12
100000,local_sale_transaction_no_network,22,8.000,194605056,128,101,12
100000,daily_csv_1_to_31_sales,22,3.878,194605056,128,101,12
100000,search_details_100,23,33.381,194605056,128,101,12
100000,local_sale_transaction_no_network,23,7.423,194605056,128,101,12
100000,daily_csv_1_to_31_sales,23,3.061,194605056,128,101,12
100000,search_details_100,24,41.965,194605056,128,101,12
100000,local_sale_transaction_no_network,24,8.852,194605056,128,101,12
100000,daily_csv_1_to_31_sales,24,3.026,194605056,128,101,12
100000,search_details_100,25,39.771,194605056,128,101,12
100000,local_sale_transaction_no_network,25,11.292,194605056,128,101,12
100000,daily_csv_1_to_31_sales,25,3.455,194605056,128,101,12
100000,search_details_100,26,37.996,194605056,128,101,12
100000,local_sale_transaction_no_network,26,9.074,194605056,128,101,12
100000,daily_csv_1_to_31_sales,26,6.804,194605056,128,101,12
100000,search_details_100,27,34.766,194605056,128,101,12
100000,local_sale_transaction_no_network,27,22.491,194605056,128,101,12
100000,daily_csv_1_to_31_sales,27,3.319,194605056,128,101,12
100000,search_details_100,28,38.062,194605056,128,101,12
100000,local_sale_transaction_no_network,28,7.624,194605056,128,101,12
100000,daily_csv_1_to_31_sales,28,2.721,194605056,128,101,12
