products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
100000,0,2234.564,0.689,22.177,11.132,97.942
100000,1,97.188,0.982,2085.842,2.030,149.353
100000,2,25.128,0.979,5.374,1.177,179.511
100000,3,46.338,2.198,3.865,0.994,148.249
100000,4,157.222,1.028,2.777,10.636,152.709
100000,5,45.241,1.267,3.229,0.796,142.478
100000,6,67.668,1.264,6.035,13.928,105.390
100000,7,68.888,1.260,4.472,1.085,131.878
100000,8,68.968,0.978,3.265,16.121,117.035
100000,9,63.151,0.996,3.538,0.793,127.483
100000,10,68.512,1.327,3.304,18.569,106.226
100000,11,62.746,1.174,6.279,2.340,134.251
100000,12,65.919,1.810,3.339,10.962,117.000
100000,13,58.797,1.788,6.787,1.079,129.705
100000,14,63.605,1.586,4.053,17.367,119.558
100000,15,67.401,2.630,6.341,1.051,128.946
100000,16,72.478,1.035,3.673,11.481,113.655
100000,17,63.073,1.105,3.310,0.981,136.731
100000,18,65.484,1.374,7.620,14.045,115.174
100000,19,76.044,1.269,6.986,1.278,124.842
100000,20,69.992,0.964,4.044,11.766,114.852
100000,21,70.128,1.407,3.259,0.947,131.211
100000,22,66.914,2.938,3.752,15.006,111.283
100000,23,65.317,3.195,4.552,1.245,130.179
100000,24,71.349,1.910,3.107,1.035,191.841
100000,25,65.797,1.517,3.996,1.028,148.206
100000,26,44.024,1.084,3.286,1.307,136.289
100000,27,69.925,0.995,3.538,14.662,109.212
100000,28,69.027,0.973,2.954,0.955,126.646
100000,29,70.845,1.017,3.325,1.068,192.058
100000,30,65.738,1.669,3.514,1.313,147.091
