products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
100000,1,scan,0,53.528,34648064,8,7,1,2.816,2,2,0
100000,1,scan,1,1.019,34652160,8,7,1,0.122,2,2,0
100000,1,scan,2,1.073,34652160,8,7,1,0.087,2,2,0
100000,1,scan,3,0.718,34652160,8,7,1,0.054,2,2,0
100000,1,scan,4,0.624,34652160,8,7,1,0.046,2,2,0
100000,1,scan,5,0.782,34652160,8,7,1,0.114,2,2,0
100000,1,scan,6,0.532,34652160,8,7,1,0.050,2,2,0
100000,1,scan,7,0.582,34652160,8,7,1,0.047,2,2,0
100000,1,scan,8,0.831,34652160,8,7,1,0.103,2,2,0
100000,1,scan,9,0.784,34652160,8,7,1,0.054,2,2,0
100000,1,scan,10,0.614,34652160,8,7,1,0.054,2,2,0
100000,1,scan,11,0.780,34652160,8,7,1,0.101,2,2,0
100000,1,scan,12,0.729,34652160,8,7,1,0.048,2,2,0
100000,1,scan,13,0.650,34652160,8,7,1,0.054,2,2,0
100000,1,scan,14,0.934,34652160,8,7,1,0.124,2,2,0
100000,1,scan,15,0.752,34652160,8,7,1,0.049,2,2,0
100000,1,scan,16,0.598,34652160,8,7,1,0.054,2,2,0
100000,1,scan,17,0.795,34652160,8,7,1,0.102,2,2,0
100000,1,scan,18,0.643,34652160,8,7,1,0.053,2,2,0
100000,1,scan,19,0.706,34652160,8,7,1,0.048,2,2,0
100000,1,scan,20,0.768,34652160,8,7,1,0.092,2,2,0
100000,1,scan,21,0.623,34652160,8,7,1,0.043,2,2,0
100000,1,scan,22,0.662,34652160,8,7,1,0.038,2,2,0
100000,1,scan,23,0.734,34652160,8,7,1,0.079,2,2,0
100000,1,scan,24,0.663,34652160,8,7,1,0.047,2,2,0
100000,1,scan,25,0.605,34652160,8,7,1,0.040,2,2,0
100000,1,scan,26,0.840,34652160,8,7,1,0.074,2,2,0
100000,1,scan,27,0.666,34652160,8,7,1,0.050,2,2,0
100000,1,scan,28,0.702,34652160,8,7,1,0.039,2,2,0
100000,1,scan,29,0.790,34652160,9,8,1,0.087,2,2,0
100000,1,scan,30,0.713,34652160,9,8,1,0.077,2,2,0
100000,10,scan,0,0.828,34652160,9,8,1,0.075,2,2,0
100000,10,scan,1,0.838,34652160,9,8,1,0.054,2,2,0
100000,10,scan,2,0.698,34652160,9,8,1,0.042,2,2,0
100000,10,scan,3,0.837,34652160,9,8,1,0.093,2,2,0
100000,10,scan,4,0.695,34652160,9,8,1,0.054,2,2,0
100000,10,scan,5,0.746,34652160,9,8,1,0.048,2,2,0
100000,10,scan,6,0.902,34652160,9,8,1,0.091,2,2,0
100000,10,scan,7,0.781,34652160,9,8,1,0.055,2,2,0
100000,10,scan,8,0.838,34652160,9,8,1,0.044,2,2,0
100000,10,scan,9,0.893,34652160,9,8,1,0.091,2,2,0
100000,10,scan,10,0.796,34652160,9,8,1,0.055,2,2,0
100000,10,scan,11,0.785,34652160,9,8,1,0.208,2,2,0
100000,10,scan,12,0.792,34652160,9,8,1,0.051,2,2,0
100000,10,scan,13,0.720,34652160,9,8,1,0.039,2,2,0
100000,10,scan,14,0.925,34652160,9,8,1,0.081,2,2,0
100000,10,scan,15,0.749,34652160,9,8,1,0.042,2,2,0
100000,10,scan,16,0.734,34652160,9,8,1,0.041,2,2,0
100000,10,scan,17,0.808,34652160,9,8,1,0.078,2,2,0
100000,10,scan,18,0.927,34652160,9,8,1,0.050,2,2,0
100000,10,scan,19,0.770,34652160,9,8,1,0.053,2,2,0
100000,10,scan,20,1.057,34652160,9,8,1,0.085,2,2,0
100000,10,scan,21,0.648,34652160,9,8,1,0.046,2,2,0
100000,10,scan,22,0.800,34652160,9,8,1,0.035,2,2,0
100000,10,scan,23,0.842,34652160,9,8,1,0.081,2,2,0
100000,10,scan,24,0.739,34652160,9,8,1,0.057,2,2,0
100000,10,scan,25,1.011,34652160,9,8,1,0.082,2,2,0
100000,10,scan,26,0.797,34652160,9,8,1,0.065,2,2,0
100000,10,scan,27,0.770,34652160,9,8,1,0.039,2,2,0
100000,10,scan,28,0.820,34652160,9,8,1,0.071,2,2,0
100000,10,scan,29,0.860,34652160,9,8,1,0.090,2,2,0
100000,10,scan,30,0.791,34652160,9,8,1,0.049,2,2,0
