products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms,native_input_pending
100000,0,Rows,2.132,265887744,105801192,673,24,49,42,155,126,13,0.431,29,0,0,1833.065,113.741,1
100000,0,Rows,3.809,285474816,111087936,670,26,49,42,171,140,14,0.280,32,0,0,86.033,1585.537,1
100000,0,Rows,4.060,288546816,107858232,671,28,49,43,175,143,15,0.276,32,0,0,83.836,163.747,1
100000,0,Rows,4.238,287223808,110688044,671,28,49,43,176,144,15,0.251,23,0,0,41.862,132.959,1
100000,0,Rows,4.481,289513472,107557976,671,29,49,43,179,146,16,0.206,23,0,0,62.462,177.368,1
100000,0,Rows,4.680,289603584,108638552,671,30,49,43,181,148,16,0.192,23,0,0,63.128,132.080,1
100000,0,Rows,4.867,288608256,107383700,671,32,49,43,183,150,17,0.181,23,0,0,42.706,140.621,1
100000,0,Rows,5.046,290865152,110701780,671,34,49,43,185,151,17,0.190,23,0,0,61.177,114.080,1
100000,0,Rows,5.254,288354304,107390200,671,36,49,43,188,153,18,0.185,23,0,0,60.525,145.315,1
100000,0,Rows,5.447,292573184,108393164,671,38,49,43,190,155,18,0.184,23,0,0,64.091,125.066,1
100000,0,Grid,5.979,290193408,107783872,674,42,49,43,196,158,19,0.191,21,500,0,150.122,199.406,1
100000,0,Grid,6.147,308080640,111519888,674,44,49,43,197,159,19,0.194,21,500,0,67.146,97.730,1
100000,0,Grid,6.346,279375872,107552768,674,26,49,43,200,161,20,0.184,21,500,0,64.974,131.485,1
100000,0,Grid,6.527,296660992,110780404,674,28,49,43,202,162,20,0.183,21,500,0,63.476,113.723,1
100000,0,Grid,6.703,284712960,111678320,674,30,49,43,204,163,20,0.192,21,500,0,68.724,104.782,1
100000,0,Grid,6.884,296960000,112318248,674,32,49,43,206,164,20,0.194,21,500,0,66.948,110.567,1
100000,0,Grid,7.056,280662016,113011100,674,34,49,43,208,165,20,0.176,21,500,0,64.742,104.239,1
100000,0,Grid,7.230,298319872,113505776,674,36,49,43,210,166,20,0.205,21,500,0,59.810,110.928,1
100000,0,Grid,7.404,298758144,114289332,674,38,49,43,212,167,20,0.229,21,500,0,63.710,106.734,1
100000,0,Grid,7.575,299646976,114866932,674,40,49,43,214,168,20,0.191,21,500,0,60.726,107.642,1
100000,0,before_idle,9.131,331198464,108829656,720,32,48,43,231,184,21,0.125,47,500,0,0.000,0.000,1
100000,0,after_idle,29.179,301592576,113319000,718,26,46,43,467,419,21,0.160,37,500,0,0.000,0.000,1
100000,1,Rows,31.611,360325120,170676136,722,27,46,43,495,447,21,0.312,1086,500,0,93.866,221.077,1
100000,1,Rows,31.726,362356736,169924796,722,28,46,43,496,448,21,0.207,862,500,0,7.754,103.310,1
100000,1,Rows,33.636,367087616,114625760,689,27,46,43,513,461,23,0.204,52,500,0,1756.754,149.835,1
100000,1,Rows,33.847,368074752,111431928,690,28,46,44,515,463,23,0.190,46,500,0,68.467,136.646,1
100000,1,Rows,34.012,358662144,114047676,690,30,46,44,516,464,23,0.189,46,500,0,41.782,120.230,1
100000,1,Rows,34.229,367730688,110519380,690,32,46,44,519,467,24,0.192,46,500,0,61.568,152.395,1
100000,1,Rows,34.390,368115712,114259744,690,34,46,44,520,468,24,0.180,46,500,0,64.495,90.374,1
100000,1,Rows,34.589,368963584,114657016,690,36,46,44,523,471,25,0.200,46,500,0,63.360,131.828,1
100000,1,Rows,34.768,356941824,112978144,690,38,46,44,525,472,25,0.190,46,500,0,64.281,108.647,1
100000,1,Rows,34.975,367796224,110695908,690,40,46,44,528,474,26,0.199,46,500,0,62.778,141.224,1
100000,1,Grid,35.309,368873472,111333760,690,44,46,44,532,476,26,0.193,44,500,0,149.358,143.239,1
100000,1,Grid,35.475,369676288,113917800,690,46,46,44,533,477,26,0.306,44,500,0,43.573,119.200,1
100000,1,Grid,35.682,368820224,114886880,690,28,46,44,536,479,27,0.198,44,500,0,66.073,137.234,1
100000,1,Grid,35.882,369844224,111855564,690,30,46,44,538,481,27,0.195,44,500,0,71.154,122.649,1
100000,1,Grid,36.066,369836032,114966164,690,32,46,44,540,483,28,0.197,44,500,0,67.413,113.025,1
100000,1,Grid,36.239,368353280,113920656,690,34,46,44,542,484,28,0.178,44,500,0,62.376,105.456,1
100000,1,Grid,36.451,369184768,111618604,690,36,46,44,545,486,29,0.203,44,500,0,66.033,143.000,1
100000,1,Grid,36.644,359366656,112007720,690,38,46,44,547,488,29,0.191,44,500,0,64.527,122.573,1
100000,1,Grid,36.878,369041408,116740680,690,40,46,44,550,491,30,0.197,44,500,0,67.659,162.476,1
100000,1,Grid,37.048,370597888,113382464,690,42,46,44,551,492,30,0.211,44,500,0,41.594,125.690,1
100000,1,before_idle,38.475,398118912,111215756,728,32,48,44,566,505,31,0.469,70,500,0,0.000,0.000,1
100000,1,after_idle,58.519,371187712,111698100,717,28,44,37,805,744,31,0.228,60,500,0,0.000,0.000,1
100000,2,Rows,60.977,381722624,167685724,678,27,43,38,835,773,32,0.259,1096,500,0,66.549,257.578,1
100000,2,Rows,61.085,385007616,173036948,678,28,43,38,835,773,32,0.223,809,500,0,9.077,96.277,1
100000,2,Rows,62.949,382205952,114858336,672,30,43,37,854,788,35,0.204,75,500,0,1689.249,171.445,1
100000,2,Rows,63.134,383066112,116483492,673,30,43,38,855,789,35,0.402,69,500,0,46.747,131.383,1
100000,2,Rows,63.361,382504960,114459720,673,31,43,38,858,791,36,0.209,69,500,0,67.193,155.512,1
100000,2,Rows,63.560,382922752,114271536,673,32,43,38,860,793,36,0.199,69,500,0,69.677,123.315,1
100000,2,Rows,63.726,383340544,116788068,673,34,43,38,861,794,36,0.312,69,500,0,40.849,122.247,1
100000,2,Rows,63.978,382320640,114116596,672,36,43,38,864,796,37,0.334,69,500,0,79.981,167.186,1
100000,2,Rows,64.184,382119936,114542104,672,37,43,38,866,798,37,0.198,69,500,0,72.753,126.703,1
100000,2,Rows,64.385,382537728,113739820,672,38,46,38,868,800,38,0.274,70,500,0,70.613,127.932,1
100000,2,Grid,64.696,383590400,116242012,672,42,46,38,872,802,38,0.221,68,500,0,172.647,120.798,1
100000,2,Grid,64.961,383721472,116375564,672,44,43,38,875,804,39,0.295,67,500,0,80.977,179.306,1
100000,2,Grid,65.252,384643072,114413320,672,26,43,38,877,806,39,0.263,67,500,0,95.884,187.864,1
100000,2,Grid,65.488,384647168,117159192,672,28,43,38,878,807,39,0.201,67,500,0,63.309,165.798,1
100000,2,Grid,65.739,384643072,117150380,672,30,43,38,881,809,40,0.227,67,500,0,79.594,167.933,1
100000,2,Grid,65.982,384643072,114700416,672,32,43,38,883,811,40,0.222,67,500,0,81.252,155.833,1
100000,2,Grid,66.272,384929792,119658144,672,34,43,38,886,814,41,0.218,67,500,0,78.679,206.802,1
100000,2,Grid,66.484,384946176,116070932,672,36,43,38,887,815,41,0.209,67,500,0,60.691,148.229,1
100000,2,Grid,66.751,384942080,115516504,672,38,43,38,890,817,42,0.226,67,500,0,80.876,182.651,1
100000,2,Grid,67.004,384942080,114175324,672,40,43,38,892,819,42,0.359,67,500,0,86.011,159.479,1
100000,2,before_idle,69.559,400592896,114763352,733,30,47,40,904,831,43,0.235,83,500,0,0.000,0.000,1
100000,2,after_idle,89.602,382406656,116490776,725,26,44,38,1014,936,43,0.046,3,500,0,0.000,0.000,1
100000,3,Rows,92.691,385716224,122153804,700,27,45,40,1044,963,46,0.297,1042,500,0,84.044,289.882,1
100000,3,Rows,95.193,384040960,59875108,695,27,45,39,1065,976,50,0.220,21,500,0,2233.040,265.535,1
100000,3,Rows,95.406,384315392,62539784,696,28,45,40,1066,977,50,0.387,15,500,0,45.543,163.312,1
100000,3,Rows,95.781,240254976,62563116,697,30,45,40,1068,979,51,0.248,15,500,0,72.071,300.483,1
100000,3,Rows,95.995,241639424,62723052,696,32,45,40,1070,980,51,0.303,15,500,0,71.364,139.288,1
100000,3,Rows,96.245,242040832,60614324,696,34,45,40,1073,983,52,0.392,15,500,0,72.491,173.626,1
100000,3,Rows,96.422,242315264,62911120,696,36,45,40,1074,984,52,0.351,15,500,0,40.720,132.182,1
100000,3,Rows,96.680,242589696,60471576,696,38,45,40,1077,986,53,0.241,15,500,0,73.796,177.591,1
100000,3,Rows,96.900,242589696,60810320,696,40,45,40,1079,988,53,0.263,15,500,0,67.823,149.430,1
100000,3,Rows,97.085,242589696,63067008,696,42,45,40,1080,989,53,0.267,15,500,0,49.405,131.082,1
100000,3,Grid,97.537,243015680,60289476,696,46,45,40,1086,992,55,0.249,13,500,0,223.987,190.071,1
100000,3,Grid,97.777,243294208,59834940,696,28,45,40,1088,994,55,0.265,13,500,0,75.448,161.085,1
100000,3,Grid,97.953,243712000,62438448,696,30,45,40,1089,995,55,0.249,13,500,0,36.274,136.389,1
100000,3,Grid,98.219,243712000,60529260,696,32,45,40,1092,997,56,0.250,13,500,0,77.782,184.015,1
100000,3,Grid,98.393,243712000,62665628,696,34,45,40,1093,998,56,0.250,13,500,0,36.465,134.523,1
100000,3,Grid,98.656,243712000,60736388,696,36,45,40,1096,1000,57,0.278,13,500,0,74.491,184.235,1
100000,3,Grid,98.871,243712000,61137412,696,38,45,40,1098,1002,57,0.380,13,500,0,70.477,140.485,1
100000,3,Grid,99.114,243294208,59718660,696,40,45,40,1101,1004,58,0.259,13,500,0,65.538,170.094,1
100000,3,Grid,99.312,243855360,61804704,695,42,45,40,1102,1005,58,0.255,13,500,0,43.482,150.746,1
100000,3,Grid,99.564,243855360,60591256,695,44,45,40,1105,1007,59,0.243,13,500,0,71.178,177.683,1
100000,3,before_idle,101.772,259465216,57247804,732,30,47,40,1119,1020,61,0.164,17,500,0,0.000,0.000,1
100000,3,after_idle,121.799,238411776,60072372,721,28,43,37,1218,1117,61,0.066,3,500,0,0.000,0.000,1
100000,4,Rows,124.686,298622976,108528052,695,27,44,39,1247,1145,62,0.261,1042,500,0,82.124,294.613,1
100000,4,Rows,126.866,301051904,60688152,690,27,44,38,1264,1158,64,0.256,21,500,0,1974.753,202.180,1
100000,4,Rows,127.049,302624768,63582740,691,28,44,39,1265,1159,64,0.320,15,500,0,72.131,106.937,1
100000,4,Rows,127.292,302141440,60408292,692,30,44,39,1268,1161,65,0.349,15,500,0,65.924,173.418,1
100000,4,Rows,127.492,302284800,61768832,691,32,44,39,1270,1162,65,0.247,15,500,0,66.991,127.978,1
100000,4,Rows,127.736,302624768,59930488,691,34,44,39,1273,1164,66,0.237,15,500,0,67.529,172.453,1
100000,4,Rows,127.913,303538176,61923596,685,36,43,38,1274,1165,66,0.250,15,500,0,41.298,132.454,1
100000,4,Rows,128.172,302112768,60111304,685,38,43,38,1277,1167,67,0.324,15,500,0,68.252,187.191,1
100000,4,Rows,128.399,302608384,59689800,685,40,43,38,1279,1169,67,0.246,15,500,0,60.340,160.716,1
100000,4,Rows,128.585,303738880,62120600,685,42,43,38,1280,1170,67,0.249,15,500,0,43.379,139.072,1
100000,4,Grid,129.121,240893952,62424892,685,46,43,38,1285,1173,69,0.406,13,500,0,220.735,277.643,1
100000,4,Grid,129.307,244690944,62743748,685,48,43,38,1287,1173,69,0.242,13,500,0,57.829,124.690,1
100000,4,Grid,129.554,242020352,60509396,685,30,43,38,1290,1175,70,0.253,13,500,0,60.135,183.847,1
100000,4,Grid,129.755,242266112,61006148,685,32,43,38,1292,1177,70,0.256,13,500,0,62.478,135.636,1
100000,4,Grid,129.990,242753536,59562600,685,34,43,38,1295,1179,71,0.253,13,500,0,69.688,162.265,1
100000,4,Grid,130.180,243781632,61650072,685,36,43,38,1296,1180,71,0.249,13,500,0,52.018,134.004,1
100000,4,Grid,130.428,229568512,60418468,685,38,43,38,1299,1182,72,0.240,13,500,0,69.488,175.163,1
100000,4,Grid,130.615,241778688,62532180,685,40,43,38,1300,1183,72,0.319,13,500,0,47.547,135.841,1
100000,4,Grid,130.851,241516544,60461248,685,42,43,38,1303,1185,73,0.316,13,500,0,62.215,170.215,1
100000,4,Grid,131.056,241664000,61629164,685,44,43,38,1305,1186,73,0.254,13,500,0,69.143,132.123,1
100000,4,before_idle,133.503,259284992,59270112,724,30,46,38,1320,1197,74,0.575,18,500,0,0.000,0.000,1
100000,4,after_idle,153.512,241156096,63621364,717,26,43,36,1418,1295,74,0.055,1,500,0,0.000,0.000,0
100000,5,Rows,156.401,301170688,117763776,689,27,43,38,1447,1323,75,0.312,1042,500,0,121.010,265.618,1
100000,5,Rows,159.247,300945408,60601032,684,27,43,37,1467,1336,79,0.224,21,500,0,2600.130,241.656,1
100000,5,Rows,159.478,300929024,60598788,685,28,43,38,1469,1338,79,0.449,15,500,0,74.171,153.005,1
100000,5,Rows,159.693,301797376,62937520,685,30,43,38,1470,1339,79,0.518,15,500,0,48.102,162.955,1
100000,5,Rows,159.971,300924928,60673296,685,32,43,38,1473,1341,80,0.269,15,500,0,82.191,190.990,1
100000,5,Rows,160.159,301281280,62806216,685,34,43,38,1474,1342,80,0.238,15,500,0,78.344,106.303,1
100000,5,Rows,160.426,300851200,60443980,685,36,43,38,1477,1344,81,0.266,15,500,0,80.186,182.594,1
100000,5,Rows,160.643,301056000,60819376,685,38,43,38,1479,1346,81,0.230,15,500,0,79.033,134.238,1
100000,5,Rows,160.830,301453312,63046424,685,40,43,38,1480,1347,81,0.242,15,500,0,48.136,135.686,1
100000,5,Rows,161.095,300912640,60618164,685,42,43,38,1483,1349,82,0.245,15,500,0,76.457,185.674,1
100000,5,Grid,161.451,301420544,60666708,685,46,43,38,1487,1351,82,0.297,13,500,0,181.972,141.224,1
100000,5,Grid,161.716,302751744,60755016,685,28,43,38,1489,1353,83,0.315,13,500,0,51.352,210.201,1
100000,5,Grid,161.916,302755840,61681488,685,30,43,38,1491,1354,83,0.382,13,500,0,56.754,139.165,1
100000,5,Grid,162.170,302247936,60453304,685,32,43,38,1494,1356,84,0.281,13,500,0,63.265,186.683,1
100000,5,Grid,162.351,302551040,62589412,685,34,43,38,1495,1357,84,0.249,13,500,0,47.159,130.205,1
100000,5,Grid,162.605,302002176,60263968,685,36,43,38,1498,1359,85,0.257,13,500,0,69.209,181.723,1
100000,5,Grid,162.821,302145536,61758408,685,38,43,38,1500,1360,85,0.298,13,500,0,70.715,140.974,1
100000,5,Grid,163.086,302899200,60126736,685,40,43,38,1503,1362,86,0.270,13,500,0,70.834,191.336,1
100000,5,Grid,163.267,302632960,62218516,685,42,43,38,1504,1363,86,0.264,13,500,0,42.709,135.543,1
100000,5,Grid,163.536,302391296,60086412,685,44,43,38,1507,1365,87,0.257,13,500,0,79.660,185.787,1
