products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,pos_view_entry_first_in_process,0,325.403,113557504,17,16,2
100000,scan_500_view_bitmap,0,1898.436,179875840,47,41,7
100000,scan_500_view_bitmap,1,1660.997,193425408,66,57,10
100000,scan_500_view_bitmap,2,134.678,195321856,67,58,10
100000,scan_500_view_bitmap,3,224.221,205832192,70,59,10
100000,scan_500_view_bitmap,4,192.367,208596992,72,61,10
100000,scan_500_view_bitmap,5,171.286,208465920,74,62,10
100000,scan_500_view_bitmap,6,171.730,209616896,76,64,10
100000,scan_500_view_bitmap,7,168.493,209436672,78,65,10
100000,scan_500_view_bitmap,8,174.995,210894848,80,67,10
100000,scan_500_view_bitmap,9,171.337,211255296,82,68,10
100000,scan_500_view_bitmap,10,174.471,211746816,84,70,10
100000,scan_500_view_bitmap,11,173.000,212160512,86,71,10
100000,scan_500_view_bitmap,12,175.089,216768512,88,73,10
100000,scan_500_view_bitmap,13,166.112,213614592,90,75,10
100000,scan_500_view_bitmap,14,172.962,214044672,92,77,10
100000,scan_500_view_bitmap,15,172.905,214691840,94,79,10
100000,scan_500_view_bitmap,16,177.043,215306240,96,81,10
100000,scan_500_view_bitmap,17,174.306,216113152,98,82,10
100000,scan_500_view_bitmap,18,175.611,222445568,100,84,10
100000,scan_500_view_bitmap,19,173.330,217804800,102,85,10
100000,scan_500_view_bitmap,20,175.673,218427392,104,86,10
100000,scan_500_view_bitmap,21,172.083,219217920,106,87,10
100000,scan_500_view_bitmap,22,179.680,224460800,108,88,10
100000,scan_500_view_bitmap,23,224.159,220217344,111,90,11
100000,scan_500_view_bitmap,24,189.483,226414592,113,92,11
100000,scan_500_view_bitmap,25,165.686,225546240,114,93,11
100000,scan_500_view_bitmap,26,168.816,225042432,116,94,11
100000,scan_500_view_bitmap,27,169.242,223522816,118,95,11
100000,scan_500_view_bitmap,28,222.564,221351936,121,97,12
100000,scan_500_view_bitmap,29,183.833,223723520,123,99,12
100000,scan_500_view_bitmap,30,161.646,224907264,124,100,12
100000,search_details_100,0,37.630,225357824,124,100,12
100000,local_sale_transaction_no_network,0,81.494,226091008,124,100,12
100000,daily_csv_1_to_31_sales,0,31.834,222961664,125,101,12
100000,search_details_100,1,35.506,222961664,125,101,12
100000,local_sale_transaction_no_network,1,26.055,222961664,125,101,12
100000,daily_csv_1_to_31_sales,1,0.762,222961664,125,101,12
100000,search_details_100,2,36.136,222961664,125,101,12
100000,local_sale_transaction_no_network,2,4.454,222961664,125,101,12
100000,daily_csv_1_to_31_sales,2,2.932,214138880,125,101,12
100000,search_details_100,3,39.512,205422592,125,101,12
100000,local_sale_transaction_no_network,3,4.943,205422592,125,101,12
100000,daily_csv_1_to_31_sales,3,0.451,205422592,125,101,12
100000,search_details_100,4,34.598,205422592,125,101,12
100000,local_sale_transaction_no_network,4,5.184,205422592,125,101,12
100000,daily_csv_1_to_31_sales,4,2.829,205422592,125,101,12
100000,search_details_100,5,33.753,205422592,125,101,12
100000,local_sale_transaction_no_network,5,5.105,205422592,125,101,12
100000,daily_csv_1_to_31_sales,5,2.913,205422592,125,101,12
100000,search_details_100,6,37.745,205422592,125,101,12
100000,local_sale_transaction_no_network,6,6.067,205422592,125,101,12
100000,daily_csv_1_to_31_sales,6,2.758,205619200,125,101,12
100000,search_details_100,7,34.177,205619200,125,101,12
100000,local_sale_transaction_no_network,7,4.904,205619200,125,101,12
100000,daily_csv_1_to_31_sales,7,0.694,205619200,125,101,12
100000,search_details_100,8,34.590,205619200,125,101,12
100000,local_sale_transaction_no_network,8,5.549,205619200,125,101,12
100000,daily_csv_1_to_31_sales,8,2.753,205619200,125,101,12
100000,search_details_100,9,37.433,205619200,125,101,12
100000,local_sale_transaction_no_network,9,4.744,205619200,125,101,12
100000,daily_csv_1_to_31_sales,9,0.592,205619200,125,101,12
100000,search_details_100,10,36.609,205619200,125,101,12
100000,local_sale_transaction_no_network,10,5.180,205619200,125,101,12
