products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
100000,0,1777.495,0.660,19.903,3.210,97.156
100000,1,84.534,0.964,1449.123,0.710,125.646
100000,2,12.247,1.186,4.118,0.681,116.435
100000,3,113.967,1.001,3.071,9.358,96.813
100000,4,62.007,0.980,10.820,0.917,117.630
100000,5,57.320,0.976,3.167,12.533,97.278
100000,6,56.379,0.999,3.815,1.180,109.344
100000,7,57.403,0.988,2.780,11.911,95.395
100000,8,56.708,0.954,3.482,0.688,113.149
100000,9,57.515,0.994,3.009,12.617,97.190
100000,10,55.278,1.253,4.520,0.669,112.739
100000,11,56.351,1.015,3.041,12.173,100.408
100000,12,55.298,0.957,3.942,0.783,114.097
100000,13,54.042,0.978,3.846,11.335,95.897
100000,14,57.130,1.280,2.774,0.668,111.094
100000,15,59.775,1.105,2.882,12.067,97.055
100000,16,56.966,1.375,3.296,0.722,114.672
100000,17,56.580,2.004,4.286,12.387,99.038
100000,18,55.604,1.005,3.367,0.688,114.936
100000,19,59.175,1.679,3.653,11.170,97.641
100000,20,57.320,0.961,4.903,0.842,111.635
100000,21,58.818,0.986,3.785,11.089,97.394
100000,22,58.641,0.984,2.660,0.676,116.707
100000,23,58.505,0.999,3.017,0.768,160.857
100000,24,59.364,0.991,3.483,1.308,124.327
100000,25,37.502,1.140,4.076,1.223,121.732
100000,26,55.680,0.984,2.837,11.729,97.572
100000,27,53.060,0.964,3.007,0.916,111.281
100000,28,54.973,0.952,2.657,0.851,163.113
100000,29,58.547,1.019,3.019,0.693,120.543
100000,30,38.594,1.119,3.481,0.713,117.727
