products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
20000,1,scan,0,52.256,34799616,8,7,1,2.715,2,2,0
20000,1,scan,1,1.070,34799616,8,7,1,0.131,2,2,0
20000,1,scan,2,1.270,34799616,8,7,1,0.060,2,2,0
20000,1,scan,3,0.872,34799616,8,7,1,0.119,2,2,0
20000,1,scan,4,0.762,34799616,8,7,1,0.058,2,2,0
20000,1,scan,5,0.863,34799616,8,7,1,0.089,2,2,0
20000,1,scan,6,0.780,34799616,8,7,1,0.062,2,2,0
20000,1,scan,7,0.875,34799616,8,7,1,0.110,2,2,0
20000,1,scan,8,0.631,34799616,8,7,1,0.058,2,2,0
20000,1,scan,9,0.787,34799616,8,7,1,0.099,2,2,0
20000,1,scan,10,0.720,34799616,8,7,1,0.058,2,2,0
20000,1,scan,11,0.867,34799616,8,7,1,0.182,2,2,0
20000,1,scan,12,0.867,34799616,8,7,1,0.092,2,2,0
20000,1,scan,13,0.711,34799616,8,7,1,0.095,2,2,0
20000,1,scan,14,0.706,34799616,8,7,1,0.053,2,2,0
20000,1,scan,15,0.726,34799616,8,7,1,0.099,2,2,0
20000,1,scan,16,0.646,34799616,8,7,1,0.062,2,2,0
20000,1,scan,17,0.729,34799616,8,7,1,0.092,2,2,0
20000,1,scan,18,0.854,34799616,8,7,1,0.095,2,2,0
20000,1,scan,19,0.837,34799616,8,7,1,0.055,2,2,0
20000,1,scan,20,0.769,34799616,8,7,1,0.071,2,2,0
20000,1,scan,21,0.900,34799616,8,7,1,0.064,2,2,0
20000,1,scan,22,0.788,34799616,8,7,1,0.100,2,2,0
20000,1,scan,23,0.892,34799616,8,7,1,0.061,2,2,0
20000,1,scan,24,0.770,34799616,8,7,1,0.081,2,2,0
20000,1,scan,25,0.742,34799616,8,7,1,0.058,2,2,0
20000,1,scan,26,0.826,34799616,8,7,1,0.087,2,2,0
20000,1,scan,27,0.735,34799616,9,8,1,0.058,2,2,0
20000,1,scan,28,0.820,34799616,9,8,1,0.115,2,2,0
20000,1,scan,29,0.641,34799616,9,8,1,0.053,2,2,0
20000,1,scan,30,0.823,34799616,9,8,1,0.095,2,2,0
20000,10,scan,0,0.813,34799616,9,8,1,0.060,2,2,0
20000,10,scan,1,0.963,34803712,9,8,1,0.105,2,2,0
20000,10,scan,2,0.679,34803712,9,8,1,0.055,2,2,0
20000,10,scan,3,0.869,34803712,9,8,1,0.115,2,2,0
20000,10,scan,4,0.749,34803712,9,8,1,0.051,2,2,0
20000,10,scan,5,1.031,34803712,9,8,1,0.102,2,2,0
20000,10,scan,6,0.775,34803712,9,8,1,0.057,2,2,0
20000,10,scan,7,0.944,34803712,9,8,1,0.112,2,2,0
20000,10,scan,8,0.801,34803712,9,8,1,0.053,2,2,0
20000,10,scan,9,0.875,34803712,9,8,1,0.093,2,2,0
20000,10,scan,10,0.775,34803712,9,8,1,0.064,2,2,0
20000,10,scan,11,0.842,34803712,9,8,1,0.107,2,2,0
20000,10,scan,12,0.777,34803712,9,8,1,0.063,2,2,0
20000,10,scan,13,1.164,34803712,9,8,1,0.087,2,2,0
20000,10,scan,14,0.847,34803712,9,8,1,0.062,2,2,0
20000,10,scan,15,0.951,34803712,9,8,1,0.066,2,2,0
20000,10,scan,16,0.942,34803712,9,8,1,0.060,2,2,0
20000,10,scan,17,0.946,34803712,9,8,1,0.045,2,2,0
20000,10,scan,18,0.908,34803712,9,8,1,0.076,2,2,0
20000,10,scan,19,0.888,34803712,9,8,1,0.058,2,2,0
20000,10,scan,20,0.888,34803712,9,8,1,0.076,2,2,0
20000,10,scan,21,0.810,34803712,9,8,1,0.051,2,2,0
20000,10,scan,22,0.906,34803712,9,8,1,0.091,2,2,0
20000,10,scan,23,0.657,34803712,9,8,1,0.056,2,2,0
20000,10,scan,24,0.878,34803712,9,8,1,0.105,2,2,0
20000,10,scan,25,0.794,34803712,9,8,1,0.058,2,2,0
20000,10,scan,26,1.163,34803712,9,8,1,0.118,2,2,0
20000,10,scan,27,0.821,34803712,9,8,1,0.054,2,2,0
20000,10,scan,28,0.944,34803712,9,8,1,0.116,2,2,0
20000,10,scan,29,0.796,34803712,9,8,1,0.054,2,2,0
20000,10,scan,30,1.093,34803712,9,8,1,0.104,2,2,0
20000,50,scan,0,1.008,34803712,9,8,1,0.055,2,2,0
20000,50,scan,1,1.422,34803712,9,8,1,0.106,2,2,0
20000,50,scan,2,1.074,34803712,9,8,1,0.053,2,2,0
20000,50,scan,3,1.259,34803712,9,8,1,0.102,2,2,0
20000,50,scan,4,1.099,34934784,9,8,1,0.055,2,2,0
20000,50,scan,5,1.215,35131392,9,8,1,0.112,2,2,0
20000,50,scan,6,1.011,35262464,9,8,1,0.050,2,2,0
20000,50,scan,7,1.282,35459072,9,8,1,0.180,2,2,0
20000,50,scan,8,1.134,35655680,10,9,1,0.055,2,2,0
20000,50,scan,9,1.189,35655680,10,9,1,0.107,2,2,0
20000,50,scan,10,1.181,35655680,10,9,1,0.153,2,2,0
20000,50,scan,11,1.069,35655680,10,9,1,0.057,2,2,0
20000,50,scan,12,1.174,35655680,10,9,1,0.091,2,2,0
20000,50,scan,13,1.041,35655680,10,9,1,0.058,2,2,0
20000,50,scan,14,1.221,35655680,10,9,1,0.197,2,2,0
20000,50,scan,15,0.995,35655680,10,9,1,0.052,2,2,0
20000,50,scan,16,1.210,35655680,10,9,1,0.107,2,2,0
20000,50,scan,17,1.079,35655680,10,9,1,0.061,2,2,0
20000,50,scan,18,1.138,35655680,10,9,1,0.100,2,2,0
20000,50,scan,19,0.993,35655680,10,9,1,0.051,2,2,0
20000,50,scan,20,1.237,35655680,10,9,1,0.171,2,2,0
20000,50,scan,21,1.076,35655680,10,9,1,0.054,2,2,0
20000,50,scan,22,1.140,35655680,10,9,1,0.108,2,2,0
20000,50,scan,23,1.225,35655680,10,9,1,0.057,2,2,0
20000,50,scan,24,1.231,35655680,10,9,1,0.099,2,2,0
20000,50,scan,25,1.601,35655680,10,9,1,0.094,2,2,0
20000,50,scan,26,1.116,35655680,10,9,1,0.062,2,2,0
20000,50,scan,27,1.237,35655680,10,9,1,0.092,2,2,0
20000,50,scan,28,1.081,35655680,10,9,1,0.059,2,2,0
20000,50,scan,29,1.282,35655680,10,9,1,0.097,2,2,0
20000,50,scan,30,1.252,35655680,10,9,1,0.058,2,2,0
20000,100,scan,0,1.839,35655680,10,9,1,0.101,2,2,0
20000,100,scan,1,1.889,35655680,10,9,1,0.055,2,2,0
20000,100,scan,2,1.565,35655680,10,9,1,0.076,2,2,0
20000,100,scan,3,1.556,35655680,10,9,1,0.059,2,2,0
20000,100,scan,4,1.525,35655680,11,10,1,0.075,2,2,0
20000,100,scan,5,1.604,35655680,11,10,1,0.097,2,2,0
20000,100,scan,6,1.492,35655680,11,10,1,0.053,2,2,0
20000,100,scan,7,1.615,35659776,11,10,1,0.120,2,2,0
20000,100,scan,8,1.464,35659776,11,10,1,0.049,2,2,0
20000,100,scan,9,1.590,35659776,11,10,1,0.080,2,2,0
20000,100,scan,10,1.809,35659776,11,10,1,0.055,2,2,0
20000,100,scan,11,1.499,35659776,11,10,1,0.060,2,2,0
20000,100,scan,12,1.485,35659776,11,10,1,0.184,2,2,0
20000,100,scan,13,1.642,35659776,11,10,1,0.057,2,2,0
20000,100,scan,14,1.550,35659776,11,10,1,0.113,2,2,0
20000,100,scan,15,1.483,35659776,11,10,1,0.051,2,2,0
20000,100,scan,16,1.630,35659776,11,10,1,0.093,2,2,0
20000,100,scan,17,1.600,35659776,11,10,1,0.055,2,2,0
20000,100,scan,18,1.516,35659776,11,10,1,0.076,2,2,0
20000,100,scan,19,1.538,35659776,11,10,1,0.096,2,2,0
20000,100,scan,20,1.480,35659776,11,10,1,0.057,2,2,0
20000,100,scan,21,1.724,35659776,11,10,1,0.105,2,2,0
20000,100,scan,22,1.752,35659776,11,10,1,0.053,2,2,0
20000,100,scan,23,1.519,35659776,11,10,1,0.098,2,2,0
20000,100,scan,24,1.564,35659776,11,10,1,0.045,2,2,0
20000,100,scan,25,1.485,35659776,11,10,1,0.065,2,2,0
20000,100,scan,26,2.666,35659776,12,11,1,0.063,2,2,0
20000,100,scan,27,1.505,35659776,12,11,1,0.068,2,2,0
20000,100,scan,28,1.547,35659776,12,11,1,0.096,2,2,0
20000,100,scan,29,1.348,35659776,12,11,1,0.058,2,2,0
20000,100,scan,30,1.599,35659776,12,11,1,0.105,2,2,0
20000,500,scan,0,5.947,35659776,12,11,1,0.088,2,2,0
20000,500,scan,1,5.903,35659776,12,11,1,0.210,2,2,0
20000,500,scan,2,6.756,35659776,12,11,1,0.220,2,2,0
20000,500,scan,3,6.260,35794944,12,11,1,0.066,2,2,0
20000,500,scan,4,6.699,35889152,12,11,1,0.073,2,2,0
20000,500,scan,5,6.724,35889152,13,12,1,0.063,2,2,0
20000,500,scan,6,6.049,35889152,13,12,1,0.108,2,2,0
20000,500,scan,7,6.230,35889152,13,12,1,0.106,2,2,0
20000,500,scan,8,6.002,35889152,13,12,1,0.069,2,2,0
20000,500,scan,9,5.925,35889152,13,12,1,0.061,2,2,0
20000,500,scan,10,6.367,35889152,13,12,1,0.061,2,2,0
20000,500,scan,11,5.926,35889152,13,12,1,0.063,2,2,0
20000,500,scan,12,5.829,35889152,13,12,1,0.082,2,2,0
20000,500,scan,13,6.198,35889152,14,13,1,0.093,2,2,0
20000,500,scan,14,5.943,35889152,14,13,1,0.096,2,2,0
20000,500,scan,15,6.265,35889152,14,13,1,0.116,2,2,0
20000,500,scan,16,6.487,35889152,14,13,1,0.064,2,2,0
20000,500,scan,17,6.178,35889152,14,13,1,0.062,2,2,0
20000,500,scan,18,6.333,35889152,14,13,1,0.174,2,2,0
20000,500,scan,19,5.829,35889152,14,13,1,0.093,2,2,0
20000,500,scan,20,5.745,35889152,14,13,1,0.100,2,2,0
20000,500,scan,21,9.500,35889152,15,14,2,0.124,2,2,0
20000,500,scan,22,6.435,35889152,15,14,2,0.062,2,2,0
20000,500,scan,23,5.944,35651584,15,14,2,0.094,2,2,0
20000,500,scan,24,6.280,35889152,15,14,2,0.147,2,2,0
20000,500,scan,25,7.489,35889152,15,14,2,0.075,2,2,0
20000,500,scan,26,7.001,35651584,15,14,2,0.083,2,2,0
20000,500,scan,27,7.521,35889152,15,14,2,0.097,2,2,0
20000,500,scan,28,7.157,35889152,15,14,2,0.097,2,2,0
20000,500,scan,29,7.406,35651584,16,15,2,0.282,2,2,0
20000,500,scan,30,6.631,35889152,16,15,2,0.132,2,2,0
