products,operation,sample,ms,private_bytes,gc0,gc1,gc2
20000,pos_view_entry_first_in_process,0,324.230,114151424,17,16,2
20000,scan_500_view_bitmap,0,1825.087,181178368,47,41,6
20000,scan_500_view_bitmap,1,1831.738,195653632,67,56,10
20000,scan_500_view_bitmap,2,157.361,196313088,70,58,10
20000,scan_500_view_bitmap,3,243.695,211685376,72,60,10
20000,scan_500_view_bitmap,4,162.925,213012480,73,61,10
20000,scan_500_view_bitmap,5,178.178,213090304,75,62,10
20000,scan_500_view_bitmap,6,186.696,213733376,77,64,10
20000,scan_500_view_bitmap,7,163.406,218796032,78,65,10
20000,scan_500_view_bitmap,8,180.686,218898432,80,66,10
20000,scan_500_view_bitmap,9,183.594,219185152,82,68,10
20000,scan_500_view_bitmap,10,160.323,220422144,83,69,10
20000,scan_500_view_bitmap,11,175.426,220782592,85,71,10
20000,scan_500_view_bitmap,12,182.185,220971008,87,73,10
20000,scan_500_view_bitmap,13,163.193,221622272,88,74,10
20000,scan_500_view_bitmap,14,171.443,220119040,90,76,10
20000,scan_500_view_bitmap,15,171.791,221839360,92,78,10
20000,scan_500_view_bitmap,16,186.766,219176960,94,80,10
20000,scan_500_view_bitmap,17,162.944,223080448,95,81,10
20000,scan_500_view_bitmap,18,176.886,223481856,97,82,10
20000,scan_500_view_bitmap,19,184.759,223330304,99,84,10
20000,scan_500_view_bitmap,20,158.706,226062336,100,85,10
20000,scan_500_view_bitmap,21,181.027,226029568,102,86,10
20000,scan_500_view_bitmap,22,185.888,225865728,104,88,10
20000,scan_500_view_bitmap,23,155.577,226295808,105,89,10
20000,scan_500_view_bitmap,24,173.219,226947072,107,90,10
20000,scan_500_view_bitmap,25,178.875,225320960,109,92,10
20000,scan_500_view_bitmap,26,151.721,225595392,110,93,10
20000,scan_500_view_bitmap,27,167.808,225333248,112,94,10
20000,scan_500_view_bitmap,28,180.233,226197504,114,96,10
20000,scan_500_view_bitmap,29,154.274,226242560,115,97,10
20000,scan_500_view_bitmap,30,168.888,227180544,117,99,10
20000,search_details_100,0,12.766,228061184,117,99,10
20000,local_sale_transaction_no_network,0,113.448,226230272,118,100,10
20000,daily_csv_1_to_31_sales,0,8.487,226467840,118,100,10
20000,search_details_100,1,6.232,226467840,118,100,10
20000,local_sale_transaction_no_network,1,5.435,226467840,118,100,10
20000,daily_csv_1_to_31_sales,1,0.678,226467840,118,100,10
20000,search_details_100,2,6.639,226467840,118,100,10
20000,local_sale_transaction_no_network,2,4.955,226467840,118,100,10
20000,daily_csv_1_to_31_sales,2,3.018,228274176,118,100,10
20000,search_details_100,3,6.444,210698240,118,100,10
20000,local_sale_transaction_no_network,3,5.434,210776064,118,100,10
20000,daily_csv_1_to_31_sales,3,2.896,210776064,118,100,10
20000,search_details_100,4,5.988,210776064,118,100,10
20000,local_sale_transaction_no_network,4,3.975,210776064,118,100,10
20000,daily_csv_1_to_31_sales,4,2.826,210776064,118,100,10
20000,search_details_100,5,7.795,210776064,118,100,10
20000,local_sale_transaction_no_network,5,4.788,210776064,118,100,10
20000,daily_csv_1_to_31_sales,5,2.826,210776064,118,100,10
20000,search_details_100,6,6.061,210776064,118,100,10
20000,local_sale_transaction_no_network,6,5.450,210776064,118,100,10
20000,daily_csv_1_to_31_sales,6,2.846,210776064,118,100,10
20000,search_details_100,7,5.930,210776064,118,100,10
20000,local_sale_transaction_no_network,7,5.246,210776064,118,100,10
20000,daily_csv_1_to_31_sales,7,2.671,210776064,118,100,10
20000,search_details_100,8,5.954,210776064,118,100,10
20000,local_sale_transaction_no_network,8,4.990,210776064,118,100,10
20000,daily_csv_1_to_31_sales,8,0.729,210776064,118,100,10
20000,search_details_100,9,6.050,210776064,118,100,10
20000,local_sale_transaction_no_network,9,5.068,210776064,118,100,10
20000,daily_csv_1_to_31_sales,9,5.306,210935808,119,100,10
20000,search_details_100,10,5.970,210935808,119,100,10
20000,local_sale_transaction_no_network,10,5.392,210935808,119,100,10
20000,daily_csv_1_to_31_sales,10,3.217,210935808,119,100,10
20000,search_details_100,11,5.892,210935808,119,100,10
20000,local_sale_transaction_no_network,11,5.223,210935808,119,100,10
20000,daily_csv_1_to_31_sales,11,2.801,210935808,119,100,10
20000,search_details_100,12,6.314,210935808,119,100,10
20000,local_sale_transaction_no_network,12,5.223,210935808,119,100,10
20000,daily_csv_1_to_31_sales,12,2.877,210935808,119,100,10
20000,search_details_100,13,6.103,210935808,119,100,10
20000,local_sale_transaction_no_network,13,4.575,210935808,119,100,10
20000,daily_csv_1_to_31_sales,13,3.108,210935808,119,100,10
20000,search_details_100,14,6.263,210935808,119,100,10
20000,local_sale_transaction_no_network,14,5.248,210935808,119,100,10
20000,daily_csv_1_to_31_sales,14,0.557,210935808,119,100,10
20000,search_details_100,15,6.410,210935808,119,100,10
20000,local_sale_transaction_no_network,15,4.831,210935808,119,100,10
20000,daily_csv_1_to_31_sales,15,2.859,210935808,119,100,10
20000,search_details_100,16,6.073,210935808,119,100,10
20000,local_sale_transaction_no_network,16,5.127,210935808,119,100,10
20000,daily_csv_1_to_31_sales,16,2.860,210935808,119,100,10
20000,search_details_100,17,5.966,210935808,119,100,10
20000,local_sale_transaction_no_network,17,5.087,210935808,119,100,10
20000,daily_csv_1_to_31_sales,17,2.927,210935808,119,100,10
20000,search_details_100,18,5.943,210935808,119,100,10
20000,local_sale_transaction_no_network,18,4.641,210935808,119,100,10
20000,daily_csv_1_to_31_sales,18,3.112,210935808,119,100,10
20000,search_details_100,19,7.487,210935808,119,100,10
20000,local_sale_transaction_no_network,19,7.758,210935808,120,100,10
20000,daily_csv_1_to_31_sales,19,2.880,210935808,120,100,10
20000,search_details_100,20,6.182,210935808,120,100,10
20000,local_sale_transaction_no_network,20,6.297,210935808,120,100,10
20000,daily_csv_1_to_31_sales,20,3.078,210935808,120,100,10
20000,search_details_100,21,6.149,210935808,120,100,10
20000,local_sale_transaction_no_network,21,6.243,210935808,120,100,10
20000,daily_csv_1_to_31_sales,21,3.132,210935808,120,100,10
20000,search_details_100,22,5.964,210935808,120,100,10
20000,local_sale_transaction_no_network,22,5.354,210935808,120,100,10
20000,daily_csv_1_to_31_sales,22,2.981,210935808,120,100,10
20000,search_details_100,23,6.095,210935808,120,100,10
20000,local_sale_transaction_no_network,23,5.710,210935808,120,100,10
20000,daily_csv_1_to_31_sales,23,2.972,210935808,120,100,10
20000,search_details_100,24,6.486,210935808,120,100,10
20000,local_sale_transaction_no_network,24,5.104,211697664,120,100,10
20000,daily_csv_1_to_31_sales,24,3.359,211697664,120,100,10
20000,search_details_100,25,6.489,211697664,120,100,10
20000,local_sale_transaction_no_network,25,5.095,211697664,120,100,10
20000,daily_csv_1_to_31_sales,25,0.848,211697664,120,100,10
20000,search_details_100,26,6.414,211697664,120,100,10
20000,local_sale_transaction_no_network,26,4.987,211697664,120,100,10
20000,daily_csv_1_to_31_sales,26,3.157,211697664,120,100,10
