products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
20000,0,1710.964,11.849,9.776,5.437,87.049
20000,1,78.250,1.027,1625.827,0.705,125.916
20000,2,27.227,0.962,4.287,2.017,122.857
20000,3,108.677,1.003,3.621,0.699,129.683
20000,4,39.295,1.139,3.305,0.710,118.462
20000,5,57.872,1.038,3.793,0.973,114.488
20000,6,58.364,1.127,3.072,0.721,123.400
20000,7,39.457,1.161,3.987,0.717,118.071
20000,8,58.420,1.087,9.656,0.714,110.792
20000,9,55.954,1.114,3.501,0.701,122.311
20000,10,37.458,1.137,3.138,0.721,117.855
20000,11,57.794,1.082,3.055,0.851,112.629
20000,12,57.266,1.062,3.058,0.728,120.060
20000,13,37.590,23.723,3.116,0.739,98.011
20000,14,54.046,0.997,4.399,0.722,111.268
20000,15,55.607,1.200,2.795,0.700,111.476
20000,16,57.329,1.048,3.268,0.674,124.430
20000,17,40.183,1.125,3.192,0.712,117.721
20000,18,58.478,1.378,3.582,0.681,112.752
20000,19,56.322,1.003,3.116,0.720,123.585
20000,20,36.915,1.266,3.503,0.712,116.294
20000,21,57.639,1.250,3.482,0.703,117.942
20000,22,57.630,1.182,3.882,0.684,122.497
20000,23,36.679,1.123,3.022,0.709,114.032
20000,24,59.538,1.079,3.172,0.666,108.752
20000,25,56.997,1.067,3.021,0.671,117.106
20000,26,36.806,1.098,3.341,0.741,109.719
20000,27,55.637,1.007,2.873,0.742,107.537
20000,28,58.762,1.024,2.897,0.710,116.827
20000,29,37.786,1.318,24.713,0.692,89.749
20000,30,57.507,1.182,2.769,0.673,106.745
