products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
100000,1,scan,0,53.188,34660352,8,7,1,3.166,2,2,0
100000,1,scan,1,1.792,34660352,8,7,1,0.106,2,2,0
100000,1,scan,2,0.873,34660352,8,7,1,0.067,2,2,0
100000,1,scan,3,0.764,34660352,8,7,1,0.062,2,2,0
100000,1,scan,4,0.716,34660352,8,7,1,0.077,2,2,0
100000,1,scan,5,0.772,34660352,8,7,1,0.063,2,2,0
100000,1,scan,6,0.914,34660352,8,7,1,0.126,2,2,0
100000,1,scan,7,0.696,34660352,8,7,1,0.068,2,2,0
100000,1,scan,8,0.947,34660352,8,7,1,0.121,2,2,0
100000,1,scan,9,0.788,34660352,8,7,1,0.104,2,2,0
100000,1,scan,10,0.747,34660352,8,7,1,0.111,2,2,0
100000,1,scan,11,0.648,34660352,8,7,1,0.055,2,2,0
100000,1,scan,12,0.919,34660352,8,7,1,0.093,2,2,0
100000,1,scan,13,0.724,34660352,8,7,1,0.057,2,2,0
100000,1,scan,14,0.937,34660352,8,7,1,0.115,2,2,0
100000,1,scan,15,0.955,34660352,8,7,1,0.146,2,2,0
100000,1,scan,16,0.756,34660352,8,7,1,0.079,2,2,0
100000,1,scan,17,0.671,34660352,8,7,1,0.064,2,2,0
100000,1,scan,18,0.790,34660352,8,7,1,0.103,2,2,0
100000,1,scan,19,0.820,34660352,8,7,1,0.100,2,2,0
100000,1,scan,20,1.299,34660352,8,7,1,0.100,2,2,0
100000,1,scan,21,0.785,34660352,8,7,1,0.072,2,2,0
100000,1,scan,22,1.078,34660352,8,7,1,0.067,2,2,0
100000,1,scan,23,0.735,34660352,8,7,1,0.060,2,2,0
100000,1,scan,24,0.948,34660352,8,7,1,0.101,2,2,0
100000,1,scan,25,2.399,34660352,8,7,1,0.119,2,2,0
100000,1,scan,26,2.299,34660352,8,7,1,0.165,2,2,0
100000,1,scan,27,1.058,34660352,8,7,1,0.379,2,2,0
100000,1,scan,28,4.296,34660352,9,8,1,0.148,2,2,0
100000,1,scan,29,1.219,34660352,9,8,1,0.134,2,2,0
100000,1,scan,30,1.392,34660352,9,8,1,0.184,2,2,0
100000,10,scan,0,1.119,34660352,9,8,1,0.141,2,2,0
100000,10,scan,1,1.189,34660352,9,8,1,0.139,2,2,0
100000,10,scan,2,1.146,34660352,9,8,1,0.153,2,2,0
100000,10,scan,3,0.915,34660352,9,8,1,0.104,2,2,0
100000,10,scan,4,1.017,34660352,9,8,1,0.132,2,2,0
100000,10,scan,5,0.820,34660352,9,8,1,0.055,2,2,0
100000,10,scan,6,1.055,34660352,9,8,1,0.176,2,2,0
100000,10,scan,7,0.760,34660352,9,8,1,0.074,2,2,0
100000,10,scan,8,1.056,34660352,9,8,1,0.114,2,2,0
100000,10,scan,9,1.307,34660352,9,8,1,0.120,2,2,0
100000,10,scan,10,1.031,34660352,9,8,1,0.136,2,2,0
100000,10,scan,11,1.138,34660352,9,8,1,0.114,2,2,0
100000,10,scan,12,1.177,34660352,9,8,1,0.107,2,2,0
100000,10,scan,13,1.209,34660352,9,8,1,0.155,2,2,0
100000,10,scan,14,0.790,34660352,9,8,1,0.075,2,2,0
100000,10,scan,15,1.023,34660352,9,8,1,0.123,2,2,0
100000,10,scan,16,0.678,34660352,9,8,1,0.065,2,2,0
100000,10,scan,17,1.090,34660352,9,8,1,0.111,2,2,0
100000,10,scan,18,0.891,34660352,9,8,1,0.056,2,2,0
100000,10,scan,19,1.028,34660352,9,8,1,0.116,2,2,0
100000,10,scan,20,0.881,34660352,9,8,1,0.103,2,2,0
100000,10,scan,21,0.997,34660352,9,8,1,0.062,2,2,0
100000,10,scan,22,0.830,34660352,9,8,1,0.068,2,2,0
100000,10,scan,23,1.084,34660352,9,8,1,0.072,2,2,0
100000,10,scan,24,0.782,34660352,9,8,1,0.065,2,2,0
100000,10,scan,25,0.981,34660352,9,8,1,0.053,2,2,0
100000,10,scan,26,1.051,34660352,9,8,1,0.125,2,2,0
100000,10,scan,27,0.823,34660352,9,8,1,0.048,2,2,0
100000,10,scan,28,0.893,34660352,9,8,1,0.093,2,2,0
100000,10,scan,29,0.885,34660352,9,8,1,0.094,2,2,0
100000,10,scan,30,1.250,34660352,9,8,1,0.153,2,2,0
100000,50,scan,0,1.283,34664448,9,8,1,0.056,2,2,0
100000,50,scan,1,1.434,34664448,9,8,1,0.115,2,2,0
100000,50,scan,2,1.340,34664448,9,8,1,0.137,2,2,0
100000,50,scan,3,1.168,34664448,9,8,1,0.063,2,2,0
100000,50,scan,4,1.371,34664448,9,8,1,0.135,2,2,0
100000,50,scan,5,1.317,34861056,9,8,1,0.098,2,2,0
100000,50,scan,6,1.423,34996224,9,8,1,0.149,2,2,0
100000,50,scan,7,1.546,35192832,9,8,1,0.065,2,2,0
100000,50,scan,8,1.436,35389440,9,8,1,0.079,2,2,0
100000,50,scan,9,3.494,35520512,10,9,1,0.090,2,2,0
100000,50,scan,10,2.236,35520512,10,9,1,0.093,2,2,0
100000,50,scan,11,1.338,35520512,10,9,1,0.100,2,2,0
100000,50,scan,12,1.620,35520512,10,9,1,0.118,2,2,0
100000,50,scan,13,1.204,35520512,10,9,1,0.078,2,2,0
100000,50,scan,14,1.505,35520512,10,9,1,0.141,2,2,0
100000,50,scan,15,1.083,35520512,10,9,1,0.053,2,2,0
100000,50,scan,16,1.329,35520512,10,9,1,0.100,2,2,0
100000,50,scan,17,1.440,35520512,10,9,1,0.129,2,2,0
100000,50,scan,18,1.235,35520512,10,9,1,0.096,2,2,0
100000,50,scan,19,1.252,35520512,10,9,1,0.190,2,2,0
100000,50,scan,20,1.022,35520512,10,9,1,0.052,2,2,0
100000,50,scan,21,1.330,35520512,10,9,1,0.106,2,2,0
100000,50,scan,22,1.097,35520512,10,9,1,0.052,2,2,0
100000,50,scan,23,1.338,35520512,10,9,1,0.112,2,2,0
100000,50,scan,24,0.909,35520512,10,9,1,0.054,2,2,0
100000,50,scan,25,1.202,35520512,10,9,1,0.134,2,2,0
100000,50,scan,26,1.098,35520512,10,9,1,0.056,2,2,0
100000,50,scan,27,1.427,35520512,10,9,1,0.108,2,2,0
100000,50,scan,28,0.996,35520512,10,9,1,0.050,2,2,0
100000,50,scan,29,1.173,35520512,10,9,1,0.114,2,2,0
100000,50,scan,30,1.136,35520512,10,9,1,0.054,2,2,0
100000,100,scan,0,1.946,35520512,10,9,1,0.136,2,2,0
100000,100,scan,1,1.349,35520512,10,9,1,0.059,2,2,0
100000,100,scan,2,1.846,35520512,10,9,1,0.122,2,2,0
100000,100,scan,3,1.862,35520512,10,9,1,0.059,2,2,0
100000,100,scan,4,1.558,35520512,10,9,1,0.064,2,2,0
100000,100,scan,5,1.983,35520512,11,10,1,0.112,2,2,0
100000,100,scan,6,1.558,35520512,11,10,1,0.054,2,2,0
100000,100,scan,7,1.952,35520512,11,10,1,0.124,2,2,0
100000,100,scan,8,2.095,35520512,11,10,1,0.076,2,2,0
100000,100,scan,9,1.861,35520512,11,10,1,0.076,2,2,0
100000,100,scan,10,2.060,35520512,11,10,1,0.065,2,2,0
100000,100,scan,11,1.713,35520512,11,10,1,0.082,2,2,0
100000,100,scan,12,1.714,35520512,11,10,1,0.362,2,2,0
100000,100,scan,13,1.651,35520512,11,10,1,0.085,2,2,0
100000,100,scan,14,1.831,35520512,11,10,1,0.088,2,2,0
100000,100,scan,15,1.515,35520512,11,10,1,0.070,2,2,0
100000,100,scan,16,1.700,35520512,11,10,1,0.046,2,2,0
100000,100,scan,17,1.848,35520512,11,10,1,0.087,2,2,0
100000,100,scan,18,1.891,35520512,11,10,1,0.063,2,2,0
100000,100,scan,19,1.573,35520512,11,10,1,0.075,2,2,0
100000,100,scan,20,1.741,35520512,11,10,1,0.192,2,2,0
100000,100,scan,21,1.639,35520512,11,10,1,0.081,2,2,0
100000,100,scan,22,1.805,35520512,11,10,1,0.086,2,2,0
100000,100,scan,23,1.526,35520512,11,10,1,0.088,2,2,0
100000,100,scan,24,1.978,35520512,11,10,1,0.127,2,2,0
100000,100,scan,25,1.783,35520512,11,10,1,0.077,2,2,0
100000,100,scan,26,2.034,35520512,11,10,1,0.127,2,2,0
100000,100,scan,27,1.865,35520512,12,11,1,0.118,2,2,0
100000,100,scan,28,1.959,35520512,12,11,1,0.127,2,2,0
