products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms,native_input_pending
100000,0,Rows,2.076,253894656,104507752,670,24,50,42,156,125,13,0.707,30,0,0,1759.875,115.233,1
100000,0,Rows,3.854,265904128,107349508,667,26,49,42,175,141,16,0.200,33,0,0,86.953,1687.412,1
100000,0,Rows,3.995,268292096,108681268,668,28,49,43,176,142,16,0.179,29,0,0,14.027,122.680,1
100000,0,Rows,4.254,281317376,107495600,668,30,49,43,179,145,17,0.243,32,0,0,111.246,144.031,1
100000,0,Rows,4.465,292921344,110071256,668,27,49,43,181,146,17,0.253,23,0,0,64.645,142.758,1
100000,0,Rows,4.692,294318080,107484644,668,28,49,43,184,149,18,0.419,23,0,0,63.656,158.311,1
100000,0,Rows,4.853,281268224,110824184,668,30,49,43,185,150,18,0.254,23,0,0,39.944,116.735,1
100000,0,Rows,5.029,296099840,111755732,668,32,49,43,187,151,18,0.271,23,0,0,63.051,109.125,1
100000,0,Rows,5.204,281960448,111834864,668,34,49,43,189,153,18,0.231,23,0,0,57.764,113.239,1
100000,0,Rows,5.409,297840640,107515164,668,36,49,43,192,155,19,0.274,23,0,0,60.458,141.218,1
100000,0,Grid,5.868,299270144,111474056,671,40,49,43,197,157,19,0.214,21,500,0,142.020,105.827,1
100000,0,Grid,6.038,299360256,112496660,671,42,49,43,199,158,19,0.188,21,500,0,59.176,106.728,1
100000,0,Grid,6.210,299335680,112921596,671,44,49,43,201,159,19,0.182,21,500,0,62.171,107.177,1
100000,0,Grid,6.412,300396544,107678400,671,26,49,43,204,161,20,0.200,21,500,0,60.275,137.604,1
100000,0,Grid,6.591,300728320,109218324,671,28,49,43,206,163,20,0.199,21,500,0,61.950,113.538,1
100000,0,Grid,6.752,300961792,111529748,671,30,49,43,208,164,20,0.197,21,500,0,60.998,96.595,1
100000,0,Grid,6.921,292601856,111643008,671,32,49,43,210,166,20,0.185,21,500,0,60.842,104.747,1
