products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,pos_view_entry_first_in_process,0,356.645,113381376,17,16,2
100000,scan_500_view_bitmap,0,1862.780,180424704,46,41,6
100000,scan_500_view_bitmap,1,1805.460,203780096,65,55,9
100000,scan_500_view_bitmap,2,189.783,206426112,67,56,9
100000,scan_500_view_bitmap,3,174.076,207687680,69,57,9
100000,scan_500_view_bitmap,4,171.822,208199680,71,58,9
100000,scan_500_view_bitmap,5,175.082,210337792,73,59,9
100000,scan_500_view_bitmap,6,166.218,210022400,75,60,9
100000,scan_500_view_bitmap,7,170.932,210280448,77,61,9
100000,scan_500_view_bitmap,8,166.414,210427904,79,62,9
100000,scan_500_view_bitmap,9,173.449,210317312,81,64,9
100000,scan_500_view_bitmap,10,165.610,211992576,83,65,9
100000,scan_500_view_bitmap,11,165.828,212054016,85,67,9
100000,scan_500_view_bitmap,12,161.080,213045248,87,68,9
100000,scan_500_view_bitmap,13,166.677,212652032,89,70,9
100000,scan_500_view_bitmap,14,166.642,214339584,91,72,9
100000,scan_500_view_bitmap,15,166.603,217317376,93,74,9
100000,scan_500_view_bitmap,16,163.672,221085696,95,76,9
100000,scan_500_view_bitmap,17,170.809,219197440,97,78,9
100000,scan_500_view_bitmap,18,163.058,220880896,99,79,9
100000,scan_500_view_bitmap,19,165.190,221327360,101,80,9
100000,scan_500_view_bitmap,20,216.145,220352512,104,82,10
100000,scan_500_view_bitmap,21,183.033,220909568,106,84,10
100000,scan_500_view_bitmap,22,162.575,224133120,107,85,10
100000,scan_500_view_bitmap,23,159.060,219615232,109,86,10
100000,scan_500_view_bitmap,24,167.522,222146560,111,87,10
100000,scan_500_view_bitmap,25,220.888,218128384,114,89,11
100000,scan_500_view_bitmap,26,190.088,219009024,116,91,11
100000,scan_500_view_bitmap,27,155.943,222703616,117,92,11
100000,scan_500_view_bitmap,28,159.473,219049984,119,93,11
100000,scan_500_view_bitmap,29,164.828,218677248,121,94,11
100000,scan_500_view_bitmap,30,163.242,218746880,123,95,11
100000,search_details_100,0,38.130,219545600,124,96,11
100000,local_sale_transaction_no_network,0,77.325,217329664,124,96,11
100000,daily_csv_1_to_31_sales,0,9.648,217337856,124,96,11
100000,search_details_100,1,34.290,217337856,124,96,11
100000,local_sale_transaction_no_network,1,6.806,217337856,124,96,11
100000,daily_csv_1_to_31_sales,1,0.778,217337856,124,96,11
100000,search_details_100,2,35.799,217337856,124,96,11
100000,local_sale_transaction_no_network,2,6.133,217337856,124,96,11
100000,daily_csv_1_to_31_sales,2,3.419,216969216,124,96,11
100000,search_details_100,3,36.098,201220096,124,96,11
100000,local_sale_transaction_no_network,3,5.924,201220096,124,96,11
100000,daily_csv_1_to_31_sales,3,2.994,201220096,124,96,11
100000,search_details_100,4,34.271,201220096,124,96,11
100000,local_sale_transaction_no_network,4,5.844,201220096,124,96,11
100000,daily_csv_1_to_31_sales,4,3.273,201220096,124,96,11
100000,search_details_100,5,35.017,201220096,124,96,11
100000,local_sale_transaction_no_network,5,6.108,201220096,124,96,11
100000,daily_csv_1_to_31_sales,5,2.991,201220096,124,96,11
100000,search_details_100,6,34.418,201220096,124,96,11
100000,local_sale_transaction_no_network,6,5.058,201220096,124,96,11
100000,daily_csv_1_to_31_sales,6,3.241,201220096,124,96,11
100000,search_details_100,7,38.030,201220096,124,96,11
100000,local_sale_transaction_no_network,7,6.253,201220096,124,96,11
100000,daily_csv_1_to_31_sales,7,3.195,201220096,124,96,11
100000,search_details_100,8,34.769,201220096,124,96,11
100000,local_sale_transaction_no_network,8,4.749,201220096,124,96,11
100000,daily_csv_1_to_31_sales,8,0.571,201220096,125,97,11
100000,search_details_100,9,36.809,201220096,125,97,11
100000,local_sale_transaction_no_network,9,5.958,201220096,125,97,11
100000,daily_csv_1_to_31_sales,9,3.101,201220096,125,97,11
100000,search_details_100,10,34.723,201220096,125,97,11
100000,local_sale_transaction_no_network,10,6.612,201220096,125,97,11
100000,daily_csv_1_to_31_sales,10,2.805,201220096,125,97,11
100000,search_details_100,11,34.732,201220096,125,97,11
100000,local_sale_transaction_no_network,11,6.747,201220096,125,97,11
100000,daily_csv_1_to_31_sales,11,3.490,201220096,125,97,11
100000,search_details_100,12,34.631,201220096,125,97,11
100000,local_sale_transaction_no_network,12,5.398,201220096,125,97,11
100000,daily_csv_1_to_31_sales,12,3.121,201220096,125,97,11
100000,search_details_100,13,38.920,201220096,125,97,11
100000,local_sale_transaction_no_network,13,6.004,201220096,125,97,11
100000,daily_csv_1_to_31_sales,13,3.078,201220096,125,97,11
100000,search_details_100,14,36.109,201220096,125,97,11
