products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
100000,0,1757.207,0.711,9.822,6.521,88.506
100000,1,78.236,0.950,1610.761,0.813,114.683
100000,2,81.844,1.023,2.880,6.531,97.485
100000,3,55.008,1.000,5.359,0.903,111.793
100000,4,58.208,1.729,3.580,10.764,97.528
100000,5,57.533,1.265,3.712,0.721,111.836
100000,6,54.714,1.315,3.837,11.356,94.981
100000,7,57.807,0.976,3.285,0.794,108.056
100000,8,55.731,0.986,3.283,12.701,93.701
100000,9,55.132,0.978,3.010,0.730,113.584
100000,10,56.017,0.995,3.087,12.239,93.261
100000,11,53.298,1.103,2.871,0.736,107.809
100000,12,54.879,0.966,2.921,11.204,91.098
100000,13,54.907,1.023,2.785,0.711,107.235
100000,14,56.440,0.944,3.786,11.778,93.681
100000,15,55.784,1.213,2.994,0.728,105.868
100000,16,57.032,1.001,3.068,12.127,90.432
100000,17,56.056,0.963,2.829,0.820,110.116
100000,18,56.064,0.980,2.597,11.604,91.800
100000,19,55.368,0.970,2.896,0.706,105.238
100000,20,56.004,0.951,3.172,0.840,155.165
100000,21,56.795,1.118,2.695,0.706,121.703
100000,22,35.676,1.101,3.554,0.734,121.497
100000,23,53.719,0.993,2.723,11.134,90.479
100000,24,54.314,1.003,2.568,0.733,108.892
100000,25,55.456,1.156,3.143,0.815,160.307
100000,26,57.939,1.334,3.464,0.711,126.625
100000,27,36.748,1.104,3.192,0.701,114.185
100000,28,54.932,0.960,2.705,11.195,89.668
100000,29,54.247,0.949,3.860,0.764,104.996
100000,30,57.603,0.980,2.844,10.772,91.030
