products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms,native_input_pending
100000,0,Rows,1.910,269373440,105908948,664,24,50,42,154,119,12,0.412,30,0,0,1610.308,109.135,1
100000,0,Rows,3.605,284704768,107007272,661,26,49,42,171,134,13,0.204,33,0,0,72.705,1617.810,1
100000,0,Rows,3.732,287424512,108353300,662,28,49,43,172,135,13,0.164,29,0,0,11.954,113.271,1
100000,0,Rows,3.952,298012672,110489596,662,30,49,43,174,137,13,0.246,32,0,0,104.952,111.627,1
100000,0,Rows,4.139,298639360,109878104,662,32,49,43,176,139,13,0.242,26,0,0,63.044,120.171,1
100000,0,Rows,4.298,299585536,112540824,662,30,49,43,177,140,13,0.331,24,0,0,39.200,115.214,1
100000,0,Rows,4.466,299110400,112526056,662,31,49,43,179,141,13,0.238,24,0,0,56.952,108.275,1
100000,0,Rows,4.641,303681536,111644940,662,32,49,43,181,143,13,0.274,24,0,0,56.678,114.775,1
100000,0,Rows,4.792,304996352,114410788,662,34,49,43,182,144,13,0.211,24,0,0,37.045,110.317,1
100000,0,Rows,4.957,304037888,114442440,662,36,49,43,184,146,13,0.261,24,0,0,57.503,103.173,1
100000,0,Grid,5.505,302800896,107703664,665,40,49,43,192,150,15,0.180,23,500,0,193.746,168.741,1
100000,0,Grid,5.659,305197056,110659048,665,42,49,43,193,151,15,0.184,23,500,0,35.664,115.446,1
100000,0,Grid,5.851,301862912,107616644,665,44,49,43,196,153,16,0.183,22,500,0,55.672,133.100,1
100000,0,Grid,6.029,306143232,108815940,665,26,49,43,198,155,16,0.180,22,500,0,56.872,117.814,1
100000,0,Grid,6.199,291975168,107613912,665,28,49,43,200,157,17,0.187,22,500,0,36.400,130.289,1
100000,0,Grid,6.360,295546880,111194472,665,30,49,43,202,158,17,0.197,22,500,0,56.620,100.689,1
100000,0,Grid,6.551,295129088,107618100,665,32,49,43,205,160,18,0.199,22,500,0,57.270,130.988,1
100000,0,Grid,6.730,296591360,109280020,665,34,49,43,207,162,18,0.183,22,500,0,60.599,114.657,1
100000,0,Grid,6.950,294797312,107598044,665,36,49,43,210,165,19,0.191,22,500,0,60.753,155.460,1
100000,0,Grid,7.103,294449152,110727084,665,38,49,43,211,166,19,0.176,22,500,0,37.047,113.122,1
100000,0,before_idle,8.547,314343424,107356412,711,30,48,43,228,178,20,0.076,48,500,0,0.000,0.000,1
100000,0,after_idle,28.575,294490112,114744260,709,26,46,43,486,435,20,0.573,28,500,0,0.000,0.000,1
100000,1,Rows,30.660,363352064,168885692,713,27,46,43,515,464,20,0.232,1079,500,0,73.939,211.095,1
100000,1,Rows,30.755,358477824,174228340,713,28,46,43,515,464,20,0.189,820,500,0,7.618,84.483,1
100000,1,Rows,32.601,367579136,64550732,680,27,46,43,533,477,22,0.196,46,500,0,1652.845,189.278,1
100000,1,Rows,32.723,368267264,65740696,683,28,47,44,534,478,22,0.168,43,500,0,8.595,110.664,1
100000,1,Rows,33.010,236208128,66609968,683,28,47,44,536,480,23,0.266,43,500,0,52.431,231.275,1
100000,1,Rows,33.160,226553856,66763956,683,29,47,44,538,481,23,0.179,43,500,0,49.749,96.483,1
100000,1,Rows,33.358,235388928,64657080,683,29,47,44,541,483,24,0.176,38,500,0,52.277,143.017,1
100000,1,Rows,33.496,236113920,66757484,683,30,47,44,542,484,24,0.188,38,500,0,33.796,100.154,1
100000,1,Rows,33.685,235425792,64783276,683,32,47,44,545,486,25,0.195,38,500,0,49.645,136.428,1
100000,1,Rows,33.851,227946496,65061584,683,34,47,44,547,488,25,0.181,38,500,0,50.219,112.796,1
100000,1,Grid,34.156,236314624,64807256,683,38,47,44,551,491,26,0.192,37,500,0,133.528,133.430,1
100000,1,Grid,34.307,236642304,65903332,683,40,47,44,553,492,26,0.180,37,500,0,48.568,99.215,1
100000,1,Grid,34.496,237674496,64393888,683,42,47,44,556,494,27,0.183,36,500,0,51.013,135.485,1
100000,1,Grid,34.637,225935360,66615148,683,44,47,44,557,495,27,0.183,36,500,0,33.832,103.743,1
100000,1,Grid,34.832,237142016,64740812,683,46,47,44,560,497,28,0.194,36,500,0,52.946,138.208,1
100000,1,Grid,34.986,237309952,65415396,683,28,47,44,562,499,28,0.187,36,500,0,49.704,100.936,1
100000,1,Grid,35.164,237047808,64024876,683,30,47,44,565,501,29,0.181,36,500,0,52.110,122.883,1
100000,1,Grid,35.307,238161920,66199944,683,32,47,44,566,502,29,0.188,36,500,0,34.391,104.819,1
100000,1,Grid,35.500,237486080,64777032,683,34,47,44,569,504,30,0.188,36,500,0,51.207,138.903,1
100000,1,Grid,35.668,237756416,64728884,683,36,47,44,571,506,30,0.194,36,500,0,53.386,111.079,1
100000,1,before_idle,36.940,261812224,62398388,721,32,49,44,586,521,31,0.079,63,500,0,0.000,0.000,1
100000,1,after_idle,56.961,240500736,66140808,711,28,44,38,866,801,31,0.113,53,500,0,0.000,0.000,1
100000,2,Rows,59.097,288096256,125592188,678,27,44,40,894,828,32,0.235,1090,500,0,78.204,216.286,1
100000,2,Rows,59.228,300650496,106566304,678,28,44,40,896,830,33,0.211,845,500,0,19.881,107.695,1
100000,2,Rows,60.864,302940160,117678016,666,30,43,38,911,845,33,0.191,69,500,0,1531.287,101.055,1
100000,2,Rows,61.116,301969408,67069972,667,32,43,39,914,848,34,0.203,67,500,0,53.189,194.919,1
100000,2,Rows,61.301,304402432,67442716,667,29,43,39,916,850,34,0.186,62,500,0,56.903,124.624,1
100000,2,Rows,61.443,304820224,69827620,667,30,43,39,917,851,34,0.193,62,500,0,33.134,105.415,1
100000,2,Rows,61.648,303992832,67157172,667,32,43,39,920,853,35,0.196,62,500,0,53.338,148.878,1
100000,2,Rows,61.817,304349184,67394144,667,34,43,39,922,855,35,0.188,62,500,0,54.802,110.653,1
100000,2,Rows,61.970,305283072,69784960,667,36,43,39,923,856,35,0.179,62,500,0,42.161,106.837,1
