products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
100000,0,1641.337,0.661,9.173,9.177,86.959
100000,1,83.543,1.105,1436.852,1.225,108.328
100000,2,79.035,0.956,2.905,5.030,89.148
100000,3,50.444,0.921,2.998,0.997,102.730
100000,4,53.942,0.889,2.817,11.438,92.744
100000,5,53.239,1.309,5.282,1.183,102.559
100000,6,50.672,0.893,2.864,11.599,87.965
100000,7,53.212,0.906,2.555,0.964,104.243
100000,8,51.436,0.971,3.012,11.268,91.038
100000,9,55.104,1.300,3.353,0.977,107.222
100000,10,54.950,0.933,3.241,11.621,90.703
100000,11,51.648,0.998,2.568,0.960,102.817
100000,12,53.069,0.915,2.644,12.118,91.352
100000,13,51.634,0.925,2.777,0.940,104.201
100000,14,52.225,0.915,2.828,11.880,85.538
100000,15,51.083,0.919,2.810,0.938,101.762
100000,16,55.920,0.982,2.346,11.366,87.157
100000,17,50.943,0.916,2.846,1.054,106.306
100000,18,53.671,0.922,2.568,10.877,85.449
100000,19,52.837,0.926,2.667,0.784,99.846
100000,20,51.098,0.909,3.807,11.190,85.128
100000,21,50.441,0.927,2.168,0.685,101.578
100000,22,53.421,0.898,2.976,10.710,85.796
100000,23,54.263,0.939,2.257,0.715,102.255
100000,24,51.243,0.905,3.466,10.544,85.548
100000,25,50.121,0.899,3.135,0.696,101.067
100000,26,51.657,0.888,2.284,0.828,149.227
100000,27,53.065,0.897,3.220,0.704,113.725
100000,28,34.446,0.995,2.665,0.660,106.423
100000,29,53.168,0.897,2.511,10.537,85.931
100000,30,51.074,0.909,2.659,0.733,99.050
