products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
20000,1,scan,0,54.628,34689024,8,7,1,3.196,2,2,0
20000,1,scan,1,0.913,34689024,8,7,1,0.125,2,2,0
20000,1,scan,2,0.809,34693120,8,7,1,0.059,2,2,0
20000,1,scan,3,0.709,34693120,8,7,1,0.101,2,2,0
20000,1,scan,4,0.887,34693120,8,7,1,0.062,2,2,0
20000,1,scan,5,0.628,34693120,8,7,1,0.059,2,2,0
20000,1,scan,6,0.754,34693120,8,7,1,0.076,2,2,0
20000,1,scan,7,0.619,34693120,8,7,1,0.054,2,2,0
20000,1,scan,8,0.724,34693120,8,7,1,0.093,2,2,0
20000,1,scan,9,0.591,34693120,8,7,1,0.052,2,2,0
20000,1,scan,10,0.818,34693120,8,7,1,0.047,2,2,0
20000,1,scan,11,0.821,34693120,8,7,1,0.071,2,2,0
20000,1,scan,12,0.704,34693120,8,7,1,0.062,2,2,0
20000,1,scan,13,0.819,34693120,8,7,1,0.108,2,2,0
20000,1,scan,14,0.680,34693120,8,7,1,0.054,2,2,0
20000,1,scan,15,0.895,34693120,8,7,1,0.099,2,2,0
20000,1,scan,16,0.722,34693120,8,7,1,0.058,2,2,0
20000,1,scan,17,0.933,34693120,8,7,1,0.095,2,2,0
20000,1,scan,18,0.645,34693120,8,7,1,0.068,2,2,0
20000,1,scan,19,0.725,34693120,8,7,1,0.062,2,2,0
20000,1,scan,20,0.738,34693120,8,7,1,0.093,2,2,0
20000,1,scan,21,0.695,34693120,8,7,1,0.054,2,2,0
20000,1,scan,22,0.736,34693120,8,7,1,0.091,2,2,0
20000,1,scan,23,0.738,34693120,8,7,1,0.053,2,2,0
20000,1,scan,24,0.835,34693120,8,7,1,0.063,2,2,0
20000,1,scan,25,1.152,34693120,8,7,1,0.101,2,2,0
20000,1,scan,26,0.716,34693120,8,7,1,0.053,2,2,0
20000,1,scan,27,0.899,34693120,8,7,1,0.089,2,2,0
20000,1,scan,28,0.532,34693120,9,8,1,0.054,2,2,0
20000,1,scan,29,0.787,34693120,9,8,1,0.109,2,2,0
20000,1,scan,30,0.671,34693120,9,8,1,0.052,2,2,0
20000,10,scan,0,0.885,34693120,9,8,1,0.109,2,2,0
20000,10,scan,1,0.807,34693120,9,8,1,0.060,2,2,0
20000,10,scan,2,0.786,34693120,9,8,1,0.094,2,2,0
20000,10,scan,3,0.606,34693120,9,8,1,0.051,2,2,0
20000,10,scan,4,0.781,34693120,9,8,1,0.045,2,2,0
20000,10,scan,5,0.916,34693120,9,8,1,0.082,2,2,0
20000,10,scan,6,0.754,34693120,9,8,1,0.056,2,2,0
20000,10,scan,7,0.869,34693120,9,8,1,0.104,2,2,0
20000,10,scan,8,0.740,34693120,9,8,1,0.052,2,2,0
20000,10,scan,9,0.842,34693120,9,8,1,0.096,2,2,0
20000,10,scan,10,0.738,34693120,9,8,1,0.051,2,2,0
20000,10,scan,11,0.945,34693120,9,8,1,0.045,2,2,0
20000,10,scan,12,0.852,34693120,9,8,1,0.075,2,2,0
20000,10,scan,13,0.727,34693120,9,8,1,0.061,2,2,0
20000,10,scan,14,0.962,34693120,9,8,1,0.102,2,2,0
20000,10,scan,15,0.784,34693120,9,8,1,0.053,2,2,0
20000,10,scan,16,0.896,34693120,9,8,1,0.098,2,2,0
20000,10,scan,17,0.871,34693120,9,8,1,0.066,2,2,0
20000,10,scan,18,0.968,34693120,9,8,1,0.098,2,2,0
20000,10,scan,19,0.850,34693120,9,8,1,0.061,2,2,0
20000,10,scan,20,0.774,34693120,9,8,1,0.193,2,2,0
20000,10,scan,21,0.865,34693120,9,8,1,0.070,2,2,0
20000,10,scan,22,0.674,34693120,9,8,1,0.055,2,2,0
20000,10,scan,23,1.072,34693120,9,8,1,0.100,2,2,0
20000,10,scan,24,0.683,34693120,9,8,1,0.055,2,2,0
20000,10,scan,25,0.802,34693120,9,8,1,0.109,2,2,0
20000,10,scan,26,0.734,34693120,9,8,1,0.048,2,2,0
20000,10,scan,27,0.930,34693120,9,8,1,0.070,2,2,0
20000,10,scan,28,0.825,34693120,9,8,1,0.065,2,2,0
20000,10,scan,29,0.955,34693120,9,8,1,0.048,2,2,0
20000,10,scan,30,0.750,34693120,9,8,1,0.069,2,2,0
20000,50,scan,0,1.342,34693120,9,8,1,0.057,2,2,0
20000,50,scan,1,1.239,34693120,9,8,1,0.061,2,2,0
20000,50,scan,2,1.109,34693120,9,8,1,0.059,2,2,0
20000,50,scan,3,1.133,34693120,9,8,1,0.068,2,2,0
20000,50,scan,4,1.248,34693120,9,8,1,0.045,2,2,0
20000,50,scan,5,1.233,34758656,9,8,1,0.068,2,2,0
20000,50,scan,6,1.136,34955264,9,8,1,0.058,2,2,0
20000,50,scan,7,1.196,35086336,9,8,1,0.072,2,2,0
20000,50,scan,8,1.194,35282944,9,8,1,0.048,2,2,0
20000,50,scan,9,1.168,35479552,9,8,1,0.086,2,2,0
20000,50,scan,10,3.307,35545088,10,9,1,0.043,2,2,0
20000,50,scan,11,1.108,35545088,10,9,1,0.065,2,2,0
20000,50,scan,12,1.474,35545088,10,9,1,0.102,2,2,0
20000,50,scan,13,1.109,35545088,10,9,1,0.053,2,2,0
20000,50,scan,14,1.300,35545088,10,9,1,0.179,2,2,0
20000,50,scan,15,1.027,35545088,10,9,1,0.057,2,2,0
20000,50,scan,16,1.369,35545088,10,9,1,0.117,2,2,0
20000,50,scan,17,1.011,35545088,10,9,1,0.052,2,2,0
20000,50,scan,18,1.550,35545088,10,9,1,0.119,2,2,0
20000,50,scan,19,1.055,35545088,10,9,1,0.054,2,2,0
20000,50,scan,20,1.150,35545088,10,9,1,0.115,2,2,0
20000,50,scan,21,0.900,35545088,10,9,1,0.050,2,2,0
20000,50,scan,22,1.099,35545088,10,9,1,0.092,2,2,0
20000,50,scan,23,0.939,35545088,10,9,1,0.050,2,2,0
20000,50,scan,24,1.243,35545088,10,9,1,0.104,2,2,0
20000,50,scan,25,1.009,35545088,10,9,1,0.053,2,2,0
20000,50,scan,26,1.062,35545088,10,9,1,0.105,2,2,0
20000,50,scan,27,1.107,35545088,10,9,1,0.057,2,2,0
20000,50,scan,28,1.221,35545088,10,9,1,0.099,2,2,0
20000,50,scan,29,1.103,35545088,10,9,1,0.061,2,2,0
20000,50,scan,30,1.272,35545088,10,9,1,0.059,2,2,0
20000,100,scan,0,1.444,35545088,10,9,1,0.068,2,2,0
20000,100,scan,1,1.503,35545088,10,9,1,0.094,2,2,0
20000,100,scan,2,1.554,35545088,10,9,1,0.076,2,2,0
20000,100,scan,3,1.555,35545088,10,9,1,0.099,2,2,0
20000,100,scan,4,1.391,35545088,10,9,1,0.050,2,2,0
20000,100,scan,5,1.510,35545088,10,9,1,0.082,2,2,0
20000,100,scan,6,1.946,35545088,11,10,1,0.051,2,2,0
20000,100,scan,7,1.600,35545088,11,10,1,0.116,2,2,0
20000,100,scan,8,1.525,35545088,11,10,1,0.053,2,2,0
20000,100,scan,9,1.547,35545088,11,10,1,0.102,2,2,0
20000,100,scan,10,1.549,35545088,11,10,1,0.055,2,2,0
20000,100,scan,11,1.547,35545088,11,10,1,0.069,2,2,0
20000,100,scan,12,1.693,35545088,11,10,1,0.066,2,2,0
20000,100,scan,13,1.494,35545088,11,10,1,0.062,2,2,0
20000,100,scan,14,1.534,35545088,11,10,1,0.137,2,2,0
20000,100,scan,15,1.457,35545088,11,10,1,0.052,2,2,0
20000,100,scan,16,1.524,35545088,11,10,1,0.096,2,2,0
20000,100,scan,17,1.365,35545088,11,10,1,0.052,2,2,0
20000,100,scan,18,1.643,35545088,11,10,1,0.104,2,2,0
20000,100,scan,19,1.501,35545088,11,10,1,0.077,2,2,0
20000,100,scan,20,1.606,35545088,11,10,1,0.102,2,2,0
20000,100,scan,21,1.630,35545088,11,10,1,0.071,2,2,0
20000,100,scan,22,1.812,35545088,11,10,1,0.117,2,2,0
20000,100,scan,23,1.623,35545088,11,10,1,0.072,2,2,0
20000,100,scan,24,2.040,35545088,11,10,1,0.130,2,2,0
20000,100,scan,25,1.576,35545088,11,10,1,0.080,2,2,0
20000,100,scan,26,1.758,35545088,11,10,1,0.109,2,2,0
20000,100,scan,27,1.817,35545088,11,10,1,0.102,2,2,0
20000,100,scan,28,1.914,35545088,12,11,1,0.115,2,2,0
20000,100,scan,29,1.459,35545088,12,11,1,0.084,2,2,0
20000,100,scan,30,1.693,35545088,12,11,1,0.129,2,2,0
20000,500,scan,0,6.187,35545088,12,11,1,0.084,2,2,0
20000,500,scan,1,6.607,35545088,12,11,1,0.081,2,2,0
20000,500,scan,2,5.864,35545088,12,11,1,0.115,2,2,0
20000,500,scan,3,6.232,35545088,12,11,1,0.104,2,2,0
20000,500,scan,4,5.887,35631104,12,11,1,0.072,2,2,0
20000,500,scan,5,5.855,35631104,12,11,1,0.060,2,2,0
20000,500,scan,6,6.364,35631104,13,12,1,0.061,2,2,0
20000,500,scan,7,5.976,35631104,13,12,1,0.059,2,2,0
20000,500,scan,8,6.872,35631104,13,12,1,0.276,2,2,0
20000,500,scan,9,5.813,35631104,13,12,1,0.105,2,2,0
20000,500,scan,10,5.899,35631104,13,12,1,0.105,2,2,0
20000,500,scan,11,8.030,35631104,13,12,1,0.092,2,2,0
20000,500,scan,12,6.008,35631104,13,12,1,0.069,2,2,0
20000,500,scan,13,7.238,35631104,13,12,1,0.063,2,2,0
20000,500,scan,14,6.287,35631104,14,13,1,0.099,2,2,0
20000,500,scan,15,6.735,35631104,14,13,1,0.101,2,2,0
20000,500,scan,16,6.070,35631104,14,13,1,0.058,2,2,0
20000,500,scan,17,6.952,35631104,14,13,1,0.061,2,2,0
20000,500,scan,18,6.191,35631104,14,13,1,0.061,2,2,0
20000,500,scan,19,5.937,35631104,14,13,1,0.073,2,2,0
20000,500,scan,20,5.808,35631104,14,13,1,0.088,2,2,0
20000,500,scan,21,5.800,35631104,14,13,1,0.107,2,2,0
20000,500,scan,22,9.384,35631104,15,14,2,0.181,2,2,0
20000,500,scan,23,8.126,35631104,15,14,2,0.065,2,2,0
20000,500,scan,24,6.463,35561472,15,14,2,0.113,2,2,0
20000,500,scan,25,6.037,35631104,15,14,2,0.065,2,2,0
20000,500,scan,26,6.368,35631104,15,14,2,0.068,2,2,0
20000,500,scan,27,6.400,35631104,15,14,2,0.058,2,2,0
20000,500,scan,28,6.619,35631104,15,14,2,0.062,2,2,0
20000,500,scan,29,6.569,35631104,16,15,2,0.200,2,2,0
20000,500,scan,30,6.150,35631104,16,15,2,0.104,2,2,0
