products,operation,sample,ms,private_bytes,gc0,gc1,gc2
20000,pos_view_entry_first_in_process,0,358.004,112799744,17,16,2
20000,scan_500_view_bitmap,0,1918.763,179732480,45,41,6
20000,scan_500_view_bitmap,1,1854.345,194109440,64,57,9
20000,scan_500_view_bitmap,2,133.944,194768896,65,58,9
20000,scan_500_view_bitmap,3,270.214,206090240,69,60,10
20000,scan_500_view_bitmap,4,170.212,208687104,70,61,10
20000,scan_500_view_bitmap,5,173.009,207986688,72,62,10
20000,scan_500_view_bitmap,6,178.385,208830464,74,63,10
20000,scan_500_view_bitmap,7,173.549,209240064,76,64,10
20000,scan_500_view_bitmap,8,151.885,209559552,78,65,10
20000,scan_500_view_bitmap,9,164.793,210526208,79,66,10
20000,scan_500_view_bitmap,10,166.509,210071552,81,67,10
20000,scan_500_view_bitmap,11,176.085,210182144,83,69,10
20000,scan_500_view_bitmap,12,168.213,211398656,85,70,10
20000,scan_500_view_bitmap,13,173.967,211779584,87,72,10
20000,scan_500_view_bitmap,14,166.124,217657344,89,74,10
20000,scan_500_view_bitmap,15,175.410,218845184,91,76,10
20000,scan_500_view_bitmap,16,166.298,220631040,93,78,10
20000,scan_500_view_bitmap,17,167.265,219627520,95,80,10
20000,scan_500_view_bitmap,18,170.222,221007872,97,82,10
20000,scan_500_view_bitmap,19,182.125,222101504,99,84,10
20000,scan_500_view_bitmap,20,166.501,222208000,101,85,10
20000,scan_500_view_bitmap,21,174.683,221487104,103,87,10
20000,scan_500_view_bitmap,22,220.648,223375360,106,89,11
20000,scan_500_view_bitmap,23,176.937,221384704,108,90,11
20000,scan_500_view_bitmap,24,170.739,224018432,110,91,11
20000,scan_500_view_bitmap,25,177.367,222846976,112,92,11
20000,scan_500_view_bitmap,26,166.665,221032448,114,93,11
20000,scan_500_view_bitmap,27,174.436,222617600,116,94,11
20000,scan_500_view_bitmap,28,167.582,222375936,118,95,11
20000,scan_500_view_bitmap,29,174.639,220512256,120,97,11
20000,scan_500_view_bitmap,30,221.177,217616384,123,99,12
20000,search_details_100,0,11.084,219131904,123,99,12
20000,local_sale_transaction_no_network,0,82.603,220225536,123,99,12
20000,daily_csv_1_to_31_sales,0,8.273,220233728,123,99,12
20000,search_details_100,1,6.635,220364800,123,99,12
20000,local_sale_transaction_no_network,1,5.535,220495872,123,99,12
20000,daily_csv_1_to_31_sales,1,0.825,220626944,123,99,12
20000,search_details_100,2,6.048,220758016,124,100,12
20000,local_sale_transaction_no_network,2,6.004,217600000,124,100,12
20000,daily_csv_1_to_31_sales,2,2.869,212115456,124,100,12
20000,search_details_100,3,6.390,200753152,124,100,12
20000,local_sale_transaction_no_network,3,5.916,200835072,124,100,12
20000,daily_csv_1_to_31_sales,3,2.635,200835072,124,100,12
20000,search_details_100,4,6.025,200896512,124,100,12
20000,local_sale_transaction_no_network,4,5.208,200896512,124,100,12
20000,daily_csv_1_to_31_sales,4,2.665,200896512,124,100,12
20000,search_details_100,5,6.279,200896512,124,100,12
