products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
20000,0,1804.030,0.669,10.039,9.268,94.744
20000,1,75.242,0.966,1652.546,0.714,124.859
20000,2,11.517,1.072,3.280,0.695,117.369
20000,3,116.003,1.234,3.539,0.843,148.583
20000,4,41.048,1.197,3.640,0.884,123.429
20000,5,56.879,0.983,3.729,12.204,99.200
20000,6,59.037,1.005,3.389,0.672,114.267
20000,7,60.688,1.018,3.318,10.709,97.804
20000,8,26.990,1.136,2.749,0.723,120.275
20000,9,38.595,1.114,3.209,0.715,121.144
20000,10,55.743,1.568,2.957,11.064,95.163
20000,11,61.132,1.122,3.056,0.694,110.067
20000,12,56.629,1.835,4.132,11.451,94.146
20000,13,55.070,0.999,3.080,0.697,114.104
20000,14,57.688,1.146,3.726,11.615,91.830
20000,15,57.694,1.163,2.853,0.677,113.008
20000,16,57.317,0.966,3.031,11.532,93.440
20000,17,54.689,0.985,4.083,0.738,106.757
20000,18,55.659,1.011,2.917,12.534,98.087
20000,19,58.828,1.014,3.321,0.875,118.058
20000,20,57.800,1.004,2.759,11.089,93.836
20000,21,56.647,1.146,3.785,0.694,112.397
20000,22,57.990,1.492,3.000,1.078,157.074
20000,23,57.005,1.019,3.286,0.692,114.921
20000,24,63.437,1.110,2.716,9.930,93.534
20000,25,58.008,0.973,4.361,0.734,113.278
20000,26,59.922,1.006,3.318,10.528,91.877
20000,27,56.662,1.371,2.870,0.692,112.827
20000,28,59.137,1.023,2.897,10.700,93.813
20000,29,58.348,1.366,3.343,0.752,110.815
20000,30,56.345,1.096,2.822,0.796,160.106
