products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
20000,1,scan,0,50.743,34607104,8,7,1,3.021,2,2,0
20000,1,scan,1,1.007,34607104,8,7,1,0.134,2,2,0
20000,1,scan,2,0.908,34611200,8,7,1,0.217,2,2,0
20000,1,scan,3,0.733,34611200,8,7,1,0.079,2,2,0
20000,1,scan,4,0.824,34611200,8,7,1,0.182,2,2,0
20000,1,scan,5,0.797,34611200,8,7,1,0.068,2,2,0
20000,1,scan,6,0.877,34611200,8,7,1,0.064,2,2,0
20000,1,scan,7,0.807,34611200,8,7,1,0.085,2,2,0
20000,1,scan,8,0.619,34611200,8,7,1,0.059,2,2,0
20000,1,scan,9,0.889,34611200,8,7,1,0.134,2,2,0
20000,1,scan,10,0.741,34611200,8,7,1,0.057,2,2,0
20000,1,scan,11,1.149,34611200,8,7,1,0.122,2,2,0
20000,1,scan,12,0.795,34611200,8,7,1,0.053,2,2,0
20000,1,scan,13,0.851,34611200,8,7,1,0.125,2,2,0
20000,1,scan,14,0.631,34611200,8,7,1,0.055,2,2,0
20000,1,scan,15,0.704,34611200,8,7,1,0.156,2,2,0
20000,1,scan,16,0.833,34611200,8,7,1,0.085,2,2,0
20000,1,scan,17,0.864,34611200,8,7,1,0.066,2,2,0
20000,1,scan,18,0.668,34611200,8,7,1,0.069,2,2,0
20000,1,scan,19,0.801,34611200,8,7,1,0.059,2,2,0
20000,1,scan,20,0.789,34611200,8,7,1,0.084,2,2,0
20000,1,scan,21,0.651,34611200,8,7,1,0.054,2,2,0
20000,1,scan,22,0.905,34611200,8,7,1,0.107,2,2,0
20000,1,scan,23,0.814,34611200,8,7,1,0.097,2,2,0
20000,1,scan,24,0.972,34611200,8,7,1,0.149,2,2,0
20000,1,scan,25,0.774,34611200,8,7,1,0.065,2,2,0
20000,1,scan,26,0.932,34611200,8,7,1,0.104,2,2,0
20000,1,scan,27,0.829,34611200,8,7,1,0.078,2,2,0
20000,1,scan,28,2.497,34611200,9,8,1,0.136,2,2,0
20000,1,scan,29,0.764,34611200,9,8,1,0.057,2,2,0
20000,1,scan,30,0.906,34611200,9,8,1,0.120,2,2,0
20000,10,scan,0,0.806,34611200,9,8,1,0.063,2,2,0
20000,10,scan,1,0.927,34611200,9,8,1,0.110,2,2,0
20000,10,scan,2,0.783,34611200,9,8,1,0.045,2,2,0
20000,10,scan,3,0.904,34611200,9,8,1,0.084,2,2,0
20000,10,scan,4,0.882,34611200,9,8,1,0.064,2,2,0
20000,10,scan,5,0.923,34611200,9,8,1,0.096,2,2,0
20000,10,scan,6,0.739,34611200,9,8,1,0.062,2,2,0
20000,10,scan,7,0.815,34611200,9,8,1,0.102,2,2,0
20000,10,scan,8,0.776,34611200,9,8,1,0.055,2,2,0
20000,10,scan,9,0.791,34611200,9,8,1,0.069,2,2,0
20000,10,scan,10,0.910,34611200,9,8,1,0.097,2,2,0
20000,10,scan,11,0.888,34611200,9,8,1,0.062,2,2,0
20000,10,scan,12,0.926,34611200,9,8,1,0.088,2,2,0
20000,10,scan,13,0.828,34611200,9,8,1,0.055,2,2,0
20000,10,scan,14,1.032,34611200,9,8,1,0.125,2,2,0
20000,10,scan,15,0.727,34611200,9,8,1,0.055,2,2,0
20000,10,scan,16,0.999,34611200,9,8,1,0.117,2,2,0
20000,10,scan,17,0.760,34611200,9,8,1,0.055,2,2,0
20000,10,scan,18,1.151,34611200,9,8,1,0.103,2,2,0
20000,10,scan,19,0.794,34611200,9,8,1,0.056,2,2,0
20000,10,scan,20,0.922,34611200,9,8,1,0.106,2,2,0
20000,10,scan,21,0.705,34611200,9,8,1,0.061,2,2,0
20000,10,scan,22,1.114,34611200,9,8,1,0.119,2,2,0
20000,10,scan,23,0.801,34611200,9,8,1,0.057,2,2,0
20000,10,scan,24,0.806,34611200,9,8,1,0.066,2,2,0
20000,10,scan,25,0.766,34611200,9,8,1,0.064,2,2,0
20000,10,scan,26,1.058,34611200,9,8,1,0.056,2,2,0
20000,10,scan,27,0.900,34611200,9,8,1,0.064,2,2,0
20000,10,scan,28,0.884,34611200,9,8,1,0.060,2,2,0
20000,10,scan,29,0.965,34611200,9,8,1,0.097,2,2,0
20000,10,scan,30,0.900,34611200,9,8,1,0.059,2,2,0
20000,50,scan,0,1.220,34611200,9,8,1,0.101,2,2,0
20000,50,scan,1,1.340,34611200,9,8,1,0.047,2,2,0
20000,50,scan,2,1.207,34611200,9,8,1,0.072,2,2,0
20000,50,scan,3,1.297,34611200,9,8,1,0.059,2,2,0
20000,50,scan,4,1.512,34611200,9,8,1,0.075,2,2,0
20000,50,scan,5,1.268,34746368,9,8,1,0.114,2,2,0
20000,50,scan,6,1.063,34942976,9,8,1,0.053,2,2,0
20000,50,scan,7,1.227,35074048,9,8,1,0.094,2,2,0
20000,50,scan,8,1.110,35270656,9,8,1,0.055,2,2,0
20000,50,scan,9,1.465,35401728,10,9,1,0.124,2,2,0
20000,50,scan,10,1.192,35467264,10,9,1,0.063,2,2,0
20000,50,scan,11,1.199,35467264,10,9,1,0.069,2,2,0
20000,50,scan,12,1.217,35467264,10,9,1,0.088,2,2,0
20000,50,scan,13,1.125,35467264,10,9,1,0.072,2,2,0
20000,50,scan,14,1.179,35467264,10,9,1,0.138,2,2,0
20000,50,scan,15,1.097,35467264,10,9,1,0.073,2,2,0
20000,50,scan,16,1.169,35467264,10,9,1,0.096,2,2,0
20000,50,scan,17,1.339,35467264,10,9,1,0.054,2,2,0
20000,50,scan,18,1.226,35467264,10,9,1,0.102,2,2,0
20000,50,scan,19,1.051,35467264,10,9,1,0.059,2,2,0
20000,50,scan,20,1.250,35467264,10,9,1,0.085,2,2,0
20000,50,scan,21,1.074,35467264,10,9,1,0.056,2,2,0
20000,50,scan,22,1.139,35467264,10,9,1,0.092,2,2,0
20000,50,scan,23,1.360,35467264,10,9,1,0.060,2,2,0
20000,50,scan,24,1.157,35467264,10,9,1,0.101,2,2,0
20000,50,scan,25,1.113,35467264,10,9,1,0.048,2,2,0
20000,50,scan,26,1.161,35467264,10,9,1,0.092,2,2,0
20000,50,scan,27,1.215,35467264,10,9,1,0.046,2,2,0
20000,50,scan,28,1.247,35467264,10,9,1,0.121,2,2,0
20000,50,scan,29,1.137,35467264,10,9,1,0.063,2,2,0
20000,50,scan,30,1.259,35467264,10,9,1,0.094,2,2,0
20000,100,scan,0,1.473,35467264,10,9,1,0.062,2,2,0
20000,100,scan,1,1.698,35467264,10,9,1,0.132,2,2,0
20000,100,scan,2,1.815,35467264,10,9,1,0.057,2,2,0
20000,100,scan,3,1.642,35467264,10,9,1,0.078,2,2,0
20000,100,scan,4,1.572,35467264,10,9,1,0.095,2,2,0
20000,100,scan,5,1.453,35467264,10,9,1,0.059,2,2,0
20000,100,scan,6,2.223,35467264,11,10,1,0.101,2,2,0
20000,100,scan,7,1.571,35467264,11,10,1,0.056,2,2,0
20000,100,scan,8,1.668,35467264,11,10,1,0.099,2,2,0
20000,100,scan,9,1.687,35467264,11,10,1,0.055,2,2,0
20000,100,scan,10,1.458,35467264,11,10,1,0.062,2,2,0
20000,100,scan,11,1.502,35467264,11,10,1,0.108,2,2,0
20000,100,scan,12,1.442,35467264,11,10,1,0.057,2,2,0
