products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
20000,0,Rows,2.146,252833792,107747176,665,24,48,42,155,128,13,0.384,27,0,0,1851.345,112.363
20000,0,Rows,3.959,267038720,107159404,662,26,48,42,172,143,14,0.188,30,0,0,75.868,1722.508
20000,0,Rows,4.204,281038848,107460576,663,28,48,43,175,146,15,0.241,29,0,0,84.985,155.830
20000,0,Rows,4.344,281350144,108025072,663,30,45,43,176,147,15,0.186,23,0,0,7.993,127.978
20000,0,Rows,4.521,279977984,110831124,663,28,45,43,177,148,15,0.626,21,0,0,42.717,130.250
20000,0,Rows,4.732,279515136,107459492,663,29,45,43,180,150,16,0.183,21,0,0,63.555,142.416
20000,0,Rows,4.927,284307456,108772064,663,30,45,43,182,152,16,0.182,21,0,0,63.700,127.153
20000,0,Rows,5.118,284266496,107461312,663,32,45,43,184,154,17,0.793,21,0,0,44.004,142.771
20000,0,Rows,5.308,281247744,110638868,663,34,45,43,186,156,17,0.202,21,0,0,62.919,122.894
20000,0,Rows,5.532,280952832,107557668,663,36,45,43,189,159,18,0.167,21,0,0,59.642,160.378
20000,0,Grid,6.020,284422144,109220724,666,40,45,43,195,161,18,0.173,20,500,0,158.818,130.076
20000,0,Grid,6.224,298668032,107761260,666,42,45,43,197,163,19,0.187,19,500,0,43.238,157.126
20000,0,Grid,6.423,297517056,107618376,666,44,45,43,200,165,20,0.187,19,500,0,62.235,133.109
20000,0,Grid,6.616,298078208,109456952,666,26,45,43,202,167,20,0.184,19,500,0,62.139,126.296
20000,0,Grid,6.838,298340352,108468208,666,28,45,43,205,170,21,0.193,19,500,0,61.578,156.207
20000,0,Grid,7.000,283713536,110865984,666,30,45,43,206,171,21,0.253,19,500,0,39.983,116.258
20000,0,Grid,7.169,298184704,111758788,666,32,45,43,208,172,21,0.181,19,500,0,60.701,104.416
20000,0,Grid,7.345,286494720,112333344,666,34,45,43,210,173,21,0.181,19,500,0,60.320,111.729
20000,0,Grid,7.524,298344448,113049184,666,36,45,43,212,174,21,0.186,19,500,0,65.274,109.666
20000,0,Grid,7.700,299368448,113550680,666,38,45,43,214,175,21,0.186,19,500,0,61.173,110.548
20000,0,before_idle,9.240,319078400,108830700,711,32,47,43,231,191,22,0.076,45,500,0,0.000,0.000
20000,0,after_idle,29.265,302362624,109575648,704,28,45,42,467,426,22,0.113,35,500,0,0.000,0.000
20000,1,Rows,31.599,361734144,168807248,713,29,45,43,495,454,22,0.184,1085,500,0,81.761,241.268
20000,1,Rows,31.703,353427456,174099060,713,30,45,43,495,454,22,0.169,808,500,0,7.445,92.749
20000,1,Rows,33.651,366530560,113574608,680,27,45,43,513,468,24,0.305,51,500,0,1789.295,155.382
20000,1,Rows,33.859,367144960,111558628,681,28,45,44,515,470,24,0.188,44,500,0,64.157,136.071
20000,1,Rows,34.028,369135616,114179572,681,30,45,44,516,471,24,0.192,44,500,0,39.984,125.355
20000,1,Rows,34.238,367894528,111622348,681,32,45,44,519,473,25,0.194,44,500,0,64.019,142.191
20000,1,Rows,34.434,368443392,111269960,681,34,45,44,521,475,25,1.324,44,500,0,65.563,122.788
20000,1,Rows,34.597,369037312,113859760,681,36,45,44,522,476,25,0.172,44,500,0,41.463,117.235
20000,1,Rows,34.804,368631808,112523040,681,38,45,44,525,478,26,0.189,44,500,0,62.010,140.906
20000,1,Rows,34.996,355631104,111542208,681,40,45,44,527,480,26,0.182,44,500,0,64.850,121.122
20000,1,Grid,35.315,367472640,110563396,681,44,45,44,531,483,27,0.195,43,500,0,152.328,139.127
20000,1,Grid,35.505,368099328,112257696,681,46,45,44,533,485,27,0.183,42,500,0,62.984,119.922
20000,1,Grid,35.685,368885760,110564100,681,28,45,44,535,487,28,0.237,42,500,0,63.570,111.921
20000,1,Grid,35.855,368508928,114038348,681,30,45,44,537,488,28,0.183,42,500,0,60.852,102.933
20000,1,Grid,36.054,367685632,112480336,681,32,45,44,540,490,29,0.194,42,500,0,61.068,134.089
20000,1,Grid,36.241,367656960,112078120,681,34,45,44,542,492,29,0.184,42,500,0,66.426,114.655
20000,1,Grid,36.463,368173056,117100928,681,36,45,44,545,495,30,0.192,42,500,0,63.272,154.307
20000,1,Grid,36.624,369299456,113458840,681,38,45,44,546,496,30,0.173,42,500,0,41.573,115.955
20000,1,Grid,36.827,358051840,111553496,681,40,45,44,549,498,31,0.193,42,500,0,61.644,137.463
20000,1,Grid,37.019,368447488,111556468,681,42,45,44,551,500,31,0.199,42,500,0,63.851,120.684
20000,1,before_idle,38.448,385744896,112471524,719,32,47,44,565,513,32,0.093,68,500,0,0.000,0.000
20000,1,after_idle,58.504,370520064,112134712,708,28,43,37,800,748,32,0.038,58,500,0,0.000,0.000
20000,2,Rows,60.927,370839552,173327208,713,29,43,37,829,777,32,0.201,1095,500,0,83.977,247.061
20000,2,Rows,61.047,383033344,172657284,713,30,43,37,830,778,32,0.169,728,500,0,8.937,107.515
20000,2,Rows,63.051,383426560,114612552,665,29,43,37,848,790,35,0.222,74,500,0,1843.802,157.272
20000,2,Rows,63.258,384000000,116480616,666,29,43,38,850,791,35,0.275,67,500,0,74.588,124.383
20000,2,Rows,63.483,384143360,114548532,666,30,43,38,853,793,36,0.220,67,500,0,66.919,153.999
20000,2,Rows,63.687,373428224,113901952,666,32,43,38,855,795,36,0.185,67,500,0,69.302,127.594
20000,2,Rows,63.857,383840256,116505256,666,34,43,38,856,796,36,0.173,67,500,0,42.522,123.741
20000,2,Rows,64.071,384131072,115971976,666,36,43,38,859,798,37,0.189,67,500,0,64.580,145.392
20000,2,Rows,64.269,384147456,114162416,666,38,43,38,861,800,37,0.199,67,500,0,68.016,123.155
20000,2,Rows,64.431,384430080,116711628,666,40,43,38,862,801,37,0.175,67,500,0,41.143,117.560
20000,2,Grid,64.779,384782336,115118200,666,44,43,38,867,804,38,0.196,66,500,0,173.056,147.044
20000,2,Grid,64.988,385069056,114155704,666,46,43,38,869,806,38,0.193,66,500,0,72.613,130.458
20000,2,Grid,65.160,385351680,116918832,666,28,44,38,870,807,38,0.205,66,500,0,44.382,123.900
20000,2,Grid,65.376,386060288,118591516,666,30,43,38,873,809,39,0.376,66,500,0,68.015,143.754
20000,2,Grid,65.579,385490944,114493736,666,32,43,38,875,811,39,0.221,65,500,0,72.468,124.105
20000,2,Grid,65.770,386363392,113211680,666,34,43,38,877,813,40,0.278,65,500,0,66.068,121.519
20000,2,Grid,65.963,385794048,116734512,666,36,43,38,879,814,40,0.215,65,500,0,67.687,115.276
20000,2,Grid,66.184,386506752,114060276,666,38,43,38,882,816,41,0.232,65,500,0,66.832,150.630
20000,2,Grid,66.386,385937408,114661204,666,40,43,38,884,818,41,0.232,65,500,0,67.793,127.698
20000,2,Grid,66.592,386293760,114598800,666,42,43,38,887,821,42,0.220,65,500,0,68.650,134.066
20000,2,before_idle,67.996,399704064,115525112,720,32,45,38,901,834,43,0.095,91,500,0,0.000,0.000
20000,2,after_idle,88.013,381542400,113604632,704,28,43,37,1125,1058,43,0.122,81,500,0,0.000,0.000
