products,operation,sample,ms,private_bytes,gc0,gc1,gc2
20000,pos_view_entry_first_in_process,0,339.769,113602560,17,16,2
20000,scan_500_view_bitmap,0,1819.280,180592640,46,42,6
20000,scan_500_view_bitmap,1,1820.524,193585152,64,57,8
20000,scan_500_view_bitmap,2,160.219,194883584,67,58,8
20000,scan_500_view_bitmap,3,261.657,207269888,70,61,9
20000,scan_500_view_bitmap,4,172.565,211574784,71,62,9
20000,scan_500_view_bitmap,5,166.301,208650240,73,63,9
20000,scan_500_view_bitmap,6,168.251,214757376,75,64,9
20000,scan_500_view_bitmap,7,164.346,209977344,77,65,9
20000,scan_500_view_bitmap,8,155.090,210313216,79,67,9
20000,scan_500_view_bitmap,9,170.348,210739200,81,68,9
20000,scan_500_view_bitmap,10,177.365,214417408,83,69,9
20000,scan_500_view_bitmap,11,163.546,215535616,85,70,9
20000,scan_500_view_bitmap,12,172.409,216539136,87,72,9
20000,scan_500_view_bitmap,13,176.317,218624000,89,73,9
20000,scan_500_view_bitmap,14,172.112,212512768,91,75,9
20000,scan_500_view_bitmap,15,165.542,220250112,93,76,9
20000,scan_500_view_bitmap,16,176.884,220147712,95,78,9
20000,scan_500_view_bitmap,17,173.489,214487040,97,80,9
20000,scan_500_view_bitmap,18,168.267,220368896,99,82,9
20000,scan_500_view_bitmap,19,224.189,220237824,102,85,10
20000,scan_500_view_bitmap,20,190.030,223256576,104,87,10
20000,scan_500_view_bitmap,21,164.314,221753344,105,88,10
20000,scan_500_view_bitmap,22,224.552,220741632,108,90,11
20000,scan_500_view_bitmap,23,189.856,219226112,110,92,11
20000,scan_500_view_bitmap,24,157.280,218284032,111,93,11
20000,scan_500_view_bitmap,25,165.419,218841088,113,94,11
20000,scan_500_view_bitmap,26,173.546,218480640,115,96,11
20000,scan_500_view_bitmap,27,216.672,218021888,118,98,12
20000,scan_500_view_bitmap,28,176.136,216465408,120,99,12
20000,scan_500_view_bitmap,29,168.683,216608768,122,100,12
20000,scan_500_view_bitmap,30,171.158,216473600,124,102,12
20000,search_details_100,0,12.261,218087424,124,102,12
20000,local_sale_transaction_no_network,0,109.149,215883776,125,103,12
20000,daily_csv_1_to_31_sales,0,8.732,215891968,125,103,12
20000,search_details_100,1,7.283,215891968,125,103,12
20000,local_sale_transaction_no_network,1,5.932,215891968,125,103,12
20000,daily_csv_1_to_31_sales,1,0.612,215891968,125,103,12
20000,search_details_100,2,6.085,215891968,125,103,12
20000,local_sale_transaction_no_network,2,5.458,215891968,125,103,12
20000,daily_csv_1_to_31_sales,2,3.363,213110784,125,103,12
20000,search_details_100,3,6.629,200110080,125,103,12
20000,local_sale_transaction_no_network,3,6.327,200187904,125,103,12
20000,daily_csv_1_to_31_sales,3,2.902,200187904,125,103,12
20000,search_details_100,4,6.699,200187904,125,103,12
20000,local_sale_transaction_no_network,4,5.033,200187904,125,103,12
20000,daily_csv_1_to_31_sales,4,2.763,200187904,125,103,12
20000,search_details_100,5,6.367,200187904,125,103,12
20000,local_sale_transaction_no_network,5,5.806,200187904,125,103,12
20000,daily_csv_1_to_31_sales,5,0.647,200187904,125,103,12
20000,search_details_100,6,6.055,200187904,125,103,12
20000,local_sale_transaction_no_network,6,5.513,200187904,125,103,12
20000,daily_csv_1_to_31_sales,6,3.138,200187904,125,103,12
20000,search_details_100,7,6.602,200187904,125,103,12
20000,local_sale_transaction_no_network,7,5.885,200187904,125,103,12
20000,daily_csv_1_to_31_sales,7,3.348,200187904,125,103,12
20000,search_details_100,8,7.629,200187904,125,103,12
20000,local_sale_transaction_no_network,8,4.921,200187904,125,103,12
