products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
20000,0,1712.871,0.698,9.623,9.290,86.786
20000,1,66.923,1.003,1635.299,0.679,116.607
20000,2,28.583,0.935,3.979,2.128,124.580
20000,3,125.575,0.997,3.066,0.684,131.321
20000,4,40.982,1.079,3.890,0.708,125.892
20000,5,57.280,0.951,3.466,10.905,93.686
20000,6,54.335,0.990,3.397,0.724,108.791
20000,7,59.529,1.035,3.625,10.490,89.652
20000,8,29.195,1.064,3.440,0.737,120.641
20000,9,58.895,1.756,3.280,8.990,97.414
20000,10,58.961,1.034,3.056,0.757,113.544
20000,11,54.986,1.006,3.027,10.562,93.953
20000,12,56.053,1.303,3.472,0.923,110.645
20000,13,57.558,0.985,3.341,10.786,103.634
20000,14,54.110,0.964,4.014,0.690,112.322
20000,15,56.154,1.025,2.957,11.267,94.127
20000,16,58.576,1.077,3.360,0.965,112.892
20000,17,62.637,0.966,4.238,12.423,93.212
20000,18,54.155,1.377,3.359,0.680,108.682
20000,19,56.164,1.007,3.463,0.809,162.710
20000,20,59.107,1.009,2.645,0.712,126.542
20000,21,37.879,1.312,3.227,0.698,121.186
20000,22,59.035,1.093,3.135,0.804,160.473
20000,23,64.466,1.079,3.117,0.692,120.484
20000,24,36.105,1.110,4.333,0.725,114.994
20000,25,55.799,1.215,3.185,11.812,93.395
20000,26,58.976,1.155,2.906,0.679,109.816
20000,27,56.078,1.031,3.261,0.835,155.454
20000,28,60.018,0.992,3.209,0.703,111.200
20000,29,59.361,1.380,3.134,10.436,94.358
20000,30,56.289,1.017,3.254,0.715,109.870
