products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
100000,1,scan,0,60.907,34791424,8,7,1,3.276,2,2,0
100000,1,scan,1,0.997,34791424,8,7,1,0.146,2,2,0
100000,1,scan,2,1.135,34791424,8,7,1,0.064,2,2,0
100000,1,scan,3,0.831,34791424,8,7,1,0.084,2,2,0
100000,1,scan,4,0.960,34791424,8,7,1,0.088,2,2,0
100000,1,scan,5,0.790,34791424,8,7,1,0.085,2,2,0
100000,1,scan,6,0.891,34791424,8,7,1,0.091,2,2,0
100000,1,scan,7,0.748,34791424,8,7,1,0.088,2,2,0
100000,1,scan,8,0.831,34791424,8,7,1,0.074,2,2,0
100000,1,scan,9,0.846,34791424,8,7,1,0.114,2,2,0
100000,1,scan,10,0.953,34791424,8,7,1,0.078,2,2,0
100000,1,scan,11,1.433,34791424,8,7,1,0.074,2,2,0
100000,1,scan,12,1.130,34791424,8,7,1,0.112,2,2,0
100000,1,scan,13,0.714,34791424,8,7,1,0.065,2,2,0
100000,1,scan,14,0.757,34791424,8,7,1,0.092,2,2,0
100000,1,scan,15,0.652,34791424,8,7,1,0.067,2,2,0
100000,1,scan,16,1.350,34791424,8,7,1,0.094,2,2,0
100000,1,scan,17,0.774,34791424,8,7,1,0.072,2,2,0
100000,1,scan,18,1.005,34791424,8,7,1,0.085,2,2,0
100000,1,scan,19,0.787,34791424,8,7,1,0.075,2,2,0
100000,1,scan,20,0.879,34791424,8,7,1,0.069,2,2,0
100000,1,scan,21,0.859,34791424,8,7,1,0.100,2,2,0
100000,1,scan,22,0.794,34791424,8,7,1,0.053,2,2,0
100000,1,scan,23,0.924,34791424,8,7,1,0.130,2,2,0
100000,1,scan,24,0.680,34791424,8,7,1,0.065,2,2,0
100000,1,scan,25,0.896,34791424,8,7,1,0.097,2,2,0
100000,1,scan,26,0.669,34791424,8,7,1,0.061,2,2,0
100000,1,scan,27,0.846,34791424,9,8,1,0.132,2,2,0
100000,1,scan,28,1.226,34791424,9,8,1,0.161,2,2,0
100000,1,scan,29,0.850,34791424,9,8,1,0.072,2,2,0
100000,1,scan,30,1.463,34791424,9,8,1,0.093,2,2,0
100000,10,scan,0,0.914,34791424,9,8,1,0.070,2,2,0
100000,10,scan,1,0.991,34795520,9,8,1,0.101,2,2,0
100000,10,scan,2,0.784,34795520,9,8,1,0.065,2,2,0
100000,10,scan,3,1.143,34795520,9,8,1,0.121,2,2,0
100000,10,scan,4,0.779,34795520,9,8,1,0.064,2,2,0
100000,10,scan,5,0.908,34795520,9,8,1,0.118,2,2,0
100000,10,scan,6,0.838,34795520,9,8,1,0.072,2,2,0
100000,10,scan,7,0.931,34795520,9,8,1,0.108,2,2,0
100000,10,scan,8,0.819,34795520,9,8,1,0.058,2,2,0
100000,10,scan,9,0.947,34795520,9,8,1,0.139,2,2,0
100000,10,scan,10,0.893,34795520,9,8,1,0.069,2,2,0
100000,10,scan,11,0.907,34795520,9,8,1,0.234,2,2,0
100000,10,scan,12,0.888,34795520,9,8,1,0.071,2,2,0
100000,10,scan,13,0.814,34795520,9,8,1,0.069,2,2,0
100000,10,scan,14,0.975,34795520,9,8,1,0.086,2,2,0
100000,10,scan,15,1.154,34795520,9,8,1,0.068,2,2,0
100000,10,scan,16,0.900,34795520,9,8,1,0.082,2,2,0
100000,10,scan,17,0.974,34795520,9,8,1,0.067,2,2,0
100000,10,scan,18,1.083,34795520,9,8,1,0.121,2,2,0
100000,10,scan,19,1.003,34795520,9,8,1,0.062,2,2,0
100000,10,scan,20,0.994,34795520,9,8,1,0.094,2,2,0
100000,10,scan,21,0.827,34795520,9,8,1,0.059,2,2,0
100000,10,scan,22,0.994,34795520,9,8,1,0.107,2,2,0
100000,10,scan,23,0.924,34795520,9,8,1,0.048,2,2,0
100000,10,scan,24,1.000,34795520,9,8,1,0.120,2,2,0
100000,10,scan,25,0.892,34795520,9,8,1,0.063,2,2,0
100000,10,scan,26,1.028,34795520,9,8,1,0.127,2,2,0
100000,10,scan,27,0.820,34795520,9,8,1,0.058,2,2,0
100000,10,scan,28,1.003,34795520,9,8,1,0.117,2,2,0
100000,10,scan,29,0.901,34795520,9,8,1,0.068,2,2,0
100000,10,scan,30,1.142,34795520,9,8,1,0.095,2,2,0
100000,50,scan,0,1.063,34795520,9,8,1,0.066,2,2,0
100000,50,scan,1,1.378,34795520,9,8,1,0.124,2,2,0
100000,50,scan,2,1.079,34795520,9,8,1,0.062,2,2,0
100000,50,scan,3,1.273,34795520,9,8,1,0.101,2,2,0
100000,50,scan,4,1.166,34992128,9,8,1,0.050,2,2,0
100000,50,scan,5,1.353,35188736,9,8,1,0.092,2,2,0
100000,50,scan,6,1.244,35319808,9,8,1,0.062,2,2,0
100000,50,scan,7,1.347,35516416,9,8,1,0.081,2,2,0
100000,50,scan,8,3.447,35647488,10,9,1,0.114,2,2,0
100000,50,scan,9,1.157,35647488,10,9,1,0.065,2,2,0
100000,50,scan,10,1.326,35647488,10,9,1,0.110,2,2,0
100000,50,scan,11,1.398,35647488,10,9,1,0.064,2,2,0
100000,50,scan,12,1.254,35647488,10,9,1,0.076,2,2,0
100000,50,scan,13,1.292,35647488,10,9,1,0.063,2,2,0
100000,50,scan,14,1.267,35647488,10,9,1,0.074,2,2,0
100000,50,scan,15,1.306,35647488,10,9,1,0.107,2,2,0
100000,50,scan,16,1.114,35647488,10,9,1,0.064,2,2,0
100000,50,scan,17,1.300,35647488,10,9,1,0.110,2,2,0
100000,50,scan,18,1.077,35647488,10,9,1,0.064,2,2,0
100000,50,scan,19,1.591,35647488,10,9,1,0.126,2,2,0
100000,50,scan,20,1.222,35647488,10,9,1,0.064,2,2,0
100000,50,scan,21,1.276,35647488,10,9,1,0.132,2,2,0
100000,50,scan,22,1.312,35647488,10,9,1,0.047,2,2,0
100000,50,scan,23,1.339,35647488,10,9,1,0.104,2,2,0
100000,50,scan,24,1.171,35647488,10,9,1,0.064,2,2,0
100000,50,scan,25,1.262,35647488,10,9,1,0.083,2,2,0
100000,50,scan,26,1.202,35647488,10,9,1,0.108,2,2,0
100000,50,scan,27,1.132,35647488,10,9,1,0.066,2,2,0
100000,50,scan,28,1.306,35647488,10,9,1,0.129,2,2,0
100000,50,scan,29,1.243,35647488,10,9,1,0.067,2,2,0
100000,50,scan,30,1.338,35647488,10,9,1,0.122,2,2,0
100000,100,scan,0,1.561,35647488,10,9,1,0.068,2,2,0
100000,100,scan,1,1.787,35647488,10,9,1,0.118,2,2,0
100000,100,scan,2,1.781,35647488,10,9,1,0.163,2,2,0
100000,100,scan,3,1.699,35647488,10,9,1,0.063,2,2,0
100000,100,scan,4,2.498,35647488,11,10,1,0.130,2,2,0
100000,100,scan,5,2.365,35647488,11,10,1,0.113,2,2,0
100000,100,scan,6,1.688,35647488,11,10,1,0.073,2,2,0
100000,100,scan,7,1.741,35647488,11,10,1,0.102,2,2,0
100000,100,scan,8,1.987,35647488,11,10,1,0.056,2,2,0
100000,100,scan,9,1.644,35647488,11,10,1,0.070,2,2,0
100000,100,scan,10,1.770,35647488,11,10,1,0.159,2,2,0
100000,100,scan,11,1.549,35647488,11,10,1,0.063,2,2,0
100000,100,scan,12,1.736,35647488,11,10,1,0.097,2,2,0
100000,100,scan,13,1.958,35647488,11,10,1,0.053,2,2,0
100000,100,scan,14,1.636,35647488,11,10,1,0.083,2,2,0
100000,100,scan,15,1.779,35647488,11,10,1,0.113,2,2,0
100000,100,scan,16,1.677,35647488,11,10,1,0.064,2,2,0
100000,100,scan,17,1.807,35647488,11,10,1,0.128,2,2,0
100000,100,scan,18,1.717,35647488,11,10,1,0.059,2,2,0
100000,100,scan,19,1.782,35647488,11,10,1,0.088,2,2,0
100000,100,scan,20,1.732,35647488,11,10,1,0.124,2,2,0
100000,100,scan,21,1.599,35647488,11,10,1,0.061,2,2,0
100000,100,scan,22,1.868,35647488,11,10,1,0.135,2,2,0
100000,100,scan,23,1.672,35647488,11,10,1,0.061,2,2,0
100000,100,scan,24,1.691,35647488,11,10,1,0.081,2,2,0
100000,100,scan,25,2.000,35647488,11,10,1,0.118,2,2,0
100000,100,scan,26,2.168,35647488,12,11,1,0.062,2,2,0
100000,100,scan,27,1.727,35647488,12,11,1,0.098,2,2,0
100000,100,scan,28,1.926,35647488,12,11,1,0.104,2,2,0
100000,100,scan,29,1.577,35647488,12,11,1,0.062,2,2,0
100000,100,scan,30,1.730,35647488,12,11,1,0.115,2,2,0
100000,500,scan,0,6.959,35647488,12,11,1,0.105,2,2,0
100000,500,scan,1,7.113,35647488,12,11,1,0.129,2,2,0
100000,500,scan,2,6.974,35647488,12,11,1,0.132,2,2,0
100000,500,scan,3,6.993,35782656,12,11,1,0.083,2,2,0
100000,500,scan,4,6.584,35782656,12,11,1,0.119,2,2,0
100000,500,scan,5,7.363,35782656,13,12,1,0.102,2,2,0
100000,500,scan,6,7.993,35782656,13,12,1,0.074,2,2,0
100000,500,scan,7,6.628,35782656,13,12,1,0.103,2,2,0
100000,500,scan,8,6.716,35782656,13,12,1,0.126,2,2,0
100000,500,scan,9,6.807,35782656,13,12,1,0.079,2,2,0
100000,500,scan,10,6.857,35782656,13,12,1,0.074,2,2,0
100000,500,scan,11,7.809,35782656,13,12,1,0.075,2,2,0
100000,500,scan,12,6.889,35782656,13,12,1,0.117,2,2,0
100000,500,scan,13,8.514,35782656,14,13,1,0.118,2,2,0
100000,500,scan,14,8.008,35782656,14,13,1,0.081,2,2,0
100000,500,scan,15,6.970,35782656,14,13,1,0.138,2,2,0
100000,500,scan,16,6.854,35782656,14,13,1,0.085,2,2,0
100000,500,scan,17,7.062,35782656,14,13,1,0.088,2,2,0
100000,500,scan,18,6.873,35782656,14,13,1,0.128,2,2,0
100000,500,scan,19,6.759,35782656,14,13,1,0.083,2,2,0
100000,500,scan,20,6.961,35782656,14,13,1,0.073,2,2,0
100000,500,scan,21,10.301,35782656,15,14,2,0.069,2,2,0
100000,500,scan,22,7.020,35782656,15,14,2,0.083,2,2,0
100000,500,scan,23,6.770,35782656,15,14,2,0.074,2,2,0
100000,500,scan,24,6.702,35782656,15,14,2,0.108,2,2,0
100000,500,scan,25,6.925,35782656,15,14,2,0.126,2,2,0
100000,500,scan,26,6.882,35782656,15,14,2,0.075,2,2,0
100000,500,scan,27,6.813,35782656,15,14,2,0.068,2,2,0
100000,500,scan,28,7.427,35782656,16,15,2,0.106,2,2,0
100000,500,scan,29,7.321,35782656,16,15,2,0.107,2,2,0
100000,500,scan,30,6.866,35782656,16,15,2,0.081,2,2,0
