products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
100000,0,Rows,2.531,256667648,103266788,674,24,50,42,159,126,13,0.418,31,0,0,2168.321,122.510
100000,0,Rows,4.623,197750784,61187028,671,25,49,42,177,141,17,0.356,33,0,0,63.043,2025.115
100000,0,Rows,4.750,201379840,62383528,672,26,49,43,178,142,17,0.170,29,0,0,10.239,112.352
100000,0,Rows,4.978,208252928,64537840,672,28,49,43,181,143,17,0.254,32,0,0,119.410,104.673
100000,0,Rows,5.170,210378752,64650856,672,30,46,43,183,144,17,0.201,26,0,0,67.165,120.858
100000,0,Rows,5.421,209182720,61807320,672,32,46,43,186,146,18,0.190,26,0,0,62.751,183.354
100000,0,Rows,5.621,211288064,61092164,672,34,46,43,188,148,18,0.194,26,0,0,62.222,134.203
100000,0,Rows,5.795,224006144,63665316,672,28,46,43,189,149,18,0.243,24,0,0,41.464,128.865
100000,0,Rows,5.966,224731136,64696472,672,29,46,43,191,150,18,0.201,24,0,0,64.205,102.564
100000,0,Rows,6.139,212762624,64920248,672,30,46,43,193,151,18,0.197,24,0,0,57.691,110.881
100000,0,Grid,6.644,225427456,64113708,675,34,46,43,199,153,19,0.177,23,500,0,186.524,112.065
100000,0,Grid,6.819,211570688,64409300,675,36,46,43,201,154,19,0.196,23,500,0,61.134,110.155
100000,0,Grid,6.987,225935360,65214184,675,38,46,43,203,155,19,0.199,22,500,0,57.035,107.828
100000,0,Grid,7.157,214802432,65558748,675,40,46,43,205,156,19,0.190,22,500,0,57.132,108.697
100000,0,Grid,7.328,226897920,66495000,675,42,46,43,207,157,19,0.224,22,500,0,59.771,106.806
100000,0,Grid,7.499,227524608,66908848,675,44,46,43,209,158,19,0.366,22,500,0,57.758,109.162
100000,0,Grid,7.668,228175872,67705088,675,26,46,43,211,159,19,0.219,22,500,0,61.594,102.209
100000,0,Grid,7.835,229052416,67982120,675,28,46,43,213,161,19,0.199,22,500,0,55.163,108.137
100000,0,Grid,8.044,229703680,62010844,675,30,46,43,217,164,20,0.195,22,500,0,54.040,150.671
100000,0,Grid,8.206,229703680,63702728,675,32,46,43,218,165,20,0.194,22,500,0,38.495,103.437
100000,0,before_idle,9.696,237113344,63347300,720,32,48,43,234,179,21,0.113,49,500,0,0.000,0.000
100000,0,after_idle,29.721,217022464,66872416,717,28,46,43,483,428,21,0.123,39,500,0,0.000,0.000
100000,1,Rows,32.055,287801344,114795384,694,27,46,44,512,456,22,0.237,1089,500,0,89.928,221.915
100000,1,Rows,32.169,289411072,114083304,694,28,46,44,513,457,22,0.239,875,500,0,7.711,102.721
100000,1,Rows,34.111,295981056,65100464,688,30,46,43,529,471,23,0.200,55,500,0,1767.445,170.330
100000,1,Rows,34.311,296136704,64515544,689,32,46,44,531,473,23,0.197,53,500,0,65.832,130.183
100000,1,Rows,34.470,286588928,67023248,689,30,46,44,532,474,23,0.342,48,500,0,37.352,118.181
100000,1,Rows,34.691,295677952,64519732,689,31,46,44,535,476,24,0.193,48,500,0,58.546,159.101
100000,1,Rows,34.849,296357888,66542576,689,32,46,44,536,477,24,0.187,48,500,0,38.257,115.701
100000,1,Rows,35.073,295477248,64536612,689,34,46,44,539,479,25,0.195,48,500,0,59.206,160.132
100000,1,Rows,35.254,296361984,64837504,689,36,46,44,541,481,25,0.189,48,500,0,56.806,121.128
100000,1,Rows,35.407,296734720,67197452,689,38,46,44,542,482,25,0.188,48,500,0,37.355,111.568
100000,1,Grid,35.876,235016192,66670176,689,42,46,44,547,485,27,1.041,47,500,0,205.765,235.047
100000,1,Grid,36.037,235294720,66840560,689,44,46,44,549,486,27,0.196,47,500,0,53.943,102.835
100000,1,Grid,36.244,226123776,64737696,689,46,46,44,552,488,28,0.198,46,500,0,56.553,146.479
100000,1,Grid,36.417,235102208,65066664,689,28,46,44,554,490,28,0.195,46,500,0,55.636,113.246
100000,1,Grid,36.599,235483136,61111588,689,30,46,44,557,492,29,0.200,46,500,0,36.261,141.446
100000,1,Grid,36.765,234917888,66437224,689,32,46,44,558,493,29,0.178,46,500,0,41.174,103.315
100000,1,Grid,36.976,234913792,64843676,689,34,46,44,561,495,30,0.203,46,500,0,58.374,149.280
100000,1,Grid,37.152,235200512,65047904,689,36,46,44,563,497,30,0.187,46,500,0,57.122,114.943
100000,1,Grid,37.350,235163648,63754624,689,38,46,44,566,499,31,0.197,46,500,0,57.587,136.664
100000,1,Grid,37.507,235872256,65930332,689,40,46,44,567,500,31,0.193,46,500,0,37.774,114.803
100000,1,before_idle,38.799,255819776,63497820,726,32,48,44,582,514,32,0.160,72,500,0,0.000,0.000
100000,1,after_idle,58.810,235847680,70386080,718,28,44,38,833,765,32,0.425,62,500,0,0.000,0.000
100000,2,Rows,61.128,296263680,121765012,681,27,44,39,863,794,33,0.270,1099,500,0,59.580,248.502
100000,2,Rows,61.243,284110848,121043776,681,28,44,39,864,795,33,0.211,895,500,0,7.747,103.246
100000,2,Rows,63.308,302260224,67268832,675,30,44,38,880,809,34,0.204,78,500,0,1877.419,183.840
100000,2,Rows,63.479,303153152,70064468,676,29,44,39,881,810,34,0.374,71,500,0,42.696,124.004
100000,2,Rows,63.709,303042560,67266612,676,30,44,39,884,812,35,0.227,71,500,0,59.532,166.869
100000,2,Rows,63.896,303247360,67907672,676,32,44,39,886,814,35,0.227,71,500,0,60.984,121.692
100000,2,Rows,64.104,303632384,67602092,676,34,44,39,888,816,36,0.279,71,500,0,41.898,162.779
100000,2,Rows,64.274,303648768,68895180,676,36,44,39,890,817,36,0.215,71,500,0,57.036,108.735
100000,2,Rows,64.501,303140864,67196808,676,38,44,39,893,819,37,0.225,71,500,0,57.978,164.970
100000,2,Rows,64.690,302678016,67138748,676,40,44,39,895,821,37,0.220,71,500,0,61.112,124.162
100000,2,Grid,65.053,302563328,67502604,676,44,44,39,899,824,38,0.202,70,500,0,171.990,161.439
100000,2,Grid,65.240,303259648,67777960,676,46,44,39,901,826,38,0.203,70,500,0,61.717,121.295
100000,2,Grid,65.397,303591424,70288264,676,28,44,39,902,827,38,0.190,69,500,0,39.917,113.092
100000,2,Grid,65.624,303476736,67059372,676,30,44,39,905,829,39,0.204,69,500,0,62.033,160.961
100000,2,Grid,65.800,303751168,68719688,676,32,44,39,907,830,39,0.191,69,500,0,59.731,111.374
100000,2,Grid,66.033,303775744,67080360,676,34,44,39,910,832,40,0.195,69,500,0,68.024,160.977
100000,2,Grid,66.195,304111616,69256560,676,36,44,39,911,833,40,0.198,69,500,0,39.614,118.070
100000,2,Grid,66.414,303906816,67098532,676,38,44,39,914,835,41,0.207,69,500,0,56.713,158.223
100000,2,Grid,66.590,303398912,68596272,676,40,44,39,916,836,41,0.188,69,500,0,60.763,111.555
100000,2,Grid,66.815,303546368,67040792,676,42,44,39,919,838,42,0.208,69,500,0,58.953,161.739
100000,2,before_idle,68.129,324333568,128026700,727,30,46,39,933,852,43,0.111,95,500,0,0.000,0.000
100000,2,after_idle,88.160,303337472,71957132,711,26,43,38,1226,1145,43,0.170,85,500,0,0.000,0.000
100000,3,Rows,90.601,316907520,126063164,678,27,43,39,1257,1174,45,0.280,1122,500,0,93.400,227.350
100000,3,Rows,90.737,319176704,111874144,678,28,43,39,1259,1176,46,0.241,882,500,0,7.955,123.499
100000,3,Rows,92.681,321654784,96589268,672,30,43,38,1275,1189,47,0.203,101,500,0,1821.652,118.371
100000,3,Rows,92.933,320512000,70092024,673,32,43,39,1278,1192,48,0.206,99,500,0,66.927,181.799
100000,3,Rows,93.096,321466368,72481764,673,29,44,39,1279,1193,48,0.207,95,500,0,40.472,118.256
100000,3,Rows,93.336,320360448,69319928,673,30,43,39,1282,1195,49,0.179,95,500,0,59.857,175.889
100000,3,Rows,93.533,310820864,70445636,673,32,43,39,1284,1197,49,0.245,94,500,0,62.966,130.737
100000,3,Rows,93.750,321490944,69972752,673,34,43,39,1286,1199,50,0.230,94,500,0,41.916,170.758
100000,3,Rows,93.922,321925120,71537244,673,36,43,39,1288,1200,50,0.230,94,500,0,58.120,109.299
100000,3,Rows,94.163,321441792,69586324,673,38,43,39,1291,1202,51,0.229,94,500,0,60.912,176.848
100000,3,Grid,94.505,321982464,69925328,673,42,43,39,1295,1204,51,0.203,93,500,0,169.853,142.265
100000,3,Grid,94.669,323481600,72380352,673,44,43,39,1296,1205,51,0.200,93,500,0,41.292,119.620
100000,3,Grid,94.910,323006464,69592312,673,46,43,39,1299,1207,52,0.683,92,500,0,64.306,172.267
100000,3,Grid,95.105,322723840,70269224,673,28,43,39,1301,1209,52,0.193,92,500,0,66.741,124.654
100000,3,Grid,95.319,324034560,70099572,673,30,43,39,1303,1211,53,0.196,92,500,0,40.928,169.203
100000,3,Grid,95.490,323354624,71690976,673,32,43,39,1305,1212,53,0.189,92,500,0,58.894,108.170
100000,3,Grid,95.736,322355200,69586556,673,34,43,39,1308,1214,54,0.193,92,500,0,61.008,181.150
100000,3,Grid,95.924,323342336,70336400,673,36,43,39,1310,1216,54,0.204,92,500,0,61.494,122.450
100000,3,Grid,96.136,323665920,66480104,673,38,43,39,1313,1218,55,0.201,92,500,0,38.675,169.780
100000,3,Grid,96.309,323821568,71799288,673,40,43,39,1314,1219,55,0.190,92,500,0,39.231,107.015
100000,3,before_idle,97.715,343142400,68624964,710,32,45,39,1330,1231,57,0.096,118,500,0,0.000,0.000
100000,3,after_idle,117.768,321937408,70311568,702,28,43,37,1563,1464,57,0.114,108,500,0,0.000,0.000
100000,4,Rows,120.205,333185024,128017756,671,27,42,36,1593,1492,59,0.261,1145,500,0,94.668,235.755
100000,4,Rows,120.326,335212544,127267140,671,28,42,36,1594,1493,59,0.210,930,500,0,7.900,109.246
100000,4,Rows,122.330,332836864,72374640,665,30,42,35,1612,1506,62,0.210,124,500,0,1797.422,202.634
100000,4,Rows,122.532,333750272,74379804,666,29,42,36,1614,1507,62,0.308,117,500,0,64.187,133.783
100000,4,Rows,122.770,334045184,72438076,666,30,42,36,1617,1510,63,0.224,117,500,0,65.987,167.261
