products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,pos_view_entry_first_in_process,0,530.654,114315264,17,16,2
100000,scan_500_view_bitmap,0,2140.736,179187712,47,41,6
100000,scan_500_view_bitmap,1,1905.763,205434880,67,56,10
100000,scan_500_view_bitmap,2,189.776,207831040,69,57,10
100000,scan_500_view_bitmap,3,174.054,207970304,71,59,10
100000,scan_500_view_bitmap,4,171.771,210104320,73,60,10
100000,scan_500_view_bitmap,5,181.285,208838656,75,61,10
100000,scan_500_view_bitmap,6,163.978,210427904,77,62,10
100000,scan_500_view_bitmap,7,177.131,209424384,79,63,10
100000,scan_500_view_bitmap,8,167.594,210427904,81,64,10
100000,scan_500_view_bitmap,9,168.527,210206720,83,65,10
100000,scan_500_view_bitmap,10,161.926,210890752,85,66,10
100000,scan_500_view_bitmap,11,166.655,210968576,87,68,10
100000,scan_500_view_bitmap,12,163.430,211697664,89,69,10
100000,scan_500_view_bitmap,13,172.669,211550208,91,71,10
100000,scan_500_view_bitmap,14,171.474,212881408,93,73,10
100000,scan_500_view_bitmap,15,174.617,219828224,95,75,10
100000,scan_500_view_bitmap,16,163.069,220254208,97,77,10
100000,scan_500_view_bitmap,17,175.431,214511616,99,79,10
100000,scan_500_view_bitmap,18,161.713,215609344,101,80,10
100000,scan_500_view_bitmap,19,166.658,216465408,103,82,10
100000,scan_500_view_bitmap,20,161.227,222052352,105,83,10
100000,scan_500_view_bitmap,21,167.765,223911936,107,85,10
100000,scan_500_view_bitmap,22,160.837,224362496,109,86,10
100000,scan_500_view_bitmap,23,165.798,223883264,111,88,10
100000,scan_500_view_bitmap,24,212.644,224772096,114,90,11
100000,scan_500_view_bitmap,25,179.923,226500608,116,91,11
100000,scan_500_view_bitmap,26,166.708,225615872,118,92,11
100000,scan_500_view_bitmap,27,170.811,220790784,120,93,11
100000,scan_500_view_bitmap,28,166.320,221966336,122,94,11
100000,scan_500_view_bitmap,29,165.659,224202752,124,95,11
100000,scan_500_view_bitmap,30,215.428,221736960,127,97,12
100000,search_details_100,0,37.288,223215616,127,97,12
100000,local_sale_transaction_no_network,0,80.434,223883264,127,97,12
100000,daily_csv_1_to_31_sales,0,8.425,223891456,127,97,12
100000,search_details_100,1,35.270,223891456,127,97,12
100000,local_sale_transaction_no_network,1,6.365,223891456,127,97,12
100000,daily_csv_1_to_31_sales,1,0.836,224022528,127,97,12
100000,search_details_100,2,35.624,224153600,127,97,12
100000,local_sale_transaction_no_network,2,5.841,224284672,127,97,12
100000,daily_csv_1_to_31_sales,2,3.291,222142464,127,97,12
100000,search_details_100,3,35.668,210006016,127,97,12
100000,local_sale_transaction_no_network,3,5.602,210223104,127,97,12
100000,daily_csv_1_to_31_sales,3,23.820,210354176,128,98,12
100000,search_details_100,4,35.956,210354176,128,98,12
100000,local_sale_transaction_no_network,4,16.823,210354176,128,98,12
100000,daily_csv_1_to_31_sales,4,3.259,207257600,128,98,12
100000,search_details_100,5,36.305,207257600,128,98,12
100000,local_sale_transaction_no_network,5,5.161,207257600,128,98,12
100000,daily_csv_1_to_31_sales,5,3.002,207257600,128,98,12
100000,search_details_100,6,34.984,207257600,128,98,12
100000,local_sale_transaction_no_network,6,5.539,207257600,128,98,12
100000,daily_csv_1_to_31_sales,6,3.328,207257600,128,98,12
100000,search_details_100,7,35.654,207257600,128,98,12
100000,local_sale_transaction_no_network,7,5.355,207257600,128,98,12
100000,daily_csv_1_to_31_sales,7,0.516,207257600,128,98,12
100000,search_details_100,8,37.515,207257600,128,98,12
100000,local_sale_transaction_no_network,8,5.401,207257600,128,98,12
100000,daily_csv_1_to_31_sales,8,3.244,207257600,128,98,12
100000,search_details_100,9,37.092,207257600,128,98,12
100000,local_sale_transaction_no_network,9,6.109,207257600,128,98,12
100000,daily_csv_1_to_31_sales,9,2.960,207257600,128,98,12
100000,search_details_100,10,34.847,207257600,128,98,12
100000,local_sale_transaction_no_network,10,4.639,207257600,128,98,12
100000,daily_csv_1_to_31_sales,10,3.114,207257600,128,98,12
100000,search_details_100,11,35.565,207257600,128,98,12
100000,local_sale_transaction_no_network,11,5.205,207257600,128,98,12
100000,daily_csv_1_to_31_sales,11,2.791,207257600,128,98,12
100000,search_details_100,12,35.843,207257600,128,98,12
100000,local_sale_transaction_no_network,12,6.692,207257600,128,98,12
100000,daily_csv_1_to_31_sales,12,3.516,207257600,128,98,12
100000,search_details_100,13,35.341,207257600,128,98,12
100000,local_sale_transaction_no_network,13,5.352,207257600,128,98,12
100000,daily_csv_1_to_31_sales,13,3.074,207257600,128,98,12
100000,search_details_100,14,34.130,207257600,128,98,12
