products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
100000,0,2032.667,0.756,10.008,6.263,91.030
100000,1,80.731,0.991,1698.334,0.714,124.980
100000,2,85.040,1.386,3.939,3.682,95.716
100000,3,53.643,1.043,3.106,0.688,115.561
100000,4,61.221,0.993,3.208,9.540,96.796
100000,5,59.845,1.011,3.554,0.742,116.120
100000,6,56.211,1.022,3.268,9.839,93.625
100000,7,57.579,1.033,3.559,0.756,114.192
100000,8,56.726,1.661,4.829,10.240,94.125
100000,9,55.737,1.026,2.874,0.743,108.133
100000,10,56.031,1.022,3.454,9.987,91.419
100000,11,54.352,0.979,2.772,0.714,107.824
100000,12,55.877,1.034,2.637,10.627,93.243
100000,13,55.685,1.198,3.796,0.729,111.247
100000,14,60.642,1.448,3.708,13.394,92.269
100000,15,55.114,1.044,3.102,0.744,114.601
100000,16,57.877,1.030,3.216,10.800,90.132
100000,17,56.762,1.124,2.846,0.734,113.952
100000,18,54.022,1.046,2.897,10.824,92.910
100000,19,55.737,1.054,2.899,0.725,106.232
100000,20,55.524,0.967,3.264,10.667,90.792
100000,21,55.081,1.020,2.980,0.784,107.887
100000,22,54.575,1.560,2.940,11.007,90.734
100000,23,55.532,0.985,3.265,0.720,105.284
100000,24,54.758,1.322,3.538,0.899,152.115
100000,25,57.988,1.154,3.920,0.711,116.135
100000,26,58.655,1.016,2.899,8.889,95.236
100000,27,55.508,1.048,2.952,0.756,110.534
100000,28,58.860,0.990,3.305,9.912,93.240
100000,29,54.553,0.976,3.538,0.903,105.677
100000,30,56.250,1.062,2.869,0.838,154.394
