products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
20000,1,scan,0,70.557,34832384,8,7,1,3.474,2,2,0
20000,1,scan,1,1.246,34832384,8,7,1,0.157,2,2,0
20000,1,scan,2,3.673,34836480,8,7,1,0.230,2,2,0
20000,1,scan,3,0.958,34836480,8,7,1,0.153,2,2,0
20000,1,scan,4,1.287,34836480,8,7,1,0.120,2,2,0
20000,1,scan,5,0.800,34836480,8,7,1,0.077,2,2,0
20000,1,scan,6,0.849,34836480,8,7,1,0.114,2,2,0
20000,1,scan,7,0.859,34836480,8,7,1,0.073,2,2,0
20000,1,scan,8,0.789,34836480,8,7,1,0.097,2,2,0
20000,1,scan,9,0.635,34836480,8,7,1,0.065,2,2,0
20000,1,scan,10,0.699,34836480,8,7,1,0.078,2,2,0
20000,1,scan,11,1.507,34836480,8,7,1,0.093,2,2,0
20000,1,scan,12,3.924,34836480,8,7,1,0.238,2,2,0
20000,1,scan,13,0.982,34836480,8,7,1,0.142,2,2,0
20000,1,scan,14,0.849,34836480,8,7,1,0.100,2,2,0
20000,1,scan,15,1.027,34836480,8,7,1,0.114,2,2,0
20000,1,scan,16,0.768,34836480,8,7,1,0.070,2,2,0
20000,1,scan,17,1.034,34836480,8,7,1,0.091,2,2,0
20000,1,scan,18,0.888,34836480,8,7,1,0.063,2,2,0
20000,1,scan,19,0.865,34836480,8,7,1,0.089,2,2,0
20000,1,scan,20,0.841,34836480,8,7,1,0.064,2,2,0
20000,1,scan,21,2.334,34836480,8,7,1,0.226,2,2,0
20000,1,scan,22,1.543,34836480,8,7,1,0.166,2,2,0
20000,1,scan,23,1.240,34836480,8,7,1,0.130,2,2,0
20000,1,scan,24,0.763,34836480,8,7,1,0.137,2,2,0
20000,1,scan,25,0.809,34836480,8,7,1,0.130,2,2,0
20000,1,scan,26,0.826,34836480,8,7,1,0.064,2,2,0
20000,1,scan,27,1.474,34836480,9,8,1,0.100,2,2,0
20000,1,scan,28,0.804,34836480,9,8,1,0.078,2,2,0
20000,1,scan,29,1.483,34836480,9,8,1,0.092,2,2,0
20000,1,scan,30,1.614,34836480,9,8,1,0.279,2,2,0
20000,10,scan,0,0.952,34836480,9,8,1,0.099,2,2,0
20000,10,scan,1,0.966,34836480,9,8,1,0.099,2,2,0
20000,10,scan,2,1.069,34836480,9,8,1,0.100,2,2,0
20000,10,scan,3,0.906,34836480,9,8,1,0.080,2,2,0
20000,10,scan,4,0.962,34836480,9,8,1,0.097,2,2,0
20000,10,scan,5,0.913,34836480,9,8,1,0.077,2,2,0
20000,10,scan,6,1.007,34836480,9,8,1,0.083,2,2,0
20000,10,scan,7,1.120,34836480,9,8,1,0.083,2,2,0
20000,10,scan,8,5.310,34836480,9,8,1,0.278,2,2,0
20000,10,scan,9,1.622,34836480,9,8,1,0.125,2,2,0
20000,10,scan,10,1.000,34836480,9,8,1,0.103,2,2,0
20000,10,scan,11,1.004,34836480,9,8,1,0.108,2,2,0
20000,10,scan,12,0.910,34836480,9,8,1,0.070,2,2,0
20000,10,scan,13,1.009,34836480,9,8,1,0.106,2,2,0
20000,10,scan,14,1.961,34836480,9,8,1,0.177,2,2,0
20000,10,scan,15,1.762,34836480,9,8,1,0.281,2,2,0
20000,10,scan,16,1.107,34836480,9,8,1,0.131,2,2,0
20000,10,scan,17,1.497,34836480,9,8,1,0.166,2,2,0
20000,10,scan,18,0.954,34836480,9,8,1,0.067,2,2,0
20000,10,scan,19,1.125,34836480,9,8,1,0.085,2,2,0
20000,10,scan,20,0.949,34836480,9,8,1,0.090,2,2,0
20000,10,scan,21,1.269,34836480,9,8,1,0.070,2,2,0
20000,10,scan,22,2.223,34836480,9,8,1,0.096,2,2,0
20000,10,scan,23,2.060,34836480,9,8,1,0.274,2,2,0
20000,10,scan,24,1.144,34836480,9,8,1,0.146,2,2,0
20000,10,scan,25,1.213,34836480,9,8,1,0.281,2,2,0
20000,10,scan,26,0.952,34836480,9,8,1,0.065,2,2,0
20000,10,scan,27,0.977,34836480,9,8,1,0.204,2,2,0
20000,10,scan,28,0.917,34836480,9,8,1,0.078,2,2,0
20000,10,scan,29,0.981,34836480,9,8,1,0.093,2,2,0
20000,10,scan,30,0.907,34836480,9,8,1,0.086,2,2,0
20000,50,scan,0,1.993,34836480,9,8,1,0.114,2,2,0
20000,50,scan,1,1.405,34836480,9,8,1,0.145,2,2,0
20000,50,scan,2,2.045,34836480,9,8,1,0.118,2,2,0
20000,50,scan,3,1.318,34836480,9,8,1,0.092,2,2,0
20000,50,scan,4,1.491,34902016,9,8,1,0.092,2,2,0
20000,50,scan,5,1.449,35098624,9,8,1,0.080,2,2,0
20000,50,scan,6,1.369,35233792,9,8,1,0.084,2,2,0
20000,50,scan,7,2.597,35430400,9,8,1,0.144,2,2,0
20000,50,scan,8,2.924,35627008,9,8,1,0.161,2,2,0
20000,50,scan,9,4.101,35692544,10,9,1,0.154,2,2,0
20000,50,scan,10,1.306,35692544,10,9,1,0.104,2,2,0
20000,50,scan,11,1.351,35692544,10,9,1,0.098,2,2,0
20000,50,scan,12,2.079,35692544,10,9,1,0.089,2,2,0
20000,50,scan,13,1.234,35692544,10,9,1,0.094,2,2,0
20000,50,scan,14,1.262,35692544,10,9,1,0.088,2,2,0
20000,50,scan,15,1.217,35692544,10,9,1,0.093,2,2,0
20000,50,scan,16,1.551,35692544,10,9,1,0.201,2,2,0
20000,50,scan,17,1.473,35692544,10,9,1,0.152,2,2,0
20000,50,scan,18,1.737,35692544,10,9,1,0.171,2,2,0
20000,50,scan,19,1.567,35692544,10,9,1,0.131,2,2,0
20000,50,scan,20,1.327,35692544,10,9,1,0.137,2,2,0
20000,50,scan,21,1.492,35692544,10,9,1,0.091,2,2,0
20000,50,scan,22,2.046,35692544,10,9,1,0.235,2,2,0
20000,50,scan,23,2.908,35692544,10,9,1,0.821,2,2,0
20000,50,scan,24,1.724,35692544,10,9,1,0.081,2,2,0
20000,50,scan,25,1.453,35692544,10,9,1,0.187,2,2,0
20000,50,scan,26,1.192,35692544,10,9,1,0.064,2,2,0
20000,50,scan,27,1.340,35692544,10,9,1,0.098,2,2,0
20000,50,scan,28,1.689,35692544,10,9,1,0.076,2,2,0
20000,50,scan,29,1.266,35692544,10,9,1,0.070,2,2,0
20000,50,scan,30,1.263,35692544,10,9,1,0.090,2,2,0
20000,100,scan,0,6.047,35692544,10,9,1,0.380,2,2,0
20000,100,scan,1,1.807,35692544,10,9,1,0.135,2,2,0
20000,100,scan,2,1.813,35692544,10,9,1,0.107,2,2,0
20000,100,scan,3,1.788,35692544,10,9,1,0.074,2,2,0
20000,100,scan,4,1.747,35692544,10,9,1,0.102,2,2,0
20000,100,scan,5,2.355,35692544,11,10,1,0.077,2,2,0
20000,100,scan,6,2.491,35692544,11,10,1,0.132,2,2,0
20000,100,scan,7,3.135,35692544,11,10,1,0.212,2,2,0
20000,100,scan,8,2.555,35692544,11,10,1,0.118,2,2,0
20000,100,scan,9,2.051,35692544,11,10,1,0.121,2,2,0
20000,100,scan,10,1.783,35692544,11,10,1,0.067,2,2,0
20000,100,scan,11,2.088,35692544,11,10,1,0.080,2,2,0
20000,100,scan,12,1.758,35692544,11,10,1,0.111,2,2,0
20000,100,scan,13,2.331,35692544,11,10,1,0.089,2,2,0
20000,100,scan,14,5.817,35692544,11,10,1,0.107,2,2,0
20000,100,scan,15,2.074,35692544,11,10,1,0.145,2,2,0
20000,100,scan,16,1.697,35692544,11,10,1,0.077,2,2,0
20000,100,scan,17,1.663,35692544,11,10,1,0.077,2,2,0
20000,100,scan,18,2.568,35692544,11,10,1,0.067,2,2,0
20000,100,scan,19,1.835,35692544,11,10,1,0.070,2,2,0
20000,100,scan,20,1.759,35692544,11,10,1,0.081,2,2,0
20000,100,scan,21,2.700,35692544,11,10,1,0.301,2,2,0
20000,100,scan,22,1.893,35692544,11,10,1,0.153,2,2,0
20000,100,scan,23,1.842,35692544,11,10,1,0.158,2,2,0
20000,100,scan,24,2.027,35692544,11,10,1,0.084,2,2,0
20000,100,scan,25,1.951,35692544,11,10,1,0.086,2,2,0
20000,100,scan,26,1.724,35692544,11,10,1,0.081,2,2,0
20000,100,scan,27,3.977,35692544,12,11,1,0.106,2,2,0
20000,100,scan,28,1.792,35692544,12,11,1,0.144,2,2,0
20000,100,scan,29,2.750,35692544,12,11,1,0.173,2,2,0
20000,100,scan,30,1.805,35692544,12,11,1,0.087,2,2,0
20000,500,scan,0,8.257,35692544,12,11,1,0.088,2,2,0
20000,500,scan,1,9.908,35692544,12,11,1,0.130,2,2,0
20000,500,scan,2,9.033,35692544,12,11,1,0.248,2,2,0
20000,500,scan,3,10.299,35692544,12,11,1,0.221,2,2,0
20000,500,scan,4,14.811,35827712,12,11,1,0.227,2,2,0
20000,500,scan,5,7.209,35827712,12,11,1,0.103,2,2,0
20000,500,scan,6,7.367,35827712,13,12,1,0.086,2,2,0
20000,500,scan,7,7.365,35827712,13,12,1,0.155,2,2,0
20000,500,scan,8,7.140,35827712,13,12,1,0.086,2,2,0
20000,500,scan,9,7.087,35827712,13,12,1,0.085,2,2,0
20000,500,scan,10,7.196,35827712,13,12,1,0.156,2,2,0
20000,500,scan,11,7.191,35827712,13,12,1,0.109,2,2,0
20000,500,scan,12,8.093,35827712,13,12,1,0.116,2,2,0
20000,500,scan,13,7.787,35827712,14,13,1,0.155,2,2,0
20000,500,scan,14,7.259,35827712,14,13,1,0.077,2,2,0
20000,500,scan,15,11.709,35827712,14,13,1,0.215,2,2,0
20000,500,scan,16,6.906,35827712,14,13,1,0.380,2,2,0
20000,500,scan,17,6.763,35827712,14,13,1,0.104,2,2,0
20000,500,scan,18,8.337,35827712,14,13,1,0.075,2,2,0
20000,500,scan,19,7.076,35827712,14,13,1,0.164,2,2,0
20000,500,scan,20,7.042,35827712,14,13,1,0.118,2,2,0
20000,500,scan,21,11.275,35827712,15,14,2,0.079,2,2,0
20000,500,scan,22,13.488,35827712,15,14,2,0.097,2,2,0
20000,500,scan,23,6.953,35827712,15,14,2,0.117,2,2,0
20000,500,scan,24,6.841,35827712,15,14,2,0.097,2,2,0
20000,500,scan,25,11.473,35827712,15,14,2,0.103,2,2,0
20000,500,scan,26,7.348,35827712,15,14,2,0.132,2,2,0
20000,500,scan,27,6.774,35827712,15,14,2,0.086,2,2,0
20000,500,scan,28,11.147,35827712,15,14,2,0.073,2,2,0
20000,500,scan,29,8.597,35827712,16,15,2,0.164,2,2,0
20000,500,scan,30,9.368,35827712,16,15,2,0.106,2,2,0
