products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
20000,0,Rows,3.311,259198976,103421256,637,26,44,42,149,130,12,0.804,29,0,0,2854.763,138.620
20000,0,Rows,5.712,275492864,117722396,634,28,44,42,164,144,12,0.439,32,0,0,73.659,2319.393
20000,0,Rows,5.998,279908352,107671856,635,30,44,43,167,146,13,0.330,32,0,0,115.480,167.229
20000,0,Rows,6.228,283017216,110797460,635,32,44,43,169,147,13,0.482,30,0,0,80.379,144.500
20000,0,Rows,6.533,280809472,107660464,635,27,44,43,172,150,14,0.441,23,0,0,88.838,212.049
20000,0,Rows,6.750,277655552,111548060,635,28,44,43,173,151,14,0.488,23,0,0,76.823,135.417
20000,0,Rows,7.011,282394624,107656696,635,30,44,43,176,154,15,0.418,23,0,0,80.460,176.406
20000,0,Rows,7.235,277483520,110376344,635,32,44,43,178,155,15,0.675,23,0,0,75.787,143.097
20000,0,Rows,7.546,282599424,107650772,635,34,44,43,181,157,16,0.502,23,0,0,107.851,192.644
20000,0,Rows,7.794,280236032,108824268,635,36,44,43,183,159,16,0.438,23,0,0,81.281,162.394
20000,0,Grid,8.402,283545600,107809556,638,40,44,43,189,162,17,0.339,21,500,0,185.074,184.495
20000,0,Grid,8.616,283115520,111548828,638,42,44,43,190,163,17,0.412,21,500,0,87.870,119.005
20000,0,Grid,8.856,280043520,107819056,638,44,44,43,193,165,18,0.420,21,500,0,77.761,157.656
20000,0,Grid,9.068,282923008,110887836,638,26,44,43,195,166,18,0.365,21,500,0,79.333,127.609
20000,0,Grid,9.312,284139520,107822068,638,28,44,43,198,168,19,0.499,21,500,0,73.752,166.662
20000,0,Grid,9.536,284389376,108986260,638,30,44,43,200,170,19,0.555,21,500,0,71.644,146.460
20000,0,Grid,9.751,294137856,107827528,638,32,44,43,202,172,20,0.366,21,500,0,47.089,162.631
20000,0,Grid,9.957,284798976,111411072,640,34,44,43,204,173,20,0.284,21,500,0,75.797,126.020
20000,0,Grid,10.194,283422720,107823268,640,36,44,43,207,175,21,0.311,21,500,0,72.907,160.537
20000,0,Grid,10.415,293355520,109465264,640,38,44,43,209,177,21,0.262,21,500,0,69.142,146.466
20000,0,before_idle,12.715,311234560,107158668,703,30,46,43,223,190,23,0.287,15,500,0,0.000,0.000
20000,0,after_idle,32.762,294080512,108808996,697,26,44,43,345,312,23,0.066,1,500,0,0.000,0.000
20000,1,Rows,35.532,338694144,170689092,703,27,45,43,373,340,23,0.351,1055,500,0,106.626,259.625
20000,1,Rows,38.027,334008320,60640636,671,27,45,43,390,354,25,0.222,36,500,0,2258.872,231.657
20000,1,Rows,38.256,335237120,60706388,672,28,45,44,392,356,25,0.488,15,500,0,75.532,149.266
20000,1,Rows,38.439,335212544,62991940,673,30,45,44,393,357,25,0.254,15,500,0,40.079,135.058
20000,1,Rows,38.799,228380672,62401220,672,28,45,44,395,359,26,0.344,15,500,0,59.158,296.568
20000,1,Rows,38.990,229576704,62073980,672,29,45,44,397,360,26,0.255,15,500,0,60.033,126.799
20000,1,Rows,39.237,216387584,60327412,672,30,45,44,400,362,27,0.238,15,500,0,67.693,174.509
20000,1,Rows,39.452,229036032,59838944,672,32,45,44,402,364,27,0.247,15,500,0,69.250,141.967
20000,1,Rows,39.639,230092800,62251428,672,34,45,44,403,365,27,0.227,15,500,0,41.564,141.011
20000,1,Rows,39.892,229335040,60249700,672,36,45,44,406,367,28,0.237,15,500,0,66.126,182.719
20000,1,Grid,40.229,230047744,61954164,670,40,45,41,409,369,28,0.265,13,500,0,193.184,127.287
20000,1,Grid,40.478,230363136,60310908,670,42,45,41,412,371,29,0.254,13,500,0,60.595,183.374
20000,1,Grid,40.653,230649856,62379880,670,44,45,41,413,372,29,0.244,13,500,0,47.030,124.081
20000,1,Grid,40.896,218775552,60569084,670,46,45,41,416,374,30,0.242,13,500,0,66.254,172.001
20000,1,Grid,41.105,230367232,60886236,670,28,45,41,418,376,30,0.243,13,500,0,68.826,136.457
20000,1,Grid,41.342,230682624,59488108,670,30,45,41,421,378,31,0.244,13,500,0,64.300,167.811
20000,1,Grid,41.524,231591936,61581588,670,32,45,41,422,379,31,0.275,13,500,0,41.351,136.495
20000,1,Grid,41.768,221835264,60367176,670,34,45,41,425,381,32,0.321,13,500,0,63.995,176.031
20000,1,Grid,41.945,230354944,62480280,670,36,45,41,426,382,32,0.286,13,500,0,41.628,128.159
20000,1,Grid,42.189,230305792,60568784,670,38,45,41,429,384,33,0.252,13,500,0,59.962,179.880
20000,1,before_idle,44.683,242167808,57142028,710,30,47,41,443,398,34,0.794,17,500,0,0.000,0.000
20000,1,after_idle,64.742,223637504,60116428,700,28,42,38,542,495,34,0.051,3,500,0,0.000,0.000
