products,operation,sample,ms,private_bytes,gc0,gc1,gc2
20000,pos_view_entry_first_in_process,0,949.904,100380672,17,16,2
20000,scan_500_view_bitmap,0,3178.803,167723008,47,41,6
20000,scan_500_view_bitmap,1,2582.398,196845568,67,56,10
20000,scan_500_view_bitmap,2,216.746,198053888,70,58,10
20000,scan_500_view_bitmap,3,222.784,205950976,71,59,10
20000,scan_500_view_bitmap,4,283.985,207228928,73,61,10
20000,scan_500_view_bitmap,5,401.526,209600512,75,63,10
20000,scan_500_view_bitmap,6,292.183,210366464,77,65,10
20000,scan_500_view_bitmap,7,232.401,211144704,78,66,10
20000,scan_500_view_bitmap,8,246.301,212987904,80,68,10
20000,scan_500_view_bitmap,9,209.819,213331968,81,69,10
20000,scan_500_view_bitmap,10,209.683,209317888,83,71,10
20000,scan_500_view_bitmap,11,228.106,214708224,85,73,10
20000,scan_500_view_bitmap,12,230.790,214507520,87,75,10
20000,scan_500_view_bitmap,13,199.296,214777856,88,76,10
20000,scan_500_view_bitmap,14,220.220,214773760,90,78,10
20000,scan_500_view_bitmap,15,195.867,215224320,91,79,10
20000,scan_500_view_bitmap,16,210.536,215650304,93,81,10
20000,scan_500_view_bitmap,17,219.815,213553152,95,83,10
20000,scan_500_view_bitmap,18,224.759,216104960,97,85,10
20000,scan_500_view_bitmap,19,191.237,217792512,98,86,10
20000,scan_500_view_bitmap,20,210.764,219459584,100,87,10
20000,scan_500_view_bitmap,21,232.488,219242496,102,89,10
20000,scan_500_view_bitmap,22,193.690,219623424,103,90,10
20000,scan_500_view_bitmap,23,212.263,217399296,105,91,10
20000,scan_500_view_bitmap,24,233.563,219222016,107,93,10
20000,scan_500_view_bitmap,25,196.742,221151232,108,94,10
20000,scan_500_view_bitmap,26,216.678,219426816,110,95,10
20000,scan_500_view_bitmap,27,220.240,218148864,112,97,10
20000,scan_500_view_bitmap,28,195.389,220983296,113,98,10
20000,scan_500_view_bitmap,29,206.705,218726400,115,99,10
20000,scan_500_view_bitmap,30,220.891,219725824,117,101,10
20000,search_details_100,0,14.965,220323840,117,101,10
20000,local_sale_transaction_no_network,0,110.223,220991488,117,101,10
20000,daily_csv_1_to_31_sales,0,16.121,220999680,117,101,10
20000,search_details_100,1,6.916,220999680,117,101,10
20000,local_sale_transaction_no_network,1,6.189,221003776,117,101,10
20000,daily_csv_1_to_31_sales,1,2.989,219615232,117,101,10
20000,search_details_100,2,6.559,205201408,117,101,10
20000,local_sale_transaction_no_network,2,6.655,205283328,117,101,10
20000,daily_csv_1_to_31_sales,2,5.252,205283328,117,101,10
20000,search_details_100,3,7.421,205283328,117,101,10
20000,local_sale_transaction_no_network,3,6.727,205283328,117,101,10
20000,daily_csv_1_to_31_sales,3,2.996,205348864,117,101,10
20000,search_details_100,4,6.231,205479936,117,101,10
20000,local_sale_transaction_no_network,4,5.595,205611008,117,101,10
20000,daily_csv_1_to_31_sales,4,0.695,205742080,117,101,10
20000,search_details_100,5,11.011,205807616,117,101,10
20000,local_sale_transaction_no_network,5,7.348,206004224,117,101,10
20000,daily_csv_1_to_31_sales,5,4.977,206266368,117,101,10
20000,search_details_100,6,6.265,206397440,117,101,10
20000,local_sale_transaction_no_network,6,6.128,206528512,117,101,10
20000,daily_csv_1_to_31_sales,6,0.589,206659584,117,101,10
20000,search_details_100,7,6.213,206725120,117,101,10
20000,local_sale_transaction_no_network,7,5.466,206925824,117,101,10
20000,daily_csv_1_to_31_sales,7,32.296,205021184,118,102,10
20000,search_details_100,8,6.652,205021184,118,102,10
20000,local_sale_transaction_no_network,8,5.685,205021184,118,102,10
20000,daily_csv_1_to_31_sales,8,2.902,205021184,118,102,10
20000,search_details_100,9,11.026,205021184,118,102,10
20000,local_sale_transaction_no_network,9,6.368,205021184,118,102,10
20000,daily_csv_1_to_31_sales,9,2.951,205021184,118,102,10
20000,search_details_100,10,6.214,205021184,118,102,10
20000,local_sale_transaction_no_network,10,5.985,205021184,118,102,10
20000,daily_csv_1_to_31_sales,10,3.876,205021184,118,102,10
20000,search_details_100,11,11.052,205021184,118,102,10
20000,local_sale_transaction_no_network,11,6.733,205021184,118,102,10
20000,daily_csv_1_to_31_sales,11,2.796,205021184,118,102,10
20000,search_details_100,12,6.931,205021184,118,102,10
20000,local_sale_transaction_no_network,12,5.477,205021184,118,102,10
20000,daily_csv_1_to_31_sales,12,3.344,205021184,118,102,10
20000,search_details_100,13,6.314,205021184,118,102,10
20000,local_sale_transaction_no_network,13,5.387,205021184,118,102,10
20000,daily_csv_1_to_31_sales,13,4.113,205021184,118,102,10
20000,search_details_100,14,6.639,205021184,118,102,10
20000,local_sale_transaction_no_network,14,6.577,205021184,118,102,10
20000,daily_csv_1_to_31_sales,14,3.046,205021184,118,102,10
20000,search_details_100,15,6.419,205021184,118,102,10
20000,local_sale_transaction_no_network,15,7.138,205021184,118,102,10
20000,daily_csv_1_to_31_sales,15,3.220,205021184,118,102,10
20000,search_details_100,16,6.128,205021184,118,102,10
20000,local_sale_transaction_no_network,16,8.977,205021184,118,102,10
20000,daily_csv_1_to_31_sales,16,3.563,205021184,118,102,10
20000,search_details_100,17,6.241,205021184,118,102,10
20000,local_sale_transaction_no_network,17,6.307,205021184,118,102,10
20000,daily_csv_1_to_31_sales,17,3.118,205021184,118,102,10
20000,search_details_100,18,9.808,205021184,118,102,10
20000,local_sale_transaction_no_network,18,5.071,205021184,118,102,10
20000,daily_csv_1_to_31_sales,18,2.854,205021184,118,102,10
20000,search_details_100,19,6.200,205021184,119,103,10
20000,local_sale_transaction_no_network,19,9.650,205348864,119,103,10
20000,daily_csv_1_to_31_sales,19,3.712,205348864,119,103,10
20000,search_details_100,20,6.279,205348864,119,103,10
20000,local_sale_transaction_no_network,20,6.221,205348864,119,103,10
20000,daily_csv_1_to_31_sales,20,3.592,205348864,119,103,10
20000,search_details_100,21,11.762,205348864,119,103,10
20000,local_sale_transaction_no_network,21,5.866,205348864,119,103,10
20000,daily_csv_1_to_31_sales,21,3.827,205348864,119,103,10
20000,search_details_100,22,9.020,205348864,119,103,10
20000,local_sale_transaction_no_network,22,5.405,205348864,119,103,10
20000,daily_csv_1_to_31_sales,22,2.771,205348864,119,103,10
20000,search_details_100,23,6.231,205348864,119,103,10
20000,local_sale_transaction_no_network,23,4.933,205348864,119,103,10
20000,daily_csv_1_to_31_sales,23,0.709,205348864,119,103,10
20000,search_details_100,24,6.771,205348864,119,103,10
20000,local_sale_transaction_no_network,24,6.886,205348864,119,103,10
20000,daily_csv_1_to_31_sales,24,3.608,205348864,119,103,10
20000,search_details_100,25,6.223,205348864,119,103,10
20000,local_sale_transaction_no_network,25,6.210,205348864,119,103,10
20000,daily_csv_1_to_31_sales,25,2.863,205348864,119,103,10
20000,search_details_100,26,8.601,205348864,119,103,10
20000,local_sale_transaction_no_network,26,5.942,205348864,119,103,10
20000,daily_csv_1_to_31_sales,26,3.113,205348864,119,103,10
20000,search_details_100,27,6.195,205348864,119,103,10
20000,local_sale_transaction_no_network,27,5.870,205848576,119,103,10
20000,daily_csv_1_to_31_sales,27,4.532,205848576,119,103,10
20000,search_details_100,28,6.878,205848576,119,103,10
20000,local_sale_transaction_no_network,28,5.466,205848576,119,103,10
20000,daily_csv_1_to_31_sales,28,4.924,205848576,120,103,10
20000,search_details_100,29,6.100,205848576,120,103,10
20000,local_sale_transaction_no_network,29,6.404,205848576,120,103,10
20000,daily_csv_1_to_31_sales,29,5.902,205848576,120,103,10
20000,search_details_100,30,6.788,205848576,120,103,10
20000,local_sale_transaction_no_network,30,7.361,205848576,120,103,10
20000,daily_csv_1_to_31_sales,30,3.673,205848576,120,103,10
