products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
20000,0,3048.294,0.807,10.980,6.627,112.077
20000,1,109.807,1.044,2302.128,1.178,168.216
20000,2,22.654,19.413,9.044,2.862,162.758
20000,3,49.638,1.234,3.680,1.195,167.023
20000,4,85.575,1.691,5.188,1.781,189.729
20000,5,198.591,1.217,5.612,1.180,194.906
20000,6,89.603,1.616,14.507,1.218,185.222
20000,7,57.598,1.406,4.147,1.083,168.124
20000,8,70.029,1.480,8.853,1.060,164.861
20000,9,46.524,1.202,26.500,0.825,134.744
20000,10,73.521,1.588,3.625,0.567,130.366
20000,11,72.320,2.847,3.297,0.754,148.873
20000,12,75.170,1.379,3.132,0.763,150.334
20000,13,45.348,1.494,4.062,0.854,147.525
20000,14,67.585,1.989,6.630,0.717,143.283
20000,15,51.694,1.107,24.898,1.134,117.022
20000,16,73.465,1.044,3.216,0.728,132.070
20000,17,66.076,1.361,3.083,0.812,148.469
20000,18,67.317,1.905,7.874,1.082,146.563
20000,19,39.933,1.500,5.005,1.145,143.642
20000,20,68.585,1.062,3.262,0.743,137.096
20000,21,70.577,1.020,4.200,0.733,155.941
20000,22,43.802,1.098,3.832,0.951,143.993
20000,23,63.859,1.100,3.630,0.842,142.818
20000,24,69.570,1.092,4.934,1.135,156.818
20000,25,51.300,1.134,3.416,0.694,140.185
20000,26,69.507,1.015,3.157,0.745,142.238
20000,27,65.920,1.042,3.355,0.949,148.959
20000,28,43.788,1.122,4.274,0.733,145.461
20000,29,65.721,1.757,4.799,0.754,133.660
20000,30,69.069,1.324,4.175,1.328,144.982
