products,cart,operation,sample,ms,private_bytes,gc0,gc1,gc2,dispatcher_probe_ms,connections,product_commands,commands_on_dispatcher
100000,1,scan,0,53.901,34959360,8,7,1,2.662,2,2,0
100000,1,scan,1,0.930,34959360,8,7,1,0.142,2,2,0
100000,1,scan,2,0.835,34963456,8,7,1,0.101,2,2,0
100000,1,scan,3,0.663,34963456,8,7,1,0.056,2,2,0
100000,1,scan,4,1.185,34963456,8,7,1,0.107,2,2,0
100000,1,scan,5,0.697,34963456,8,7,1,0.062,2,2,0
100000,1,scan,6,0.622,34963456,8,7,1,0.103,2,2,0
100000,1,scan,7,0.596,34963456,8,7,1,0.051,2,2,0
100000,1,scan,8,0.725,34963456,8,7,1,0.063,2,2,0
100000,1,scan,9,0.814,34963456,8,7,1,0.112,2,2,0
100000,1,scan,10,0.694,34963456,8,7,1,0.157,2,2,0
100000,1,scan,11,0.854,34963456,8,7,1,0.096,2,2,0
100000,1,scan,12,0.746,34963456,8,7,1,0.106,2,2,0
100000,1,scan,13,0.707,34963456,8,7,1,0.094,2,2,0
100000,1,scan,14,0.795,34963456,8,7,1,0.076,2,2,0
100000,1,scan,15,0.766,34963456,8,7,1,0.074,2,2,0
100000,1,scan,16,0.888,34963456,8,7,1,0.065,2,2,0
100000,1,scan,17,0.750,34963456,8,7,1,0.096,2,2,0
100000,1,scan,18,0.739,34963456,8,7,1,0.063,2,2,0
100000,1,scan,19,0.804,34963456,8,7,1,0.083,2,2,0
100000,1,scan,20,0.655,34963456,8,7,1,0.063,2,2,0
100000,1,scan,21,0.813,34963456,8,7,1,0.101,2,2,0
100000,1,scan,22,0.703,34963456,8,7,1,0.063,2,2,0
100000,1,scan,23,0.972,34963456,8,7,1,0.277,2,2,0
100000,1,scan,24,0.802,34963456,8,7,1,0.054,2,2,0
100000,1,scan,25,0.861,34963456,8,7,1,0.095,2,2,0
100000,1,scan,26,0.746,34963456,8,7,1,0.057,2,2,0
100000,1,scan,27,0.755,34963456,9,8,1,0.094,2,2,0
100000,1,scan,28,0.683,34963456,9,8,1,0.065,2,2,0
100000,1,scan,29,0.753,34963456,9,8,1,0.101,2,2,0
100000,1,scan,30,0.548,34963456,9,8,1,0.053,2,2,0
100000,10,scan,0,0.852,34963456,9,8,1,0.100,2,2,0
100000,10,scan,1,0.786,34963456,9,8,1,0.060,2,2,0
100000,10,scan,2,0.895,34963456,9,8,1,0.097,2,2,0
100000,10,scan,3,0.770,34963456,9,8,1,0.072,2,2,0
100000,10,scan,4,0.932,34963456,9,8,1,0.104,2,2,0
100000,10,scan,5,0.828,34963456,9,8,1,0.055,2,2,0
100000,10,scan,6,0.792,34963456,9,8,1,0.090,2,2,0
100000,10,scan,7,0.741,34963456,9,8,1,0.079,2,2,0
100000,10,scan,8,0.831,34963456,9,8,1,0.102,2,2,0
100000,10,scan,9,0.765,34963456,9,8,1,0.084,2,2,0
100000,10,scan,10,1.072,34963456,9,8,1,0.174,2,2,0
100000,10,scan,11,0.815,34963456,9,8,1,0.062,2,2,0
100000,10,scan,12,0.829,34963456,9,8,1,0.158,2,2,0
100000,10,scan,13,0.764,34963456,9,8,1,0.057,2,2,0
100000,10,scan,14,0.998,34963456,9,8,1,0.075,2,2,0
100000,10,scan,15,0.895,34963456,9,8,1,0.066,2,2,0
100000,10,scan,16,1.000,34963456,9,8,1,0.123,2,2,0
100000,10,scan,17,0.783,34963456,9,8,1,0.066,2,2,0
100000,10,scan,18,0.996,34963456,9,8,1,0.063,2,2,0
100000,10,scan,19,0.894,34963456,9,8,1,0.068,2,2,0
100000,10,scan,20,1.244,34963456,9,8,1,0.054,2,2,0
100000,10,scan,21,0.952,34963456,9,8,1,0.114,2,2,0
100000,10,scan,22,1.010,34963456,9,8,1,0.055,2,2,0
100000,10,scan,23,0.881,34963456,9,8,1,0.065,2,2,0
100000,10,scan,24,1.145,34963456,9,8,1,0.060,2,2,0
100000,10,scan,25,0.828,34963456,9,8,1,0.075,2,2,0
100000,10,scan,26,0.887,34963456,9,8,1,0.053,2,2,0
100000,10,scan,27,0.814,34963456,9,8,1,0.095,2,2,0
100000,10,scan,28,0.727,34963456,9,8,1,0.058,2,2,0
100000,10,scan,29,0.904,34963456,9,8,1,0.099,2,2,0
100000,10,scan,30,0.841,34963456,9,8,1,0.054,2,2,0
100000,50,scan,0,1.254,34963456,9,8,1,0.106,2,2,0
100000,50,scan,1,1.093,34963456,9,8,1,0.058,2,2,0
100000,50,scan,2,1.203,34963456,9,8,1,0.118,2,2,0
100000,50,scan,3,0.915,34963456,9,8,1,0.052,2,2,0
100000,50,scan,4,1.241,35160064,9,8,1,0.101,2,2,0
100000,50,scan,5,1.192,35291136,9,8,1,0.057,2,2,0
100000,50,scan,6,1.215,35487744,9,8,1,0.099,2,2,0
100000,50,scan,7,1.083,35684352,9,8,1,0.051,2,2,0
100000,50,scan,8,2.987,35815424,10,9,1,0.077,2,2,0
100000,50,scan,9,1.161,35815424,10,9,1,0.086,2,2,0
100000,50,scan,10,1.009,35815424,10,9,1,0.054,2,2,0
100000,50,scan,11,1.151,35815424,10,9,1,0.099,2,2,0
100000,50,scan,12,1.026,35815424,10,9,1,0.056,2,2,0
100000,50,scan,13,1.110,35815424,10,9,1,0.091,2,2,0
100000,50,scan,14,0.978,35815424,10,9,1,0.054,2,2,0
100000,50,scan,15,1.029,35815424,10,9,1,0.091,2,2,0
100000,50,scan,16,1.097,35815424,10,9,1,0.056,2,2,0
100000,50,scan,17,1.135,35815424,10,9,1,0.314,2,2,0
100000,50,scan,18,1.147,35815424,10,9,1,0.057,2,2,0
100000,50,scan,19,1.456,35815424,10,9,1,0.091,2,2,0
100000,50,scan,20,1.027,35815424,10,9,1,0.053,2,2,0
100000,50,scan,21,1.225,35815424,10,9,1,0.190,2,2,0
100000,50,scan,22,0.998,35815424,10,9,1,0.052,2,2,0
100000,50,scan,23,1.143,35815424,10,9,1,0.112,2,2,0
100000,50,scan,24,1.092,35815424,10,9,1,0.053,2,2,0
100000,50,scan,25,1.254,35815424,10,9,1,0.102,2,2,0
100000,50,scan,26,1.047,35815424,10,9,1,0.053,2,2,0
100000,50,scan,27,1.231,35815424,10,9,1,0.103,2,2,0
100000,50,scan,28,0.917,35815424,10,9,1,0.053,2,2,0
100000,50,scan,29,1.220,35815424,10,9,1,0.160,2,2,0
100000,50,scan,30,1.175,35815424,10,9,1,0.055,2,2,0
100000,100,scan,0,1.592,35815424,10,9,1,0.093,2,2,0
100000,100,scan,1,1.637,35815424,10,9,1,0.111,2,2,0
100000,100,scan,2,1.423,35815424,10,9,1,0.063,2,2,0
