products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
100000,0,Rows,2.191,265568256,53516044,664,24,50,42,156,127,14,0.390,31,0,0,1844.502,168.993
100000,0,Rows,3.979,268025856,60594740,661,25,49,42,174,141,16,0.218,33,0,0,82.855,1700.147
100000,0,Rows,4.126,268980224,61810444,662,26,49,43,175,142,16,0.170,29,0,0,13.946,128.383
100000,0,Rows,4.416,280961024,61571464,662,28,49,43,178,145,17,0.252,32,0,0,111.342,174.896
100000,0,Rows,4.553,281882624,63129236,662,30,46,43,179,146,17,0.319,26,0,0,9.653,123.548
100000,0,Rows,4.788,279592960,61297172,662,32,46,43,182,148,18,0.184,26,0,0,54.744,174.760
100000,0,Rows,4.928,280645632,62777904,662,34,46,43,183,149,18,0.167,26,0,0,7.806,128.364
100000,0,Rows,5.098,281042944,64196796,662,36,46,43,185,150,18,0.182,26,0,0,54.449,111.378
100000,0,Rows,5.289,280014848,64244464,662,27,46,43,187,151,18,0.172,24,0,0,58.855,128.967
100000,0,Rows,5.514,285380608,61612232,662,28,46,43,190,154,19,0.179,24,0,0,58.934,161.838
100000,0,Grid,6.058,284811264,61986684,665,32,46,43,196,157,20,0.322,23,500,0,174.430,158.575
100000,0,Grid,6.233,275382272,64345860,665,34,46,43,198,158,20,0.196,22,500,0,64.347,106.313
100000,0,Grid,6.413,274055168,64597696,665,36,46,43,200,159,20,0.182,22,500,0,61.639,114.232
100000,0,Grid,6.586,271863808,65332812,665,38,46,43,202,160,20,0.182,22,500,0,59.837,109.093
100000,0,Grid,6.768,273526784,65738232,665,40,46,43,204,161,20,0.184,22,500,0,58.547,120.441
100000,0,Grid,6.940,285663232,66581004,665,42,46,43,206,162,20,0.183,22,500,0,61.548,105.852
100000,0,Grid,7.109,285650944,67029604,665,44,46,43,208,163,20,0.185,22,500,0,57.905,107.122
100000,0,Grid,7.283,270905344,67824224,665,26,46,43,210,164,20,0.205,22,500,0,59.574,110.680
100000,0,Grid,7.461,272355328,68253992,665,28,46,43,212,165,20,0.194,22,500,0,62.252,111.996
100000,0,Grid,7.642,271851520,69045644,665,30,46,43,214,166,20,0.186,22,500,0,67.072,109.746
100000,0,before_idle,9.094,303460352,117496448,725,30,48,43,230,181,22,0.159,49,500,0,0.000,0.000
100000,0,after_idle,29.128,272105472,66896852,702,26,46,42,464,415,22,0.115,39,500,0,0.000,0.000
100000,1,Rows,31.564,302555136,117746796,684,27,46,44,495,444,24,0.189,1089,500,0,73.668,238.274
100000,1,Rows,31.698,311230464,104551836,684,28,46,44,496,445,25,0.174,748,500,0,8.654,122.204
100000,1,Rows,33.652,305401856,64235140,679,30,46,43,513,460,26,0.207,55,500,0,1749.959,199.507
100000,1,Rows,33.960,233181184,66672828,680,30,46,44,514,461,27,0.258,48,500,0,44.803,259.674
100000,1,Rows,34.137,222064640,66717928,680,31,46,44,516,462,27,0.192,48,500,0,62.179,110.532
100000,1,Rows,34.352,233799680,64640284,680,32,46,44,519,464,28,0.190,48,500,0,57.633,153.867
100000,1,Rows,34.506,221106176,66717076,680,34,46,44,520,465,28,0.173,48,500,0,38.444,111.469
100000,1,Rows,34.730,233603072,64312340,680,36,46,44,523,467,29,0.208,48,500,0,57.827,161.347
100000,1,Rows,34.907,234078208,65064280,680,38,47,44,525,469,29,0.184,49,500,0,58.134,115.241
100000,1,Rows,35.098,234266624,64859136,680,40,46,44,527,471,30,0.181,49,500,0,40.382,147.149
100000,1,Grid,35.385,220696576,65879540,680,44,46,44,531,473,30,0.262,47,500,0,151.631,106.063
100000,1,Grid,35.607,234295296,64343060,680,46,46,44,534,475,31,0.224,47,500,0,62.430,155.348
100000,1,Grid,35.765,235065344,66490088,680,28,46,44,535,476,31,0.275,47,500,0,39.162,114.294
100000,1,Grid,35.979,235057152,64263160,680,30,46,44,538,478,32,0.216,47,500,0,58.064,151.732
100000,1,Grid,36.161,235139072,65182332,680,32,46,44,540,480,32,0.217,46,500,0,60.043,117.987
100000,1,Grid,36.373,225468416,63874100,680,34,46,44,543,482,33,0.219,46,500,0,61.725,145.588
100000,1,Grid,36.540,235696128,66032780,680,36,46,44,544,483,33,0.241,46,500,0,42.176,121.212
100000,1,Grid,36.740,235294720,64844580,680,38,46,44,547,486,34,0.243,46,500,0,57.093,139.090
100000,1,Grid,36.895,236462080,67600740,680,40,46,44,548,487,34,0.247,46,500,0,62.019,88.390
100000,1,Grid,37.104,235347968,64868416,680,42,46,44,551,489,35,0.215,46,500,0,55.806,148.809
100000,1,before_idle,38.433,264376320,62382644,717,30,48,44,565,502,36,0.178,72,500,0,0.000,0.000
100000,1,after_idle,58.474,238247936,68878348,707,26,44,38,815,752,36,0.120,62,500,0,0.000,0.000
100000,2,Rows,60.877,299667456,122174220,668,27,43,39,845,781,37,0.194,1099,500,0,63.729,240.980
100000,2,Rows,61.008,299577344,106593832,668,28,43,39,847,783,38,0.172,871,500,0,7.858,119.701
100000,2,Rows,62.764,301236224,117329864,662,30,43,38,862,798,38,0.216,78,500,0,1636.889,115.138
100000,2,Rows,63.030,303734784,67353260,663,29,43,39,865,801,39,0.190,71,500,0,63.625,198.191
100000,2,Rows,63.191,304070656,69723720,663,30,43,39,866,802,39,0.202,71,500,0,41.114,115.346
100000,2,Rows,63.420,303505408,67083656,663,32,43,39,869,804,40,0.190,71,500,0,59.966,164.546
100000,2,Rows,63.609,303767552,67836692,663,34,43,39,871,806,40,0.183,71,500,0,63.786,120.783
100000,2,Rows,63.816,304050176,67519668,663,36,43,39,873,808,41,0.232,71,500,0,39.529,164.101
