products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,pos_view_entry_first_in_process,0,303.674,114364416,17,16,2
100000,scan_500_view_bitmap,0,1897.530,180207616,47,42,6
100000,scan_500_view_bitmap,1,1777.450,195162112,67,58,10
100000,scan_500_view_bitmap,2,142.525,197554176,68,59,10
100000,scan_500_view_bitmap,3,222.344,207663104,70,60,10
100000,scan_500_view_bitmap,4,189.404,212512768,72,61,10
100000,scan_500_view_bitmap,5,166.760,213659648,74,62,10
100000,scan_500_view_bitmap,6,172.612,216248320,76,63,10
100000,scan_500_view_bitmap,7,162.919,216113152,78,64,10
100000,scan_500_view_bitmap,8,168.106,215904256,80,66,10
100000,scan_500_view_bitmap,9,165.761,216842240,82,67,10
100000,scan_500_view_bitmap,10,166.402,218513408,84,69,10
100000,scan_500_view_bitmap,11,166.329,218628096,86,70,10
100000,scan_500_view_bitmap,12,169.689,220381184,88,72,10
100000,scan_500_view_bitmap,13,164.714,220688384,90,74,10
100000,scan_500_view_bitmap,14,168.689,219295744,92,76,10
100000,scan_500_view_bitmap,15,167.396,220073984,94,78,10
100000,scan_500_view_bitmap,16,174.948,220246016,96,80,10
100000,scan_500_view_bitmap,17,201.950,222781440,99,82,10
100000,scan_500_view_bitmap,18,163.593,222580736,100,83,10
100000,scan_500_view_bitmap,19,169.753,222429184,102,84,10
100000,scan_500_view_bitmap,20,176.864,221110272,104,85,10
100000,scan_500_view_bitmap,21,169.694,222646272,106,86,10
100000,scan_500_view_bitmap,22,169.853,221618176,108,87,10
100000,scan_500_view_bitmap,23,220.221,223596544,111,89,11
100000,scan_500_view_bitmap,24,159.705,222994432,112,90,11
100000,scan_500_view_bitmap,25,194.129,226836480,115,92,11
100000,scan_500_view_bitmap,26,159.372,227561472,116,93,11
100000,scan_500_view_bitmap,27,163.310,227295232,118,94,11
100000,scan_500_view_bitmap,28,170.406,226590720,120,95,11
100000,scan_500_view_bitmap,29,219.635,226140160,123,97,12
100000,scan_500_view_bitmap,30,154.582,226705408,124,98,12
100000,search_details_100,0,41.487,227135488,124,98,12
100000,local_sale_transaction_no_network,0,98.987,225030144,125,99,12
100000,daily_csv_1_to_31_sales,0,11.123,225062912,125,99,12
100000,search_details_100,1,35.300,225062912,125,99,12
100000,local_sale_transaction_no_network,1,5.086,225062912,125,99,12
100000,daily_csv_1_to_31_sales,1,0.712,225062912,125,99,12
