products,sample,service_ms,apply_ms,layout_ms,bitmap_allocate_ms,bitmap_render_ms
100000,0,1779.638,0.981,10.180,8.099,98.614
100000,1,77.942,1.061,1555.481,0.721,142.231
100000,2,12.356,1.238,4.067,0.711,124.138
100000,3,104.348,1.025,3.045,12.556,101.358
100000,4,57.404,1.062,16.739,0.773,113.412
100000,5,57.923,1.047,2.917,9.390,95.470
100000,6,55.796,1.173,2.723,0.706,112.201
100000,7,55.991,0.998,3.118,9.832,92.967
100000,8,53.737,1.013,3.430,0.775,109.138
100000,9,59.590,1.030,2.965,9.857,92.307
100000,10,55.269,1.040,2.926,0.691,106.463
100000,11,59.029,1.018,2.926,9.941,93.400
100000,12,56.163,1.090,2.911,0.816,108.693
100000,13,56.300,1.102,3.111,10.525,93.661
100000,14,55.301,1.038,2.840,0.682,108.814
100000,15,55.875,1.190,3.840,10.578,95.901
100000,16,55.783,0.998,3.265,0.739,114.151
100000,17,58.859,1.113,3.128,11.880,126.956
100000,18,37.767,1.165,3.376,0.717,120.553
100000,19,56.218,1.005,4.028,10.723,97.766
100000,20,60.153,1.127,4.404,0.700,110.466
100000,21,57.455,1.042,2.922,12.617,95.646
100000,22,56.177,1.201,2.899,0.716,108.846
100000,23,57.330,1.344,3.277,0.927,157.331
100000,24,39.114,21.916,3.069,0.708,94.884
100000,25,52.837,0.996,4.104,11.466,124.713
100000,26,37.147,1.108,3.562,0.787,116.755
100000,27,55.119,1.077,3.549,9.957,93.593
100000,28,57.393,1.021,2.447,0.734,108.794
100000,29,60.266,1.004,3.843,1.121,153.384
100000,30,38.174,22.062,3.117,0.814,90.401
